ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600654.SH,1991-04-10,383.7,383.7,383.7,383.7,385.6,-1.9,-0.49,20.0,7.0,2023-08-01
600652.SH,1991-04-10,252.3,252.3,252.3,252.3,251.0,1.3,0.52,1.0,1.0,2023-08-01
600656.SH,1991-04-10,3.55,3.55,3.55,3.55,3.53,0.02,0.57,10.0,3.0,2023-08-01
600651.SH,1991-04-10,363.3,363.3,363.3,363.3,365.1,-1.8,-0.49,2.0,0.001,2023-08-01
000001.SZ,1991-04-10,47.56,47.56,47.56,47.56,47.8,-0.24,-0.5,15.0,71.0,2023-08-01
000004.SZ,1991-04-10,11.9,11.9,11.9,11.9,12.02,-0.12,-1.0,1.0,6.0,2023-08-01
000002.SZ,1991-04-10,12.67,12.67,12.67,12.67,12.73,-0.06,-0.47,4.0,25.0,2023-08-01
600601.SH,1991-04-11,48.0,48.0,48.0,48.0,48.2,-0.2,-0.41,1.0,4.0,2023-08-01
600602.SH,1991-04-11,450.8,450.8,450.8,450.8,453.1,-2.3,-0.51,78.0,0.002,2023-08-01
600653.SH,1991-04-11,36.9,37.3,36.9,37.3,37.1,0.2,0.54,140.0,520.0,2023-08-01
600654.SH,1991-04-11,381.8,381.8,381.8,381.8,383.7,-1.9,-0.5,10.0,3.0,2023-08-01
600652.SH,1991-04-11,253.6,253.6,253.6,253.6,252.3,1.3,0.52,4.0,3.0,2023-08-01
600651.SH,1991-04-11,361.5,361.5,361.5,361.5,363.3,-1.8,-0.5,6.0,0.005,2023-08-01
000005.SZ,1991-04-11,12.99,12.99,12.99,12.99,13.13,-0.14,-1.07,5.0,32.0,2023-08-01
000002.SZ,1991-04-11,12.61,12.61,12.61,12.61,12.67,-0.06,-0.47,2.0,13.0,2023-08-01
600602.SH,1991-04-12,448.5,448.5,448.5,448.5,450.8,-2.3,-0.51,237.0,0.005,2023-08-01
600653.SH,1991-04-12,37.5,37.5,37.5,37.5,37.3,0.2,0.54,38.0,0.01,2023-08-01
600654.SH,1991-04-12,379.9,379.9,379.9,379.9,381.8,-1.9,-0.5,6.0,2.0,2023-08-01
600656.SH,1991-04-12,3.57,3.57,3.57,3.57,3.55,0.02,0.56,109.0,38.0,2023-08-01
600651.SH,1991-04-12,359.7,359.7,359.7,359.7,361.5,-1.8,-0.5,8.0,0.001,2023-08-01
000001.SZ,1991-04-12,47.08,47.08,47.08,47.08,47.56,-0.48,-1.01,8.0,38.0,2023-08-01
000005.SZ,1991-04-12,12.93,12.93,12.93,12.93,12.99,-0.06,-0.46,3.0,19.0,2023-08-01
000004.SZ,1991-04-12,11.78,11.78,11.78,11.78,11.9,-0.12,-1.01,2.0,12.0,2023-08-01
000002.SZ,1991-04-12,12.55,12.55,12.55,12.55,12.61,-0.06,-0.48,7.0,44.0,2023-08-01
600602.SH,1991-04-15,446.3,446.3,446.3,446.3,448.5,-2.2,-0.49,134.0,0.02,2023-08-01
600653.SH,1991-04-15,37.7,37.7,37.5,37.7,37.5,0.2,0.53,47.0,0.065,2023-08-01
600654.SH,1991-04-15,378.0,378.0,378.0,378.0,379.9,-1.9,-0.5,25.0,9.0,2023-08-01
600656.SH,1991-04-15,3.58,3.58,3.58,3.58,3.57,0.01,0.28,1.0,0.3,2023-08-01
600651.SH,1991-04-15,357.9,361.5,357.9,361.5,359.7,1.8,0.5,94.0,0.011,2023-08-01
600602.SH,1991-04-16,444.1,444.1,444.1,444.1,446.3,-2.2,-0.49,28.0,0.005,2023-08-01
600653.SH,1991-04-16,37.9,37.9,37.5,37.5,37.7,-0.2,-0.53,32.0,0.01,2023-08-01
600654.SH,1991-04-16,376.1,376.1,376.1,376.1,378.0,-1.9,-0.5,15.0,5.0,2023-08-01
600656.SH,1991-04-16,3.6,3.6,3.6,3.6,3.58,0.02,0.56,3.0,1.0,2023-08-01
600651.SH,1991-04-16,363.3,363.3,363.3,363.3,361.5,1.8,0.5,26.0,0.001,2023-08-01
000001.SZ,1991-04-16,46.38,46.38,46.38,46.38,47.08,-0.7,-1.49,2.0,9.0,2023-08-01
000004.SZ,1991-04-16,11.6,11.6,11.6,11.6,11.78,-0.18,-1.53,1.0,6.0,2023-08-01
000002.SZ,1991-04-16,12.37,12.37,12.37,12.37,12.49,-0.12,-0.96,3.0,18.0,2023-08-01
600602.SH,1991-04-17,441.9,441.9,441.9,441.9,444.1,-2.2,-0.5,30.0,0.017,2023-08-01
600653.SH,1991-04-17,37.3,37.3,37.3,37.3,37.5,-0.2,-0.53,12.0,0.005,2023-08-01
600654.SH,1991-04-17,374.2,374.2,374.2,374.2,376.1,-1.9,-0.51,11.0,4.0,2023-08-01
600656.SH,1991-04-17,3.62,3.62,3.62,3.62,3.6,0.02,0.56,10.0,3.0,2023-08-01
600651.SH,1991-04-17,365.1,365.1,365.1,365.1,363.3,1.8,0.5,129.0,0.04,2023-08-01
000001.SZ,1991-04-17,46.15,46.15,46.15,46.15,46.38,-0.23,-0.5,1.0,5.0,2023-08-01
000005.SZ,1991-04-17,12.69,12.69,12.69,12.69,12.87,-0.18,-1.4,1.0,6.0,2023-08-01
000002.SZ,1991-04-17,12.31,12.31,12.31,12.31,12.37,-0.06,-0.49,2.0,12.0,2023-08-01
