security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600051.SH,2004-07-07,5.08,5.12,4.98,5.0,5.1,-0.1,-1.96,835.0,418.218,2023-08-01
600278.SH,2004-07-07,6.19,6.19,6.03,6.08,6.19,-0.11,-1.78,964.0,586.429,2023-08-01
000885.SZ,2004-07-07,3.94,4.15,3.92,4.06,3.95,0.11,2.78,44176.52,18126.1048,2023-08-01
600406.SH,2004-07-07,16.35,16.44,16.06,16.34,16.37,-0.03,-0.18,2564.6,4165.415,2023-08-01
600196.SH,2004-07-07,4.85,4.85,4.74,4.76,4.86,-0.1,-2.06,10238.03,4879.908,2023-08-01
000682.SZ,2004-07-07,4.14,4.19,4.07,4.19,4.14,0.05,1.21,27756.01,11515.8135,2023-08-01
600638.SH,2004-07-07,6.0,6.02,5.91,5.92,6.04,-0.12,-1.99,1816.0,1081.57,2023-08-01
000776.SZ,2004-07-07,3.5,3.56,3.41,3.46,3.52,-0.06,-1.7,15364.32,5360.3453,2023-08-01
600203.SH,2004-07-07,4.72,4.77,4.71,4.74,4.77,-0.03,-0.63,4244.9,2008.661,2023-08-01
000407.SZ,2004-07-07,3.9,3.9,3.84,3.87,3.9,-0.03,-0.77,1861.6,719.1156,2023-08-01
000596.SZ,2004-07-07,8.25,8.25,8.07,8.08,8.27,-0.19,-2.3,753.04,611.3655,2023-08-01
600160.SH,2004-07-07,7.0,7.01,6.9,6.98,7.02,-0.04,-0.57,2614.0,1817.411,2023-08-01
000715.SZ,2004-07-07,6.23,6.23,6.11,6.18,6.23,-0.05,-0.8,939.09,578.2893,2023-08-01
000025.SZ,2004-07-07,4.8,5.09,4.73,5.09,4.85,0.24,4.95,9761.64,4918.7845,2023-08-01
000875.SZ,2004-07-07,4.93,4.95,4.88,4.9,4.93,-0.03,-0.61,8993.96,4415.0419,2023-08-01
600026.SH,2004-07-07,8.67,8.77,8.66,8.72,8.72,0.0,0.0,12987.38,11330.989,2023-08-01
000606.SZ,2004-07-07,5.01,5.05,4.87,4.96,5.01,-0.05,-1.0,24575.65,12202.1015,2023-08-01
600645.SH,2004-07-07,5.33,5.34,5.11,5.18,5.32,-0.14,-2.63,17960.51,9344.405,2023-08-01
000733.SZ,2004-07-07,5.81,5.81,5.66,5.66,5.81,-0.15,-2.58,4308.2,2456.6916,2023-08-01
000957.SZ,2004-07-07,4.4,4.4,4.29,4.3,4.36,-0.06,-1.38,1909.0,824.5661,2023-08-01
000529.SZ,2004-07-07,3.02,3.07,2.98,3.0,3.02,-0.02,-0.66,4417.59,1333.7469,2023-08-01
600734.SH,2004-07-07,4.82,4.82,4.68,4.72,4.83,-0.11,-2.28,3483.01,1646.779,2023-08-01
000753.SZ,2004-07-07,4.9,4.94,4.79,4.82,4.92,-0.1,-2.03,9310.45,4501.8276,2023-08-01
000665.SZ,2004-07-07,5.19,5.19,5.04,5.07,5.2,-0.13,-2.5,2463.85,1255.7517,2023-08-01
000509.SZ,2004-07-07,4.24,4.25,4.17,4.2,4.28,-0.08,-1.87,9741.2,4083.3934,2023-08-01
000425.SZ,2004-07-07,6.7,6.78,6.47,6.49,6.75,-0.26,-3.85,32413.4,21438.3013,2023-08-01
600475.SH,2004-07-07,13.03,13.13,12.79,13.04,13.07,-0.03,-0.23,4884.61,6309.507,2023-08-01
600227.SH,2004-07-07,8.15,8.22,8.11,8.12,8.2,-0.08,-0.98,1124.5,914.385,2023-08-01
600074.SH,2004-07-07,6.42,6.42,6.22,6.25,6.39,-0.14,-2.19,3449.0,2169.847,2023-08-01
000738.SZ,2004-07-07,3.62,3.63,3.54,3.58,3.58,0.0,0.0,9283.6,3335.6692,2023-08-01
600828.SH,2004-07-07,5.61,5.61,5.4,5.42,5.64,-0.22,-3.9,3785.3,2064.002,2023-08-01
600565.SH,2004-07-07,12.75,12.75,12.51,12.55,12.68,-0.13,-1.03,313.73,394.378,2023-08-01
000721.SZ,2004-07-07,5.08,5.14,4.97,5.0,5.14,-0.14,-2.72,4982.81,2503.5965,2023-08-01
600627.SH,2004-07-07,9.09,9.09,8.88,8.89,9.1,-0.21,-2.31,1544.0,1379.936,2023-08-01
000612.SZ,2004-07-07,6.06,6.14,5.98,6.09,6.08,0.01,0.16,33767.39,20491.2973,2023-08-01
600680.SH,2004-07-07,10.0,10.0,9.75,9.87,10.0,-0.13,-1.3,641.6,630.426,2023-08-01
000916.SZ,2004-07-07,4.56,4.57,4.51,4.54,4.56,-0.02,-0.44,8033.77,3656.4311,2023-08-01
600490.SH,2004-07-07,10.13,10.18,9.86,9.87,10.18,-0.31,-3.05,3502.94,3487.322,2023-08-01
600337.SH,2004-07-07,10.26,10.26,9.9,10.01,10.1,-0.09,-0.89,801.9,801.279,2023-08-01
600588.SH,2004-07-07,20.68,20.79,20.4,20.45,20.66,-0.21,-1.02,753.82,1550.503,2023-08-01
002011.SZ,2004-07-07,13.7,13.7,13.21,13.4,13.72,-0.32,-2.33,34822.9,46789.6968,2023-08-01
000887.SZ,2004-07-07,4.2,4.21,4.12,4.15,4.24,-0.09,-2.12,1385.3,576.0654,2023-08-01
000723.SZ,2004-07-07,8.95,8.99,8.9,8.95,9.04,-0.09,-1.0,1455.2,1301.054,2023-08-01
600648.SH,2004-07-07,9.2,9.2,9.07,9.09,9.2,-0.11,-1.2,1689.91,1537.96,2023-08-01
600263.SH,2004-07-07,7.27,7.27,7.1,7.12,7.27,-0.15,-2.06,3227.43,2305.576,2023-08-01
600178.SH,2004-07-07,5.1,5.12,5.03,5.06,5.12,-0.06,-1.17,2001.0,1015.04,2023-08-01
600695.SH,2004-07-07,3.98,4.06,3.92,4.0,4.02,-0.02,-0.5,671.45,269.57,2023-08-01
600578.SH,2004-07-07,7.8,7.82,7.71,7.76,7.87,-0.11,-1.4,2682.0,2081.599,2023-08-01
600966.SH,2004-07-07,10.3,10.3,10.02,10.13,10.32,-0.19,-1.84,10545.24,10669.485,2023-08-01
600346.SH,2004-07-07,6.48,6.48,6.36,6.45,6.49,-0.04,-0.62,748.5,479.271,2023-08-01
600719.SH,2004-07-07,7.0,7.0,6.78,6.8,7.01,-0.21,-3.0,7792.26,5315.841,2023-08-01
600322.SH,2004-07-07,5.16,5.16,5.06,5.08,5.16,-0.08,-1.55,2647.5,1348.759,2023-08-01
600031.SH,2004-07-07,23.11,23.46,23.01,23.42,23.19,0.23,0.99,1858.35,4316.695,2023-08-01
600350.SH,2004-07-07,4.22,4.25,4.18,4.19,4.25,-0.06,-1.41,14585.0,6138.431,2023-08-01
600068.SH,2004-07-07,5.28,5.28,5.17,5.2,5.23,-0.03,-0.57,3801.93,1980.437,2023-08-01
000417.SZ,2004-07-07,4.63,4.64,4.58,4.59,4.63,-0.04,-0.86,2453.25,1129.3105,2023-08-01
000962.SZ,2004-07-07,7.1,7.1,6.89,6.91,7.08,-0.17,-2.4,4474.05,3104.8533,2023-08-01
000880.SZ,2004-07-07,3.9,3.97,3.88,3.9,3.97,-0.07,-1.76,6825.55,2662.5982,2023-08-01
000040.SZ,2004-07-07,4.69,4.69,4.57,4.65,4.7,-0.05,-1.06,11178.74,5152.2876,2023-08-01
000823.SZ,2004-07-07,6.48,6.65,6.48,6.53,6.47,0.06,0.93,28662.02,18796.0388,2023-08-01
600853.SH,2004-07-07,4.14,4.15,4.09,4.11,4.15,-0.04,-0.96,4259.65,1754.72,2023-08-01
600152.SH,2004-07-07,4.82,4.82,4.7,4.73,4.79,-0.06,-1.25,929.0,438.054,2023-08-01
600163.SH,2004-07-07,4.36,4.36,4.25,4.25,4.36,-0.11,-2.52,1639.78,700.391,2023-08-01
000979.SZ,2004-07-07,8.06,8.07,7.83,8.02,8.15,-0.13,-1.6,1878.0,1488.312,2023-08-01
600171.SH,2004-07-07,9.78,9.82,9.58,9.6,9.78,-0.18,-1.84,9981.75,9614.856,2023-08-01
600491.SH,2004-07-07,17.35,17.35,17.02,17.07,17.33,-0.26,-1.5,3393.54,5798.088,2023-08-01
000429.SZ,2004-07-07,4.53,4.53,4.48,4.5,4.54,-0.04,-0.88,3535.55,1589.8974,2023-08-01
600791.SH,2004-07-07,6.12,6.14,6.0,6.01,6.14,-0.13,-2.12,972.0,588.526,2023-08-01
600616.SH,2004-07-07,8.09,8.12,8.02,8.05,8.09,-0.04,-0.49,2545.33,2054.987,2023-08-01
600352.SH,2004-07-07,6.62,6.64,6.55,6.56,6.62,-0.06,-0.91,5789.98,3814.826,2023-08-01
600530.SH,2004-07-07,7.64,7.64,7.46,7.49,7.52,-0.03,-0.4,520.6,390.239,2023-08-01
000623.SZ,2004-07-07,5.67,5.78,5.63,5.7,5.63,0.07,1.24,39455.56,22530.0331,2023-08-01
600389.SH,2004-07-07,6.39,6.4,6.31,6.37,6.42,-0.05,-0.78,507.09,322.375,2023-08-01
600257.SH,2004-07-07,5.37,5.4,5.27,5.39,5.36,0.03,0.56,1941.95,1038.514,2023-08-01
000895.SZ,2004-07-07,10.0,10.52,10.0,10.48,10.43,0.05,0.48,6946.2,7220.8873,2023-08-01
600295.SH,2004-07-07,5.0,5.0,4.93,4.98,5.0,-0.02,-0.4,2979.0,1478.66,2023-08-01
000611.SZ,2004-07-07,5.55,5.55,5.39,5.41,5.55,-0.14,-2.52,2038.0,1107.814,2023-08-01
