security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
001979.SZ,2021-05-21,11.42,0.1245,0.3394,0.89,7.3847,7.3068,1.1165,0.6981,0.6934,7.0982,7.0982,792324.2592,792166.4929,290494.182,9048343.0401,9046541.3489,2023-08-05
603626.SH,2021-05-21,8.23,0.6977,1.2771,0.69,,,1.8753,1.1653,1.0006,0.0,,49088.546,48529.356,26512.7599,403998.7336,399396.5999,2023-08-05
002635.SZ,2021-05-21,14.15,0.7848,1.0354,0.87,21.1842,29.6091,1.6595,3.416,3.2965,0.0,,70138.5638,36239.923,27466.1551,992460.6778,512794.9105,2023-08-05
002463.SZ,2021-05-21,14.38,0.5788,0.5788,0.82,18.4662,18.3724,3.78,3.3239,3.252,1.3911,,172438.1768,170574.1057,170574.1057,2479660.9824,2452855.64,2023-08-05
603959.SH,2021-05-21,10.29,1.2038,2.1449,2.05,213.361,75.6012,7.7339,3.5929,3.3778,0.0,,49029.8992,49029.8992,27516.3832,504517.6628,504517.6628,2023-08-05
300624.SZ,2021-05-21,43.72,1.5144,2.1705,0.62,45.3639,46.5889,6.5796,5.8181,5.5019,0.5008,0.9582,12994.704,9986.4121,6967.5557,568128.4589,436605.937,2023-08-05
000839.SZ,2021-05-21,2.26,2.4248,3.8151,1.19,,,1.5181,3.7555,3.8903,0.0,,391982.6352,391982.6352,249133.8007,885880.7556,885880.7556,2023-08-05
300274.SZ,2021-05-21,89.16,4.489,5.3059,1.33,66.4689,59.5458,11.9528,6.7356,6.2495,0.0785,0.0785,145693.935,108867.5151,92105.695,12990071.2446,9706627.6463,2023-08-05
600152.SH,2021-05-21,8.73,6.5217,9.0887,0.89,73.1195,52.9459,2.5193,2.0592,1.8177,0.0,,41160.3032,40855.2032,29316.288,359329.4469,356665.9239,2023-08-05
300049.SZ,2021-05-21,13.48,13.5935,16.0049,1.12,57.28,55.4847,2.6239,4.3911,4.548,0.0,,26305.31,23044.4284,19572.4629,354595.5788,310638.8948,2023-08-05
600540.SH,2021-05-21,5.53,4.7874,8.2789,0.97,296.3967,205.2627,3.8169,2.3271,1.7948,0.0,,47092.3313,47092.3313,27232.0354,260420.5921,260420.5921,2023-08-05
300741.SZ,2021-05-21,53.0,4.1927,4.1927,1.4,27.6576,27.5452,4.6552,15.5848,15.4236,3.7358,3.0189,61588.0,11587.715,11587.715,3264164.0,614148.895,2023-08-05
002686.SZ,2021-05-21,5.24,0.3103,0.3103,0.66,118.1875,69.765,1.925,1.9991,1.7206,0.0,,56623.9133,39150.2239,39150.2239,296709.3057,205147.1732,2023-08-05
300810.SZ,2021-05-21,32.95,0.8431,1.2233,0.81,122.2646,136.0751,2.5696,20.7195,18.5312,0.2853,0.2853,7870.0,5207.2762,3588.5262,259316.5,171579.7508,2023-08-05
688157.SH,2021-05-21,97.29,1.6636,1.6636,0.71,88.831,80.722,6.9028,17.806,16.6526,,,7960.0,1890.5,1890.5,774428.4,183926.745,2023-08-05
002587.SZ,2021-05-21,4.28,0.9333,0.9333,0.56,,,2.0631,3.4053,3.2583,1.7571,1.7571,65204.4158,43349.8851,43349.8851,279074.8996,185537.5082,2023-08-05
603327.SH,2021-05-21,14.46,1.5042,2.2502,1.36,18.2529,19.1193,4.0723,3.5054,3.3126,1.7289,2.4896,40100.0,10247.065,6850.0,579846.0,148172.5599,2023-08-05
601311.SH,2021-05-21,12.15,1.6457,2.9265,0.58,18.7689,14.5576,1.7981,1.4138,1.2205,1.3245,1.3245,112171.0163,112171.0163,63079.02,1362877.848,1362877.848,2023-08-05
002512.SZ,2021-05-21,3.37,0.9443,1.4612,0.56,192.1667,,3.0867,1.8278,1.5643,0.0,,114709.4532,85483.4684,55242.7979,386570.8573,288079.2885,2023-08-05
600966.SH,2021-05-21,15.74,1.4993,2.9305,1.14,25.2279,14.4198,3.051,1.5049,1.3638,0.108,0.108,133684.4288,133684.4288,68397.8451,2104192.9093,2104192.9093,2023-08-05
600358.SH,2021-05-21,3.83,0.9019,1.3668,0.54,133.4235,,12.4218,3.7027,3.2404,0.0,,50493.666,50493.666,33319.7,193390.7408,193390.7408,2023-08-05
002893.SZ,2021-05-21,12.12,28.0114,35.567,0.83,87.0545,44.1139,3.2844,2.6118,2.5723,0.6347,0.6347,20505.732,10319.1119,8126.9839,248529.4718,125067.6362,2023-08-05
300648.SZ,2021-05-21,29.36,6.7318,8.5113,1.26,76.1265,54.2441,4.3573,7.5479,6.9688,0.0312,0.0312,14778.3896,7989.2224,6318.9133,433893.5187,234563.5697,2023-08-05
002382.SZ,2021-05-21,21.0,2.3986,3.4689,0.74,12.5091,6.6016,1.7685,2.7953,2.1695,0.4383,,104747.7186,78806.2987,54491.3644,2199702.0906,1654932.2727,2023-08-05
002243.SZ,2021-05-21,8.98,0.3394,0.3394,0.41,18.4825,18.4201,1.8468,4.9783,4.7664,0.7499,,121060.4219,54841.0794,54841.0794,1087122.5887,492472.893,2023-08-05
002898.SZ,2021-05-21,9.69,1.1631,2.1405,0.94,,,2.8952,14.1314,10.8866,0.2815,0.2815,17600.0,10098.5061,5487.3491,170544.0,97854.5241,2023-08-05
002760.SZ,2021-05-21,18.15,0.8243,1.5668,1.03,26.1987,23.8566,2.4185,2.2674,2.0193,0.0,,8800.0,7610.6922,4004.1834,159720.0,138134.0634,2023-08-05
002963.SZ,2021-05-21,15.26,0.6621,0.6621,0.99,53.6716,48.0167,1.3725,3.8362,3.3112,0.983,0.983,15035.993,6899.453,6899.453,229449.2532,105285.6528,2023-08-05
300059.SZ,2021-05-21,34.49,3.1933,3.577,0.79,62.1726,51.0869,8.4663,91.3409,74.1983,0.0678,,861313.6491,713220.5237,636714.7153,29706707.7575,24598975.8624,2023-08-05
600616.SH,2021-05-21,7.54,7.8346,13.429,1.47,412.1271,296.7967,2.5746,8.2981,8.1348,0.3061,0.3061,66900.495,66900.495,39030.1735,504429.7323,504429.7323,2023-08-05
300831.SZ,2021-05-21,10.09,2.2093,2.7432,0.87,110.4889,94.7895,4.2531,26.5669,26.4691,0.3469,0.3469,32000.0,18448.424,14858.3503,322880.0,186144.5982,2023-08-05
688126.SH,2021-05-21,22.1,1.3982,2.528,1.24,629.5304,365.5507,5.7207,30.2625,28.4438,,,248026.0,108746.6154,60146.6154,5481374.6,2403300.2003,2023-08-05
000661.SZ,2021-05-21,455.5,4.565,6.016,4.82,60.5104,54.5639,16.0582,21.4945,20.0447,0.1098,0.2854,40472.029,37992.2784,28829.013,18435009.2095,17305482.8112,2023-08-05
000889.SZ,2021-05-21,5.97,0.8538,1.4797,0.54,277.178,95.8885,2.3704,2.1722,2.0929,0.0,,93629.1116,86984.9676,50192.8789,558965.7963,519300.2566,2023-08-05
688679.SH,2021-05-21,12.87,2.0403,2.0403,0.68,18.7438,19.5442,1.5966,1.9858,1.9087,,,13168.9675,2995.3955,2995.3955,169484.6117,38550.7401,2023-08-05
603060.SH,2021-05-21,24.4,1.4635,4.6165,1.03,45.4869,41.4018,7.6136,7.1439,6.3658,0.5943,0.5943,43120.0,43120.0,13669.3059,1052128.0,1052128.0,2023-08-05
600422.SH,2021-05-21,9.57,1.7893,2.9494,0.9,15.8836,12.9598,1.5619,0.9403,0.902,2.0805,2.0805,75825.5769,75825.5769,46000.8867,725650.7709,725650.7709,2023-08-05
