security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000861.SZ,2021-06-23,2.07,0.45,0.7775,0.55,151.0039,228.2897,1.2636,3.6984,3.7706,0.4621,0.4621,232550.3251,216775.0788,125465.2049,481379.173,448724.4131,2023-08-05
002083.SZ,2021-06-23,4.35,1.5737,1.5737,2.37,17.6856,18.4232,1.0875,0.8912,0.8695,2.1781,2.1781,90802.3162,90543.0086,90543.0086,394990.0755,393862.0874,2023-08-05
600335.SH,2021-06-23,5.79,2.3195,5.564,1.76,19.7335,19.2374,0.8169,0.1911,0.1697,1.0363,3.1088,145687.5351,102973.6837,42926.7069,843530.8282,596217.6286,2023-08-05
300537.SZ,2021-06-23,18.78,17.9218,21.2698,0.91,,,3.2623,4.8133,4.5576,0.426,,19302.7584,12538.113,10564.5142,362505.8028,235465.7621,2023-08-05
300658.SZ,2021-06-23,11.64,1.4182,2.0229,0.86,8.8476,9.9313,2.6389,1.6709,1.6479,1.7171,3.7228,22765.5,13496.8445,9462.2432,264990.42,157103.27,2023-08-05
002733.SZ,2021-06-23,16.42,1.4527,2.3644,1.31,82.7232,119.8512,2.1882,2.4773,2.3188,1.3874,0.609,38421.4913,36528.9279,22442.671,630880.8871,599804.9961,2023-08-05
601665.SH,2021-06-23,10.27,13.1103,13.1103,,18.6776,18.2632,1.528,5.9278,5.7256,,,458083.3334,45808.3334,45808.3334,4704515.834,470451.584,2023-08-05
300523.SZ,2021-06-23,25.24,0.6738,1.2673,0.99,63.8656,174.7923,3.9444,3.5587,3.8935,0.4041,0.7132,23263.7638,22784.082,12114.4998,587177.3983,575070.2297,2023-08-05
603197.SH,2021-06-23,34.02,1.2302,2.0119,0.85,38.3819,31.7355,3.3127,2.1107,2.0139,0.7559,0.7559,20667.1478,16394.1057,10024.069,703096.3682,557727.4759,2023-08-05
000038.SZ,2021-06-23,11.56,1.2788,1.9531,1.92,75.9816,80.8113,2.0944,2.8369,2.2549,0.0,,52277.7419,23817.7966,15594.5337,604330.6964,275333.7287,2023-08-05
000977.SZ,2021-06-23,29.07,1.9791,3.1188,1.04,28.8177,26.8925,2.9025,0.6704,0.6658,0.2387,0.3784,145372.131,145250.4294,92172.9961,4225967.8482,4222429.9827,2023-08-05
300795.SZ,2021-06-23,17.95,1.6643,1.6745,1.95,,,4.2971,19.0554,16.5366,5.571,,10016.4,3691.5919,3669.0619,179794.38,66264.0746,2023-08-05
002329.SZ,2021-06-23,5.53,3.0033,3.4258,0.88,,,2.2696,1.8602,1.6896,0.1808,0.1808,83764.0035,53312.5328,46736.9481,463214.9394,294818.3064,2023-08-05
600196.SH,2021-06-23,68.41,3.2747,6.1381,1.68,47.867,44.5809,4.6509,5.7851,5.3976,0.5701,0.5701,256289.8545,201095.8045,107286.2755,17532788.9463,13756963.9858,2023-08-05
600757.SH,2021-06-23,5.35,0.2206,0.5068,0.84,7.9521,6.8022,0.8413,0.9727,0.9045,3.7383,10.2804,121365.0273,121349.7103,52830.0866,649302.8961,649220.9501,2023-08-05
002949.SZ,2021-06-23,17.0,1.0276,1.3034,1.06,19.2333,17.3651,2.7843,1.7595,1.6107,1.1764,2.3529,19603.4481,9350.1481,7371.6481,333258.6177,158952.5177,2023-08-05
601816.SH,2021-06-23,5.36,0.2837,0.3195,1.3,81.518,81.5626,1.4302,10.429,10.187,0.9851,0.9851,4910648.4611,2732869.5141,2426646.9832,26321075.7515,14648180.5956,2023-08-05
688329.SH,2021-06-23,49.3,7.7676,7.7676,0.5,53.1135,45.0643,5.3434,12.2781,11.2014,,,7720.0,1570.4226,1570.4226,380596.0,77421.8342,2023-08-05
603050.SH,2021-06-23,13.37,4.0022,5.723,2.48,19.6596,17.4287,1.8099,1.237,1.1731,1.2716,1.5707,16221.01,16155.235,11297.5476,216874.9037,215995.492,2023-08-05
603311.SH,2021-06-23,10.81,0.4096,0.9687,1.06,24.3178,23.2719,2.6887,3.2741,3.1323,1.4801,1.8501,21000.0,21000.0,8879.5564,227010.0,227010.0,2023-08-05
603355.SH,2021-06-23,61.4,1.1479,6.5825,1.43,76.8909,58.6795,6.8988,4.0153,3.5208,0.4134,,41073.25,40100.0,6993.0051,2521897.55,2462140.0,2023-08-05
000615.SZ,2021-06-23,23.23,12.2905,21.2856,1.91,,,10.4185,9.1312,7.3479,0.0,,78118.0319,77165.9743,44556.3316,1814681.881,1792565.583,2023-08-05
002420.SZ,2021-06-23,4.72,1.0219,1.3923,1.38,28.7449,23.8418,3.1902,0.6179,0.5809,0.0,,40100.0,39170.4786,28750.5886,189272.0,184884.659,2023-08-05
300154.SZ,2021-06-23,6.38,1.808,3.7863,0.75,43.4336,34.0746,1.8562,5.2279,4.0946,3.1369,2.3133,45529.6,32135.215,15345.225,290478.848,205022.6717,2023-08-05
300719.SZ,2021-06-23,16.63,9.5321,14.1105,1.01,44.2456,39.7095,4.2298,6.9288,6.6535,0.6018,1.2026,25402.925,18041.5882,12187.5988,422450.6428,300031.6118,2023-08-05
600228.SH,2021-06-23,9.21,2.0782,2.7926,2.84,,,24.0034,20.7396,18.9206,0.0,,82326.7005,24132.0,17958.6606,758228.9116,222255.72,2023-08-05
001201.SZ,2021-06-23,61.31,7.774,7.774,2.19,11.3992,11.3992,2.5779,5.6833,5.6833,,,12667.0,3167.0,3167.0,776613.77,194168.77,2023-08-05
600376.SH,2021-06-23,5.6,0.1401,0.296,1.03,4.6011,5.3941,0.5492,0.3266,0.2815,7.1429,,257956.5242,257956.5242,122126.6904,1444556.5355,1444556.5355,2023-08-05
600463.SH,2021-06-23,6.48,0.8906,2.6128,2.03,214.2284,148.0402,1.5684,1.739,1.6225,0.0,,30000.0,30000.0,10226.1881,194400.0,194400.0,2023-08-05
002249.SZ,2021-06-23,5.12,2.1489,2.4504,0.79,117.0636,57.5043,1.3894,1.5575,1.4315,0.0,,236553.0164,168390.506,147671.2517,1211151.444,862159.3907,2023-08-05
300898.SZ,2021-06-23,37.53,4.2698,4.2698,0.91,57.0918,48.6538,6.0821,6.8002,5.8948,,0.3997,12400.0,3059.1,3059.1,465372.0,114808.023,2023-08-05
300690.SZ,2021-06-23,26.16,8.8388,10.4525,1.9,13.5039,13.1653,3.5431,3.1257,2.9904,1.7847,2.5484,16631.7757,10871.0809,9192.7607,435087.2523,284387.4763,2023-08-05
300851.SZ,2021-06-23,34.15,2.8485,2.8485,1.02,24.6118,22.2979,2.577,8.2714,7.9421,0.9956,2.0205,8693.34,2173.34,2173.34,296877.561,74219.561,2023-08-05
688085.SH,2021-06-23,41.9,10.309,12.1094,2.09,72.5672,62.9856,5.6286,22.0358,18.746,,,20533.35,8254.416,7027.216,860347.365,345860.0304,2023-08-05
603726.SH,2021-06-23,14.76,1.9554,5.4887,0.79,24.5776,19.9977,2.8011,1.9556,1.747,2.3713,5.0813,18565.12,18565.12,6613.988,274021.1712,274021.1712,2023-08-05
000673.SZ,2021-06-23,1.81,1.5509,2.3833,2.07,57.8952,84.755,,6.861,6.4913,0.0,,78960.4108,78951.0358,51373.999,142918.3435,142901.3748,2023-08-05
002456.SZ,2021-06-23,9.14,3.1797,4.5083,1.72,,,3.2711,0.5094,0.536,0.3168,0.3168,269473.9325,266805.8214,188176.5623,2462991.7431,2438605.2076,2023-08-05
601838.SH,2021-06-23,13.12,0.4405,0.7858,0.73,7.8666,7.5462,1.1368,3.2462,3.1011,3.2012,3.2012,361225.1334,359971.0164,201774.9485,4739273.7502,4722819.7352,2023-08-05
000802.SZ,2021-06-23,4.63,2.2903,3.6522,3.71,,,1.9659,7.7848,7.5296,0.0,,71590.0255,71118.2455,44599.1398,331461.8181,329277.4767,2023-08-05
002207.SZ,2021-06-23,6.35,4.1134,5.3746,0.8,,,12.7956,8.5107,8.2705,0.0,,26205.5378,23752.9175,18179.0897,166405.165,150831.0261,2023-08-05
600784.SH,2021-06-23,5.14,0.4519,0.5925,0.98,16.8296,14.5399,1.7293,1.1498,1.0616,0.1556,0.7588,56817.7846,56817.7846,43334.9276,292043.4128,292043.4128,2023-08-05
601996.SH,2021-06-23,3.44,2.4565,4.2708,1.02,22.8524,19.5223,1.4399,2.2644,1.9831,1.7442,2.8706,114562.28,108034.09,62139.49,394094.2432,371637.2696,2023-08-05
603926.SH,2021-06-23,16.44,3.9007,7.7184,1.5,16.321,13.6907,2.134,1.7465,1.5949,1.8251,4.8665,16020.16,16020.16,8096.1484,263371.4304,263371.4304,2023-08-05
002673.SZ,2021-06-23,8.27,0.4446,0.8951,0.92,33.0916,32.8702,1.4074,7.1301,6.6977,0.5968,,446958.1705,350183.977,173919.6541,3696344.07,2896021.4898,2023-08-05
002448.SZ,2021-06-23,6.21,3.3836,3.6083,0.62,25.0353,21.2764,1.3451,2.0577,1.7547,1.2658,1.571,60314.4105,47699.0033,44727.4049,374552.4892,296210.8105,2023-08-05
300347.SZ,2021-06-23,194.66,0.8653,0.9657,0.86,97.0607,87.0814,10.485,53.2016,49.3114,0.1428,0.1541,87246.6954,56331.3308,50471.2979,16983441.7266,10965456.8535,2023-08-05
600370.SH,2021-06-23,3.05,0.2714,0.5993,1.29,19.9499,15.8797,2.0169,0.6843,0.6871,0.2144,3.2787,365716.6407,79724.423,36101.4327,1115435.7541,243159.4902,2023-08-05
603690.SH,2021-06-23,41.15,5.3578,9.4096,1.12,50.2341,37.3652,3.8102,9.3704,8.6412,0.1686,0.1686,31812.8474,25924.9328,14761.5602,1309098.6705,1066810.9847,2023-08-05
002464.SZ,2021-06-23,2.64,0.4688,0.7107,0.11,,,,5.1923,5.2134,0.0,,52179.4388,52179.4388,34419.7639,137753.7184,137753.7184,2023-08-05
600783.SH,2021-06-23,11.94,0.367,1.2061,0.98,26.5327,28.4115,2.4108,73.5471,70.0656,1.2563,1.2563,74435.9294,74435.9294,22649.7417,888764.997,888764.997,2023-08-05
600511.SH,2021-06-23,33.12,1.1481,1.8594,1.17,18.0729,17.2514,2.2073,0.6189,0.5878,1.9263,1.6606,75450.2998,55334.6424,34166.1253,2498913.9294,1832683.3563,2023-08-05
002660.SZ,2021-06-23,7.8,4.2381,5.0127,0.74,34.0355,33.1912,3.0482,1.7327,1.5684,0.0,,27432.7707,21129.2047,17864.0507,213975.6115,164807.7967,2023-08-05
600288.SH,2021-06-23,12.83,0.8983,1.2788,1.32,97.9262,67.8798,3.356,2.4206,2.304,0.0624,0.0624,43680.0,43680.0,30684.0,560414.4,560414.4,2023-08-05
600079.SH,2021-06-23,27.61,0.6322,0.8994,0.67,39.2586,34.3458,3.7391,2.2136,2.2033,0.1485,0.1485,163307.1908,135370.4302,95148.0774,4508911.538,3737577.5778,2023-08-05
300996.SZ,2021-06-23,62.27,21.6875,21.6875,0.61,65.8108,64.9036,6.7838,13.0014,12.5169,,,8813.1662,2096.0165,2096.0165,548795.8593,130518.9475,2023-08-05
300384.SZ,2021-06-23,18.32,3.5643,5.4822,2.68,34.4808,34.3648,2.8797,6.6263,6.792,0.3305,,31663.1767,21683.7608,14097.6675,580069.3971,397246.4979,2023-08-05
603776.SH,2021-06-23,18.84,1.791,3.1908,0.76,8.767,8.7549,1.3892,4.9669,4.8129,0.7727,2.7578,23014.3811,22944.3611,12878.8975,433590.9399,432271.7631,2023-08-05
603538.SH,2021-06-23,46.99,3.3933,5.0524,0.87,41.9971,40.3733,4.433,5.8885,5.6384,0.2342,0.2342,14958.585,14781.425,9927.425,702903.9092,694579.1608,2023-08-05
002302.SZ,2021-06-23,8.12,0.4369,1.1289,1.23,13.0706,10.3242,1.3112,0.4376,0.4011,1.0468,1.1084,126235.4304,126235.4304,48851.5666,1025031.6948,1025031.6948,2023-08-05
002356.SZ,2021-06-23,3.24,0.4209,0.7844,0.2,,,,3.6655,3.4741,0.0,,52780.6548,52650.0693,28253.9042,171009.3216,170586.2245,2023-08-05
300160.SZ,2021-06-23,6.78,8.6368,8.6368,4.75,34.391,39.1086,4.0772,3.26,3.1309,2.9499,,61850.2423,59313.405,59313.405,419344.6428,402144.8859,2023-08-05
