security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000949.SZ,2008-08-28,3.0,1.7814,1.7814,1.3,6.7773,81.8735,1.1569,0.6716,0.7356,0.0,0.8333,58868.5694,29864.7101,29864.7101,176605.7082,89594.1303,2023-08-05
000950.SZ,2008-08-28,9.52,0.7606,0.9507,0.46,20.3961,13.5078,3.5939,2.8997,2.311,0.0,1.6807,31160.825,8918.7343,7134.9874,296651.054,84906.3505,2023-08-05
000951.SZ,2008-08-28,16.28,1.5933,1.5933,0.81,9.5169,8.3123,2.7738,0.3939,0.3137,0.0,,41942.55,15193.1166,15193.1166,682824.714,247343.9382,2023-08-05
000952.SZ,2008-08-28,9.8,1.5288,1.7034,0.82,12.5458,9.9598,3.3453,3.1032,2.7332,0.0,1.0204,25170.5513,23575.6572,21159.3492,246671.4027,231041.4406,2023-08-05
000953.SZ,2008-08-28,3.72,0.5952,0.5952,0.58,47.142,62.9151,2.7354,1.3659,1.4437,0.0,,29405.9437,14944.6546,14944.6546,109390.1106,55594.1151,2023-08-05
000955.SZ,2008-08-28,5.44,7.9245,9.2696,1.23,,,4.5379,9.2532,9.2527,0.0,,29315.0,18017.774,15403.239,159473.6,98016.6906,2023-08-05
000957.SZ,2008-08-28,3.39,0.2304,0.2603,0.58,30.5716,26.5779,1.5889,0.5753,0.5132,0.0,,23850.495,20866.6054,18471.648,80853.1781,70737.7923,2023-08-05
000958.SZ,2008-08-28,3.88,0.9298,0.9384,0.68,115.4916,,1.2044,1.1826,1.1819,0.0,,29948.5,19670.9588,19489.05,116200.18,76323.3201,2023-08-05
000959.SZ,2008-08-28,3.81,0.1299,0.1522,0.65,17.7265,14.1071,1.4424,0.4137,0.3906,4.1995,5.5118,296652.6057,120615.0119,102950.1934,1130246.4277,459543.1953,2023-08-05
000960.SZ,2008-08-28,15.4,2.4354,2.9614,0.45,16.6682,14.239,3.6073,1.1845,0.9606,1.0715,0.5372,65070.8892,31501.4389,25906.5305,1002091.6937,485122.1591,2023-08-05
000961.SZ,2008-08-28,4.3,0.8681,0.9634,0.51,49.5203,41.994,1.0997,0.3718,0.3167,0.0,,30053.0,19332.317,17420.0,129227.9,83128.9631,2023-08-05
000962.SZ,2008-08-28,6.84,0.9265,1.0112,0.42,33.3741,31.6521,2.027,2.6585,2.5222,1.0234,1.462,35640.0,21267.3255,19485.3255,243777.6,145468.5064,2023-08-05
000963.SZ,2008-08-28,8.9,0.3779,0.4708,0.71,22.3096,21.8611,5.7469,0.796,0.7017,1.7978,,43405.9991,22468.942,18036.9683,386313.392,199973.5838,2023-08-05
002225.SZ,2008-08-28,5.17,2.2525,2.8156,0.69,24.335,20.9985,2.9345,2.582,2.2132,,1.4507,40154.5619,6000.0,4800.0,207599.085,31020.0,2023-08-05
600222.SH,2008-08-28,3.4,0.5224,0.5396,0.71,52.1221,44.9645,2.0301,2.906,2.3707,0.0,,31722.9528,14067.8355,13618.8022,107858.0395,47830.6407,2023-08-05
600223.SH,2008-08-28,3.67,0.3873,0.3873,0.56,86.4929,,11.5605,1.5171,1.6716,0.0,,53625.0,29729.375,29729.375,196803.75,109106.8063,2023-08-05
600226.SH,2008-08-28,8.27,1.0273,1.0386,0.69,28.243,16.7741,2.1399,1.0935,0.7829,1.5719,1.8138,27036.6165,16416.6269,16238.6503,223592.8185,135765.5045,2023-08-05
600269.SH,2008-08-28,8.86,0.2543,0.3094,1.24,9.4342,10.5514,1.5607,4.1916,3.9971,2.2573,2.5959,116766.7479,67750.6066,55692.0,1034553.3864,600270.3745,2023-08-05
600270.SH,2008-08-28,7.12,0.4049,0.4541,0.66,10.1039,7.4543,1.5512,0.7551,0.5646,4.2135,4.9157,90548.172,33084.3924,29501.01,644702.9846,235560.8739,2023-08-05
600271.SH,2008-08-28,21.11,0.1379,0.2427,0.56,27.6069,24.5323,4.655,2.6935,2.4873,0.8527,1.1369,61560.0,39675.876,22545.1184,1299531.6,837557.7424,2023-08-05
600272.SH,2008-08-28,6.74,10.0808,15.9459,2.46,187.454,18.7181,8.8011,2.4106,2.4462,0.0,,24300.0,11389.0217,7200.0,163782.0,76762.0063,2023-08-05
600178.SH,2008-08-28,4.9,0.4952,0.6064,0.36,15.0244,17.7931,1.242,1.2222,1.3054,0.0,,46208.0,23329.1,19051.7,226419.2,114312.59,2023-08-05
600179.SH,2008-08-28,4.44,1.2429,1.2429,0.81,134.0186,70.0694,1.8817,1.3039,1.0409,0.0,,39000.0,18210.827,18210.827,173160.0,80856.0719,2023-08-05
600180.SH,2008-08-28,2.59,4.9918,4.9918,1.81,,,,3.8558,4.4348,0.0,,25099.008,12893.2608,12893.2608,65006.4307,33393.5455,2023-08-05
600182.SH,2008-08-28,3.98,0.211,0.2989,0.36,17.3192,17.7227,3.7664,0.4848,0.4712,0.0,,34000.0,17000.0,12000.0,135320.0,67660.0,2023-08-05
600183.SH,2008-08-28,5.56,0.5254,0.8422,0.61,11.2525,11.8927,2.6832,1.2469,1.1851,1.7986,2.1583,95702.3438,73931.4363,46120.7107,532105.0315,411058.7858,2023-08-05
600184.SH,2008-08-28,6.96,1.6235,1.7916,0.84,103.4748,52.5078,2.1567,1.7101,1.2369,0.0,,10500.0,5593.125,5068.125,73080.0,38928.15,2023-08-05
600185.SH,2008-08-28,4.86,0.5462,0.71,0.44,,,3.4132,2.0761,2.2104,0.0,,33759.44,24768.315,19052.55,164070.8784,120374.0109,2023-08-05
600186.SH,2008-08-28,2.82,0.4459,0.5362,0.63,,105.6165,1.8493,1.352,1.4261,0.0,,106202.4311,82070.9054,68250.0,299490.8557,231439.9532,2023-08-05
600467.SH,2008-08-28,7.9,0.6543,0.7559,0.72,24.8311,23.5829,4.2285,6.468,6.7319,0.6725,0.2769,63360.0,37731.52,32660.52,500544.0,298079.008,2023-08-05
600468.SH,2008-08-28,6.27,0.7003,0.8165,0.55,61.8451,53.2791,4.5693,2.469,2.5758,1.3291,,31680.0,14097.1062,12091.7448,198633.6,88388.8559,2023-08-05
600469.SH,2008-08-28,8.09,0.4568,0.5514,0.54,19.4144,15.9398,2.0559,0.3428,0.3188,0.0,,25500.0,14663.319,12147.18,206295.0,118626.2507,2023-08-05
600470.SH,2008-08-28,8.9,1.6133,2.1876,0.56,20.1843,12.9671,1.8773,0.8691,0.6244,1.236,,22600.0,14475.276,10675.276,201140.0,128829.9564,2023-08-05
