security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000683.SZ,2008-09-18,6.87,2.5938,3.3792,2.33,30.712,16.5681,2.8752,2.5507,1.8348,0.0,,51187.5989,29089.5221,22328.3524,351658.8044,199845.0168,2023-08-05
000685.SZ,2008-09-18,10.08,4.3718,4.549,1.41,200.6061,19.7762,0.8987,76.3516,18.902,0.112,,59898.7089,15280.2006,14684.9964,603778.9857,154024.422,2023-08-05
000686.SZ,2008-09-18,13.91,3.6027,4.1616,0.99,7.2582,5.5203,3.3895,3.1727,2.5717,0.0,,58119.3135,17515.8576,15163.4402,808439.6508,243645.5792,2023-08-05
002225.SZ,2008-09-18,4.36,3.2131,4.0163,1.68,20.5223,17.7086,2.4747,2.1775,1.8665,,1.7202,40154.5619,6000.0,4800.0,175073.8899,26160.0,2023-08-05
002226.SZ,2008-09-18,9.64,4.5004,5.6255,2.78,20.4281,19.9768,1.9905,3.5812,3.1521,,,5383.064,1350.0,1080.0,51892.737,13014.0,2023-08-05
002227.SZ,2008-09-18,9.47,2.4624,3.078,2.19,18.5336,18.2388,1.8531,5.5114,5.4933,,,10857.695,2750.0,2200.0,102822.3717,26042.5,2023-08-05
002228.SZ,2008-09-18,7.33,2.2227,2.7783,1.93,20.8881,17.089,1.9632,1.5805,1.2902,,,10000.0,2500.0,2000.0,73300.0,18325.0,2023-08-05
002237.SZ,2008-09-18,26.0,15.3867,19.2334,2.41,25.6841,15.4367,2.4519,1.9815,1.6675,,,9580.0,2400.0,1920.0,249080.0,62400.0,2023-08-05
002238.SZ,2008-09-18,9.9,1.721,2.1513,1.51,37.0868,36.7587,2.3018,4.0389,3.8696,,,26700.0,6700.0,5360.0,264330.0,66330.0,2023-08-05
002239.SZ,2008-09-18,5.5,4.5671,5.7089,3.03,12.049,12.0326,1.5073,1.0292,0.977,,,13400.0,3400.0,2720.0,73700.0,18700.0,2023-08-05
002240.SZ,2008-09-18,6.72,3.8195,4.7744,1.62,12.2101,15.3307,1.2101,2.7399,2.6492,,,30669.0,7669.0,6135.2,206095.68,51535.68,2023-08-05
002241.SZ,2008-09-18,24.94,1.1358,1.4197,2.01,38.8308,29.9459,4.0475,4.642,3.3782,,,12000.0,3000.0,2400.0,299280.0,74820.0,2023-08-05
002242.SZ,2008-09-18,30.58,2.0956,2.6195,1.66,30.3412,21.0702,3.8981,4.2026,2.8596,,,26700.0,6700.0,5360.0,816486.0,204886.0,2023-08-05
002243.SZ,2008-09-18,5.14,2.5467,3.1833,1.7,18.8198,18.7406,1.8197,1.7463,1.5706,,,16129.3098,4050.0,3240.0,82904.6524,20817.0,2023-08-05
002244.SZ,2008-09-18,5.19,3.9968,9.9919,1.2,11.8367,6.8654,2.0666,2.0518,1.4223,,,104000.0,12000.0,4800.0,539760.0,62280.0,2023-08-05
002245.SZ,2008-09-18,11.47,4.9429,6.1787,2.05,19.5743,14.8595,1.8286,1.0358,0.9435,,,6080.0,1520.0,1216.0,69737.6,17434.4,2023-08-05
002246.SZ,2008-09-18,4.88,5.958,7.4475,1.32,19.3319,20.4361,1.6896,1.7018,1.6513,,,19789.1024,4950.0,3960.0,96570.8197,24156.0,2023-08-05
002063.SZ,2008-09-18,10.34,0.4038,0.5555,1.7,20.4559,18.6486,3.2966,7.3037,6.068,1.9342,1.9342,10982.0,4766.84,3464.7037,113553.88,49289.1256,2023-08-05
002064.SZ,2008-09-18,6.07,1.4703,1.525,2.0,5.8903,6.3933,1.7246,1.5633,1.7712,0.6336,0.8237,36920.0,13215.8,12741.16,224104.4,80219.906,2023-08-05
002065.SZ,2008-09-18,11.2,1.1367,2.2733,4.24,33.5702,24.8226,3.2458,3.985,3.1529,0.4067,0.8929,28399.006,7711.6548,3855.8274,318068.8672,86370.5338,2023-08-05
002066.SZ,2008-09-18,6.26,0.7192,0.7192,1.72,23.4442,19.0994,2.3991,1.8634,1.4438,1.065,,9000.0,3272.2446,3272.2446,56340.0,20484.2512,2023-08-05
600323.SH,2008-09-18,8.06,1.3406,1.3406,1.55,23.5292,22.2799,2.4318,5.3039,5.1385,1.9088,1.7179,27106.8419,19437.6109,19437.6109,218481.1457,156667.1439,2023-08-05
600325.SH,2008-09-18,8.37,0.905,0.905,0.67,18.8482,14.0967,1.4985,3.1577,2.4798,0.0,0.462,81704.562,61395.3532,61395.3532,683867.1839,513879.1063,2023-08-05
600326.SH,2008-09-18,3.3,1.4268,2.1699,1.1,31.7911,33.7559,1.6379,2.2102,1.9738,1.1962,,45600.0,28032.0,18432.0,150480.0,92505.6,2023-08-05
600327.SH,2008-09-18,8.35,0.2394,0.2667,0.9,32.4018,26.4425,3.745,0.8142,0.7365,1.1976,1.4371,32606.9883,16976.6988,15240.0,272268.3523,141755.435,2023-08-05
600328.SH,2008-09-18,6.78,5.4692,6.0649,5.89,41.1946,26.6199,2.5608,2.7313,2.3782,0.295,0.4425,35911.803,18268.115,16473.6,243482.0243,123857.8197,2023-08-05
600329.SH,2008-09-18,7.71,0.969,0.969,1.63,,172.1868,2.3425,1.262,1.2473,0.0,,36965.436,8789.6117,8789.6117,285003.5116,67767.9062,2023-08-05
600330.SH,2008-09-18,3.05,1.5612,1.5931,1.69,21.7331,32.4651,1.1156,1.427,1.0994,1.4672,0.8197,58881.84,41932.1476,41092.7219,179589.612,127893.0502,2023-08-05
600311.SH,2008-09-18,4.72,3.9901,4.6379,1.87,59.8948,29.7956,3.1696,24.6825,15.5602,0.0,,66560.0,57408.0,49389.722,314163.2,270965.76,2023-08-05
600312.SH,2008-09-18,7.8,0.4458,0.7801,1.7,22.6485,20.9519,2.9493,2.2797,1.7966,0.0,0.9158,51124.3176,32397.0762,18514.4036,398769.6773,252697.1944,2023-08-05
600313.SH,2008-09-18,2.79,1.2309,1.2309,1.87,,,1.8051,1.6176,1.6178,,,30420.0,13200.0,13200.0,84871.8,36828.0,2023-08-05
600315.SH,2008-09-18,28.02,0.3557,0.3812,1.24,45.7949,35.8712,6.1005,2.6854,2.4446,0.433,0.4461,21667.127,13130.711,12252.887,607112.8985,367922.5222,2023-08-05
000530.SZ,2008-09-18,4.62,1.1089,1.1091,1.02,12.5522,11.3107,1.0135,0.9777,1.0186,3.2468,3.2468,35001.4975,15805.7601,15802.2728,161706.9185,73022.6117,2023-08-05
000531.SZ,2008-09-18,5.14,0.9839,0.984,1.34,142.451,20.4708,1.8031,0.6306,0.5323,4.6693,,26652.126,11860.2695,11860.2344,136991.9276,60961.7852,2023-08-05
600567.SH,2008-09-18,2.91,1.3717,1.3717,2.55,20.932,20.2041,0.9396,0.658,0.5097,2.3894,,42959.8318,37044.0778,37044.0778,125013.1105,107798.2664,2023-08-05
600568.SH,2008-09-18,3.86,1.3773,1.6034,3.96,26.2697,20.5288,1.2592,0.2604,0.219,0.0,,12546.66,8537.193,7333.392,48430.1076,32953.565,2023-08-05
600581.SH,2008-09-18,5.6,1.8158,1.8158,1.77,10.7593,6.3552,1.3718,0.3356,0.249,1.9231,0.6868,76644.8935,35929.4403,35929.4403,429211.4036,201204.8657,2023-08-05
