ts_code,trade_date,adj_factor,data_date
000001.SZ,1992-01-02,2.549,2023-07-31
000002.SZ,1992-01-02,1.617,2023-07-31
000003.SZ,1992-01-02,1.0,2023-07-31
000004.SZ,1992-01-02,1.028,2023-07-31
000005.SZ,1992-01-02,1.0,2023-07-31
000009.SZ,1992-01-02,1.0,2023-07-31
600601.SH,1992-01-02,5.0,2023-07-31
600602.SH,1992-01-02,1.0,2023-07-31
600651.SH,1992-01-02,5.0,2023-07-31
600652.SH,1992-01-02,5.0,2023-07-31
600653.SH,1992-01-02,10.0,2023-07-31
600654.SH,1992-01-02,1.0,2023-07-31
600656.SH,1992-01-02,1.0,2023-07-31
000001.SZ,1992-01-03,2.549,2023-07-31
000002.SZ,1992-01-03,1.617,2023-07-31
000003.SZ,1992-01-03,1.0,2023-07-31
000004.SZ,1992-01-03,1.028,2023-07-31
000005.SZ,1992-01-03,1.0,2023-07-31
000009.SZ,1992-01-03,1.0,2023-07-31
600601.SH,1992-01-03,5.0,2023-07-31
600602.SH,1992-01-03,1.0,2023-07-31
600651.SH,1992-01-03,5.0,2023-07-31
600652.SH,1992-01-03,5.0,2023-07-31
600653.SH,1992-01-03,10.0,2023-07-31
600654.SH,1992-01-03,1.0,2023-07-31
600656.SH,1992-01-03,1.0,2023-07-31
000001.SZ,1992-01-06,2.549,2023-07-31
000002.SZ,1992-01-06,1.617,2023-07-31
000003.SZ,1992-01-06,1.0,2023-07-31
000004.SZ,1992-01-06,1.028,2023-07-31
000005.SZ,1992-01-06,1.0,2023-07-31
000009.SZ,1992-01-06,1.0,2023-07-31
600601.SH,1992-01-06,5.0,2023-07-31
600602.SH,1992-01-06,1.0,2023-07-31
600651.SH,1992-01-06,5.0,2023-07-31
600652.SH,1992-01-06,5.0,2023-07-31
600653.SH,1992-01-06,10.0,2023-07-31
600654.SH,1992-01-06,1.0,2023-07-31
600656.SH,1992-01-06,1.0,2023-07-31
000001.SZ,1992-01-07,2.549,2023-07-31
000002.SZ,1992-01-07,1.617,2023-07-31
000003.SZ,1992-01-07,1.0,2023-07-31
000004.SZ,1992-01-07,1.028,2023-07-31
000005.SZ,1992-01-07,1.0,2023-07-31
000009.SZ,1992-01-07,1.0,2023-07-31
600601.SH,1992-01-07,5.0,2023-07-31
600602.SH,1992-01-07,1.0,2023-07-31
600651.SH,1992-01-07,5.0,2023-07-31
600652.SH,1992-01-07,5.0,2023-07-31
600653.SH,1992-01-07,10.0,2023-07-31
600654.SH,1992-01-07,1.0,2023-07-31
600656.SH,1992-01-07,1.0,2023-07-31
000001.SZ,1992-01-08,2.549,2023-07-31
000002.SZ,1992-01-08,1.617,2023-07-31
000003.SZ,1992-01-08,1.0,2023-07-31
000004.SZ,1992-01-08,1.028,2023-07-31
000005.SZ,1992-01-08,1.0,2023-07-31
000009.SZ,1992-01-08,1.0,2023-07-31
600601.SH,1992-01-08,5.0,2023-07-31
600602.SH,1992-01-08,1.0,2023-07-31
600651.SH,1992-01-08,5.0,2023-07-31
600652.SH,1992-01-08,5.0,2023-07-31
600653.SH,1992-01-08,10.0,2023-07-31
600654.SH,1992-01-08,1.0,2023-07-31
600656.SH,1992-01-08,1.0,2023-07-31
000001.SZ,1992-01-09,2.549,2023-07-31
000002.SZ,1992-01-09,1.617,2023-07-31
000003.SZ,1992-01-09,1.0,2023-07-31
000004.SZ,1992-01-09,1.028,2023-07-31
000005.SZ,1992-01-09,1.0,2023-07-31
000009.SZ,1992-01-09,1.0,2023-07-31
600601.SH,1992-01-09,5.0,2023-07-31
600602.SH,1992-01-09,1.0,2023-07-31
600651.SH,1992-01-09,5.0,2023-07-31
600652.SH,1992-01-09,5.0,2023-07-31
600653.SH,1992-01-09,10.0,2023-07-31
600654.SH,1992-01-09,1.0,2023-07-31
600656.SH,1992-01-09,1.0,2023-07-31
000001.SZ,1992-01-10,2.549,2023-07-31
000002.SZ,1992-01-10,1.617,2023-07-31
000003.SZ,1992-01-10,1.0,2023-07-31
000004.SZ,1992-01-10,1.028,2023-07-31
000005.SZ,1992-01-10,1.0,2023-07-31
000009.SZ,1992-01-10,1.0,2023-07-31
600601.SH,1992-01-10,5.0,2023-07-31
600602.SH,1992-01-10,1.0,2023-07-31
600651.SH,1992-01-10,5.0,2023-07-31
600652.SH,1992-01-10,5.0,2023-07-31
600653.SH,1992-01-10,10.0,2023-07-31
600654.SH,1992-01-10,1.0,2023-07-31
600656.SH,1992-01-10,1.0,2023-07-31
000001.SZ,1992-01-13,2.549,2023-07-31
000002.SZ,1992-01-13,1.617,2023-07-31
000003.SZ,1992-01-13,1.0,2023-07-31
000004.SZ,1992-01-13,1.028,2023-07-31
000005.SZ,1992-01-13,1.0,2023-07-31
000009.SZ,1992-01-13,1.0,2023-07-31
600601.SH,1992-01-13,5.0,2023-07-31
600602.SH,1992-01-13,1.0,2023-07-31
600603.SH,1992-01-13,1.0,2023-07-31
600651.SH,1992-01-13,5.0,2023-07-31
600652.SH,1992-01-13,5.0,2023-07-31
600653.SH,1992-01-13,10.0,2023-07-31
