ts_code,trade_date,adj_factor,data_date
000001.SZ,1995-01-03,5.646,2023-07-31
000002.SZ,1995-01-03,3.862,2023-07-31
000003.SZ,1995-01-03,3.136,2023-07-31
000004.SZ,1995-01-03,2.796,2023-07-31
000005.SZ,1995-01-03,1.798,2023-07-31
000006.SZ,1995-01-03,1.876,2023-07-31
000007.SZ,1995-01-03,1.762,2023-07-31
000008.SZ,1995-01-03,1.475,2023-07-31
000009.SZ,1995-01-03,1.985,2023-07-31
000011.SZ,1995-01-03,1.641,2023-07-31
000012.SZ,1995-01-03,1.713,2023-07-31
000013.SZ,1995-01-03,1.554,2023-07-31
000014.SZ,1995-01-03,1.412,2023-07-31
000015.SZ,1995-01-03,1.589,2023-07-31
000016.SZ,1995-01-03,2.023,2023-07-31
000017.SZ,1995-01-03,1.669,2023-07-31
000018.SZ,1995-01-03,1.143,2023-07-31
000019.SZ,1995-01-03,0.929,2023-07-31
000020.SZ,1995-01-03,1.047,2023-07-31
000021.SZ,1995-01-03,1.259,2023-07-31
000022.SZ,1995-01-03,1.12,2023-07-31
000023.SZ,1995-01-03,1.209,2023-07-31
000024.SZ,1995-01-03,1.214,2023-07-31
000025.SZ,1995-01-03,1.209,2023-07-31
000026.SZ,1995-01-03,1.518,2023-07-31
000027.SZ,1995-01-03,1.118,2023-07-31
000028.SZ,1995-01-03,1.106,2023-07-31
000029.SZ,1995-01-03,1.151,2023-07-31
000030.SZ,1995-01-03,1.226,2023-07-31
000031.SZ,1995-01-03,1.136,2023-07-31
000032.SZ,1995-01-03,1.212,2023-07-31
000033.SZ,1995-01-03,1.034,2023-07-31
000034.SZ,1995-01-03,1.0,2023-07-31
000035.SZ,1995-01-03,1.0,2023-07-31
000036.SZ,1995-01-03,1.0,2023-07-31
000037.SZ,1995-01-03,1.0,2023-07-31
000038.SZ,1995-01-03,1.0,2023-07-31
000039.SZ,1995-01-03,1.0,2023-07-31
000040.SZ,1995-01-03,1.0,2023-07-31
000042.SZ,1995-01-03,1.0,2023-07-31
000043.SZ,1995-01-03,1.0,2023-07-31
000045.SZ,1995-01-03,1.0,2023-07-31
000046.SZ,1995-01-03,1.306,2023-07-31
