security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600610.SH,2002-10-09,10.08,10.68,10.08,10.23,10.2,0.03,0.29,599.97,618.747,2023-08-01
000882.SZ,2002-10-09,9.3,9.5,8.52,9.3,9.46,-0.16,-1.69,331.0,307.367,2023-08-01
000936.SZ,2002-10-09,14.18,14.27,14.03,14.24,14.23,0.01,0.07,1338.6,1902.063,2023-08-01
600523.SH,2002-10-09,9.4,9.4,9.11,9.15,9.39,-0.24,-2.56,3147.06,2897.107,2023-08-01
600066.SH,2002-10-09,14.0,14.03,13.88,13.98,14.0,-0.02,-0.14,1414.88,1971.774,2023-08-01
000898.SZ,2002-10-09,3.55,3.55,3.4,3.41,3.55,-0.14,-3.94,26284.0,9079.7411,2023-08-01
000875.SZ,2002-10-09,5.6,5.62,5.3,5.32,5.63,-0.31,-5.51,121534.65,65647.1923,2023-08-01
600285.SH,2002-10-09,14.91,14.91,14.6,14.65,14.96,-0.31,-2.07,487.0,718.367,2023-08-01
600077.SH,2002-10-09,10.78,11.29,10.74,11.08,10.78,0.3,2.78,10053.54,11175.805,2023-08-01
600615.SH,2002-10-09,10.65,10.65,10.1,10.14,10.62,-0.48,-4.52,3652.94,3737.854,2023-08-01
000619.SZ,2002-10-09,10.0,10.0,9.48,9.53,10.02,-0.49,-4.89,10612.43,10255.7855,2023-08-01
000927.SZ,2002-10-09,5.85,5.85,5.64,5.65,5.86,-0.21,-3.58,9103.37,5175.1236,2023-08-01
600170.SH,2002-10-09,9.5,9.57,9.11,9.26,9.54,-0.28,-2.94,5328.82,4975.102,2023-08-01
600311.SH,2002-10-09,11.62,11.62,11.3,11.39,11.62,-0.23,-1.98,1513.11,1731.127,2023-08-01
600096.SH,2002-10-09,10.0,10.1,10.0,10.05,10.15,-0.1,-0.99,907.0,912.208,2023-08-01
600639.SH,2002-10-09,12.24,12.29,11.8,11.89,12.23,-0.34,-2.78,7596.62,9058.446,2023-08-01
000089.SZ,2002-10-09,15.9,15.9,15.58,15.65,15.84,-0.19,-1.2,4749.0,7441.9232,2023-08-01
000521.SZ,2002-10-09,5.8,5.82,5.56,5.67,5.82,-0.15,-2.58,3117.0,1781.365,2023-08-01
600756.SH,2002-10-09,13.49,13.53,12.92,13.25,13.61,-0.36,-2.65,2465.5,3278.375,2023-08-01
600880.SH,2002-10-09,15.25,15.38,15.01,15.23,15.22,0.01,0.07,580.58,880.942,2023-08-01
600121.SH,2002-10-09,8.76,8.76,8.3,8.39,8.64,-0.25,-2.89,1947.0,1640.894,2023-08-01
600656.SH,2002-10-09,14.83,14.85,14.4,14.64,14.61,0.03,0.21,273.0,398.841,2023-08-01
000589.SZ,2002-10-09,7.39,7.4,7.1,7.15,7.39,-0.24,-3.25,3318.15,2387.1775,2023-08-01
000010.SZ,2002-10-09,10.22,10.25,9.6,9.79,10.25,-0.46,-4.49,4939.81,4875.2291,2023-08-01
600816.SH,2002-10-09,7.78,7.82,7.58,7.59,7.77,-0.18,-2.32,18471.44,14140.725,2023-08-01
600139.SH,2002-10-09,15.4,15.4,15.1,15.1,15.42,-0.32,-2.08,1201.85,1823.467,2023-08-01
600212.SH,2002-10-09,7.52,7.52,7.21,7.23,7.52,-0.29,-3.86,7106.41,5191.722,2023-08-01
600003.SH,2002-10-09,5.05,5.06,4.96,4.99,5.06,-0.07,-1.38,5767.0,2885.666,2023-08-01
000412.SZ,2002-10-09,5.13,5.18,4.98,5.02,5.15,-0.13,-2.52,5605.06,2839.2181,2023-08-01
000721.SZ,2002-10-09,10.85,10.85,10.61,10.68,10.78,-0.1,-0.93,999.2,1070.9342,2023-08-01
600317.SH,2002-10-09,11.3,11.3,10.93,10.95,11.3,-0.35,-3.1,6052.0,6709.74,2023-08-01
