security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000949.SZ,2005-01-10,4.23,1.7357,1.7357,4.44,10.7461,15.3662,1.6176,1.9268,1.5495,6.2412,6.2412,49057.1412,18582.1,18582.1,207511.7073,78602.283,2023-08-05
002011.SZ,2005-01-10,8.33,0.349,0.349,0.77,22.9736,22.9736,1.5198,2.5192,2.5192,7.6297,7.6297,7118.1865,2800.0,2800.0,59294.4935,23324.0,2023-08-05
600001.SH,2005-01-10,4.61,0.0954,0.096,0.56,10.9639,8.7723,0.9158,0.5395,0.3721,19.652,19.652,148993.0034,49337.6934,49010.7267,686857.7457,227446.7666,2023-08-05
600076.SH,2005-01-10,4.12,1.504,1.504,0.58,108.7524,,1.0923,4.3615,5.531,,,25321.6,12480.0,12480.0,104324.992,51417.6,2023-08-05
600265.SH,2005-01-10,4.65,0.2555,0.2555,1.17,42.2294,69.5462,1.387,2.3313,1.8233,0.0,,10500.0,4000.0,4000.0,48825.0,18600.0,2023-08-05
600468.SH,2005-01-10,5.16,0.42,0.42,0.77,89.2173,61.7984,2.5308,1.797,1.8104,,,17600.0,4800.0,4800.0,90816.0,24768.0,2023-08-05
600477.SH,2005-01-10,7.94,0.5215,0.5215,0.44,18.7841,20.5766,2.5614,0.9596,0.9432,0.9446,0.9446,15473.3646,5000.0,5000.0,122858.5149,39700.0,2023-08-05
600707.SH,2005-01-10,6.21,1.2063,1.2063,0.93,11.0011,10.0735,1.2851,0.8553,0.8328,4.7212,4.7212,42114.88,14364.48,14364.48,261533.4048,89203.4208,2023-08-05
600708.SH,2005-01-10,4.87,0.2672,0.2672,0.97,17.3298,14.8558,2.9571,2.9414,1.9668,0.0,,35690.2274,12988.8002,12988.8002,173811.4074,63255.457,2023-08-05
600766.SH,2005-01-10,3.33,1.1384,1.1384,0.41,46.3738,18.7035,4.9751,2.7034,2.257,0.0,,17116.5513,6021.324,6021.324,56998.1158,20051.0089,2023-08-05
000157.SZ,2005-01-10,6.94,0.6067,0.6067,0.78,15.248,8.5239,2.2369,2.9988,1.1651,0.8313,0.8313,50700.0,16900.0,16900.0,351858.0,117286.0,2023-08-05
000631.SZ,2005-01-10,2.75,1.0664,1.0664,0.49,,,2.1065,0.8973,0.7067,0.0,,24036.9558,11466.0,11466.0,66101.6285,31531.5,2023-08-05
000636.SZ,2005-01-10,6.08,0.3048,0.3048,0.55,137.5373,125.8952,1.5354,3.0535,2.5149,2.172,2.172,53033.0952,20079.4201,20079.4201,322441.2188,122082.8742,2023-08-05
000988.SZ,2005-01-10,8.38,1.4992,1.4992,0.86,66.5228,65.8143,3.7571,6.2517,4.3893,3.5188,3.5188,29900.0,7800.0,7800.0,250562.0,65364.0,2023-08-05
600067.SH,2005-01-10,6.16,0.4635,0.4635,1.88,24.0815,16.6723,4.0392,1.6983,0.9872,0.7843,0.7843,26882.9845,17388.6127,17388.6127,165599.1845,107113.8542,2023-08-05
600280.SH,2005-01-10,8.12,0.6962,0.905,0.47,32.8891,25.8618,1.8873,0.6008,0.5361,1.5815,1.5815,14354.1848,9442.7559,7263.6584,116555.9806,76675.1779,2023-08-05
600308.SH,2005-01-10,11.94,0.0977,0.0977,0.31,15.8714,13.6677,1.7755,2.2457,1.4618,4.1816,4.1816,30025.8361,18041.4,18041.4,358508.483,215414.316,2023-08-05
600433.SH,2005-01-10,4.72,0.2468,0.2468,0.58,31.3625,35.9785,1.851,2.1308,2.1089,8.4746,8.4746,16000.0,6000.0,6000.0,75520.0,28320.0,2023-08-05
600520.SH,2005-01-10,5.9,0.9392,0.9392,1.6,39.0582,40.8888,2.3481,5.827,4.3485,0.0,,11304.0,4500.0,4500.0,66693.6,26550.0,2023-08-05
600558.SH,2005-01-10,6.36,0.1916,0.1916,0.87,21.3209,21.1585,1.4647,1.1979,0.8633,5.0314,5.0314,12000.0,4500.0,4500.0,76320.0,28620.0,2023-08-05
600656.SH,2005-01-10,7.34,6.3768,6.3768,5.43,23.3123,38.7711,4.1272,0.9053,1.0634,0.8668,0.8668,15008.1697,8204.5583,8204.5583,110159.9656,60221.4579,2023-08-05
