security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000949.SZ,2005-11-30,2.28,0.4561,0.4561,0.98,9.9897,25.8381,0.8741,0.7991,0.7702,11.579,11.579,49057.1412,18582.1,18582.1,111850.2819,42367.188,2023-08-05
002011.SZ,2005-11-30,6.83,8.498,11.0474,2.74,26.5011,23.9056,1.2364,2.4244,2.3134,3.6603,3.6603,7118.1865,3640.0,2800.0,48617.2138,24861.2,2023-08-05
600727.SH,2005-11-30,4.08,1.0415,1.0415,0.52,71.4624,,0.664,1.8471,2.2178,0.0,,37930.0,15210.0,15210.0,154754.4,62056.8,2023-08-05
600761.SH,2005-11-30,4.84,0.5849,0.7369,1.25,12.0302,10.6753,1.5634,1.0861,0.9128,3.0992,3.0992,30695.4477,17807.6401,14133.0477,148565.9669,86188.9781,2023-08-05
000038.SZ,2005-11-30,5.99,1.1812,1.1812,2.15,,,4.5315,8.3974,13.5612,0.0,,9048.6,1914.0,1914.0,54201.114,11464.86,2023-08-05
000819.SZ,2005-11-30,5.5,1.4731,1.4731,1.17,24.1693,20.159,2.2816,0.6039,0.547,5.7625,11.525,16513.386,5210.316,5210.316,90823.623,28656.738,2023-08-05
600323.SH,2005-11-30,8.33,0.5904,0.5904,1.24,24.2869,22.8828,2.1317,6.3766,5.747,3.7807,4.7258,20851.4168,13241.966,13241.966,173692.3019,110305.5768,2023-08-05
600426.SH,2005-11-30,6.23,1.4108,1.4108,1.04,12.3724,10.557,1.849,1.5709,1.2249,4.4676,2.9784,25050.0,9000.0,9000.0,156061.5,56070.0,2023-08-05
600579.SH,2005-11-30,2.67,0.3948,0.3948,0.86,38.4966,155.9718,0.9697,1.0847,0.9116,0.0,2.2472,21600.0,7200.0,7200.0,57672.0,19224.0,2023-08-05
600697.SH,2005-11-30,5.68,0.1367,0.1367,1.0,20.0503,17.219,1.3375,0.9307,0.7647,5.934,5.934,14221.0877,8438.5989,8438.5989,80775.7781,47931.2418,2023-08-05
600740.SH,2005-11-30,7.01,1.1203,1.1203,1.42,7.2078,14.0701,1.4352,0.7028,0.6539,13.6981,6.849,20285.0,8450.0,8450.0,142197.85,59234.5,2023-08-05
000406.SZ,2005-11-30,6.27,0.3807,0.3807,0.62,17.105,9.2786,1.2457,1.5447,1.3983,0.0,6.5522,36402.7608,26582.8392,26582.8392,228245.3102,166674.4018,2023-08-05
000501.SZ,2005-11-30,3.33,0.1856,0.1856,0.32,,,1.8457,0.4395,0.4098,0.0,,50724.859,20438.9852,20438.9852,168913.7805,68061.8207,2023-08-05
000650.SZ,2005-11-30,1.39,3.0075,3.0075,1.64,,,1.7228,0.992,1.0176,0.0,,20010.24,6570.72,6570.72,27814.2336,9133.3008,2023-08-05
000756.SZ,2005-11-30,2.9,0.7581,0.7581,2.22,,,0.9759,0.8775,0.8079,0.0,,45731.283,7615.333,7615.333,132620.7207,22084.4657,2023-08-05
600138.SH,2005-11-30,5.38,1.4753,1.4753,0.52,19.905,31.636,1.1719,0.8232,0.6607,0.0,7.6351,26700.0,11700.0,11700.0,143646.0,62946.0,2023-08-05
600348.SH,2005-11-30,9.51,0.343,0.343,0.35,13.1482,8.103,1.8203,0.9655,0.6853,3.3719,10.79,48100.0,15000.0,15000.0,457431.0,142650.0,2023-08-05
600368.SH,2005-11-30,3.17,0.1318,0.1318,0.9,14.8205,15.3392,1.094,8.261,8.9334,13.6698,10.9359,44200.0,10200.0,10200.0,140114.0,32334.0,2023-08-05
600470.SH,2005-11-30,5.5,0.6829,0.6829,0.8,18.7548,12.21,1.6339,1.1493,0.9526,2.7273,4.0,18800.0,8000.0,8000.0,103400.0,44000.0,2023-08-05
600577.SH,2005-11-30,5.98,0.3685,0.3685,0.3,17.2886,16.0179,1.8812,0.4704,0.3795,5.0167,5.0167,10800.0,3600.0,3600.0,64584.0,21528.0,2023-08-05
600781.SH,2005-11-30,3.06,3.042,3.042,0.95,,,11.5622,2.5705,6.2063,0.0,,17759.2864,5062.5,5062.5,54343.4164,15491.25,2023-08-05
000688.SZ,2005-11-30,2.25,1.7224,3.4058,0.53,,,2.0604,0.4296,0.6187,0.0,,34821.0999,19889.67,10059.0048,78347.4748,44751.7575,2023-08-05
000816.SZ,2005-11-30,2.75,0.7136,0.7136,1.02,26.6865,26.6146,0.8373,0.5799,0.5293,0.0,,30620.0,11440.0,11440.0,84205.0,31460.0,2023-08-05
000869.SZ,2005-11-30,20.5,1.7923,1.7923,11.36,40.7333,30.8432,4.7814,6.2123,4.8984,0.3752,2.439,40560.0,4992.0,4992.0,831480.0,102336.0,2023-08-05
000960.SZ,2005-11-30,5.44,0.5704,0.5704,1.62,8.7086,8.4332,1.7357,0.9601,0.809,1.3496,10.1217,53685.6,19500.0,19500.0,292049.664,106080.0,2023-08-05
600408.SH,2005-11-30,4.22,0.9519,1.2374,1.57,8.2339,8.0284,1.678,0.9055,0.7659,0.697,2.9621,39100.0,15470.0,11900.0,165002.0,65283.4,2023-08-05
000929.SZ,2005-11-30,2.95,2.5444,2.5444,3.54,65.5628,51.7051,1.4117,1.1144,0.7857,0.0,,16497.6,7560.0,7560.0,48667.92,22302.0,2023-08-05
000998.SZ,2005-11-30,8.41,0.4437,0.4437,1.33,32.5527,35.0205,1.0656,0.8936,0.569,3.178,3.405,10500.0,5500.0,5500.0,88305.0,46255.0,2023-08-05
002012.SZ,2005-11-30,5.8,10.3508,13.9735,2.91,25.4736,28.8668,3.2569,4.5562,3.994,0.0,2.8736,19478.9298,7290.0,5400.0,112977.7928,42282.0,2023-08-05
600012.SH,2005-11-30,5.37,0.1104,0.1104,0.48,22.0244,16.4427,2.0263,7.1661,5.7994,1.1173,1.8622,165861.0,25000.0,25000.0,890673.57,134250.0,2023-08-05
600030.SH,2005-11-30,4.95,2.2901,2.2901,0.72,74.1371,57.9837,2.2803,12.717,17.3694,2.2222,1.0101,248150.0,54000.0,54000.0,1228342.5,267300.0,2023-08-05
600066.SH,2005-11-30,6.77,0.0462,0.0462,0.31,12.562,10.7956,1.4947,0.4571,0.4369,4.4201,8.2877,26661.114,18276.0126,18276.0126,180495.7418,123728.6053,2023-08-05
600469.SH,2005-11-30,4.84,0.8586,0.8586,1.04,16.1021,9.5761,1.5232,0.4406,0.3624,6.1983,,25500.0,10650.0,10650.0,123420.0,51546.0,2023-08-05
600585.SH,2005-11-30,8.33,0.3827,0.3827,0.82,10.3683,33.5101,1.891,1.2475,1.0761,1.2005,1.5606,125568.0,20000.0,20000.0,1045981.44,166600.0,2023-08-05
600586.SH,2005-11-30,5.46,1.8596,1.8596,0.88,14.7134,16.3519,1.7129,2.3143,1.9457,0.0,3.3787,18885.75,6825.0,6825.0,103116.195,37264.5,2023-08-05
600635.SH,2005-11-30,2.77,0.1994,0.2033,1.16,65.3042,423.9719,1.1298,1.0505,0.9595,6.909,,71003.6166,42808.8105,41994.1231,196680.018,118580.4051,2023-08-05
600178.SH,2005-11-30,3.84,0.0874,0.0874,0.62,18.6653,22.5143,1.1258,0.7064,0.7976,13.025,8.6833,46208.0,13858.0,13858.0,177438.72,53214.72,2023-08-05
600217.SH,2005-11-30,1.77,1.2232,1.2232,1.08,24.5169,,1.4382,1.8672,2.05,5.2083,,66080.0,22400.0,22400.0,116961.6,39648.0,2023-08-05
600419.SH,2005-11-30,4.48,0.8727,0.8727,0.75,,,1.2685,2.3796,2.008,1.1161,,8016.0,3000.0,3000.0,35911.68,13440.0,2023-08-05
600467.SH,2005-11-30,6.68,1.8084,1.8084,2.17,19.1286,17.7482,1.7486,3.0017,2.2695,0.0,4.491,18000.0,6000.0,6000.0,120240.0,40080.0,2023-08-05
600496.SH,2005-11-30,6.48,0.772,0.9496,0.85,35.7112,15.6995,2.3652,0.605,0.4569,0.0,0.7716,11000.0,4920.0,4000.0,71280.0,31881.6,2023-08-05
600660.SH,2005-11-30,4.89,0.8217,0.8217,0.9,12.412,12.1852,2.2964,2.0882,1.8035,7.9652,,100149.3166,38568.411,38568.411,489730.1582,188599.5298,2023-08-05
000550.SZ,2005-11-30,5.43,0.5102,0.5102,0.69,12.1162,9.0001,1.6599,0.8123,0.7363,2.7624,2.7624,86321.4,11760.0,11760.0,468725.202,63856.8,2023-08-05
000782.SZ,2005-11-30,2.47,0.9431,0.9431,0.98,8.8592,11.6161,0.9237,0.4813,0.4844,0.0,5.4299,34200.0,12750.0,12750.0,84474.0,31492.5,2023-08-05
600077.SH,2005-11-30,3.68,0.7112,0.7112,0.79,124.1784,34.8933,1.5859,4.94,2.8303,0.0,,12681.9142,4654.0742,4654.0742,46669.4443,17126.9931,2023-08-05
600198.SH,2005-11-30,7.41,2.8243,2.8243,1.37,,,2.0949,1.2372,1.7083,0.0,,43898.64,16537.375,16537.375,325288.9224,122541.9488,2023-08-05
600258.SH,2005-11-30,6.33,0.4249,0.4249,0.42,24.2191,24.8672,1.7832,1.0837,1.1164,7.8334,8.3557,23140.0,7000.0,7000.0,146476.2,44310.0,2023-08-05
600587.SH,2005-11-30,5.65,2.1016,2.1016,0.99,,,1.6043,1.6194,1.2763,0.0,,8582.0,4032.0,4032.0,48488.3,22780.8,2023-08-05
600693.SH,2005-11-30,3.91,0.4092,0.4092,0.76,17.7877,17.0302,1.3986,0.9951,0.8634,0.0,4.6696,13200.869,7230.0998,7230.0998,51615.3978,28269.6902,2023-08-05
600843.SH,2005-11-30,4.62,1.4337,1.4337,0.55,550.4242,,2.6815,2.0817,1.5401,0.0,,44888.6777,2063.1002,2063.1002,207385.691,9531.5229,2023-08-05
600995.SH,2005-11-30,6.41,11.0657,11.0657,14.09,28.5415,14.9649,2.0672,3.605,2.6842,0.0,9.4871,17514.0,7200.0,7200.0,112264.74,46152.0,2023-08-05
000732.SZ,2005-11-30,1.91,0.8928,1.1606,0.78,,,0.9914,0.4695,0.6929,0.0,,19846.944,11529.7,8869.0,37907.663,22021.727,2023-08-05
600002.SH,2005-11-30,7.21,2.1062,2.1062,1.15,10.9023,6.144,1.8758,1.4286,0.7821,7.7274,13.9093,195000.0,35000.0,35000.0,1405950.0,252350.0,2023-08-05
600069.SH,2005-11-30,2.92,0.4384,0.4384,1.08,23.9512,11.8398,1.8718,1.3658,1.1073,0.0,,37160.0,20384.0,20384.0,108507.2,59521.28,2023-08-05
600117.SH,2005-11-30,2.84,0.9989,0.9989,0.49,15.9197,13.3282,1.013,0.8599,0.697,0.0,,63013.7319,20791.7319,20791.7319,178958.9986,59048.5186,2023-08-05
600266.SH,2005-11-30,5.46,0.3544,0.3544,0.57,37.2158,18.6411,1.7112,1.7978,1.6558,0.0,,60000.0,15000.0,15000.0,327600.0,81900.0,2023-08-05
600316.SH,2005-11-30,9.01,1.5106,1.5106,1.09,66.777,55.3186,1.9037,3.4619,3.1431,1.079,0.5179,25200.0,10800.0,10800.0,227052.0,97308.0,2023-08-05
600462.SH,2005-11-30,3.29,1.7152,1.7152,0.38,31.305,,0.7753,0.6043,0.6339,1.2158,1.2158,17030.0,5000.0,5000.0,56028.7,16450.0,2023-08-05
600629.SH,2005-11-30,1.56,1.7079,1.7079,1.66,,,,7.3741,6.6546,0.0,,15137.7598,5776.0548,5776.0548,23614.9053,9010.6455,2023-08-05
600773.SH,2005-11-30,2.03,0.877,0.877,0.61,,,3.0385,0.8315,1.7638,0.0,,18033.0058,6933.3264,6933.3264,36607.0018,14074.6526,2023-08-05
000151.SZ,2005-11-30,3.68,1.4972,1.4972,2.25,21.344,18.5607,1.2655,1.3665,0.7673,7.6599,9.9579,29598.0,10500.0,10500.0,108920.64,38640.0,2023-08-05
000301.SZ,2005-11-30,2.43,0.3395,0.3395,0.82,,,0.8303,0.5003,0.4365,8.7004,,46792.8397,15492.8397,15492.8397,113706.6005,37647.6005,2023-08-05
