security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
600774.SH,2012-11-16,8.9,0.3918,0.6758,0.66,99.2075,96.284,3.0733,1.7964,1.7074,0.0,,17457.5386,17289.1488,10022.9948,155372.0935,153873.4243,2023-08-05
601199.SH,2012-11-16,11.99,0.5816,0.7536,0.86,23.4346,21.1984,1.639,5.3771,5.2742,,0.5004,23380.0,8044.0306,6207.8835,280326.2,96447.9269,2023-08-05
600318.SH,2012-11-16,9.16,0.4272,0.8432,0.81,7.6605,22.0599,2.6643,1.5931,2.0229,0.0,1.0917,24200.0,24200.0,12261.43,221672.0,221672.0,2023-08-05
300110.SZ,2012-11-16,12.99,0.8104,1.0477,0.79,32.3951,28.2501,2.2597,6.9984,5.7496,0.0,1.5061,21836.35,9828.1,7602.039,283654.1865,127667.019,2023-08-05
600161.SH,2012-11-16,12.55,0.2363,0.5403,0.37,27.7228,32.2267,4.529,4.6394,4.6848,0.7968,0.7968,51546.6868,48825.0,21352.5,646910.9193,612753.75,2023-08-05
002519.SZ,2012-11-16,12.29,0.9047,0.9047,0.41,21.6926,20.0373,1.6388,1.7059,1.6997,2.0342,3.2547,14080.0,3520.0,3520.0,173043.2,43260.8,2023-08-05
002185.SZ,2012-11-16,4.52,0.3358,0.5136,1.56,37.1996,31.1217,1.9352,2.2439,2.0902,0.0,1.3827,64980.8,64944.6154,42461.8634,293713.216,293549.6616,2023-08-05
000900.SZ,2012-11-16,8.25,0.2634,0.4022,1.06,6.0088,7.341,0.8839,2.5344,2.9484,1.6162,,59874.885,59842.1657,39196.2404,493967.8013,493697.867,2023-08-05
002142.SZ,2012-11-16,8.85,0.1909,0.4286,1.05,7.8444,6.3307,1.1922,3.2038,2.5819,2.2599,2.2599,288382.0529,248353.0111,110618.064,2552181.1682,2197924.1482,2023-08-05
002604.SZ,2012-11-16,14.3,1.8643,2.3969,2.94,31.1142,33.1302,1.5644,2.1626,2.4253,,0.35,18640.0,13021.48,10127.8,266552.0,186207.164,2023-08-05
002098.SZ,2012-11-16,6.81,3.7747,8.8721,0.74,16.3099,35.0591,1.7619,1.0173,1.132,2.9369,4.4053,15500.0,15500.0,6594.5,105555.0,105555.0,2023-08-05
002582.SZ,2012-11-16,15.61,0.8556,0.8556,1.1,20.478,21.9279,1.8517,2.9359,2.7081,,0.96,14760.0,5227.6804,5227.6804,230403.6,81604.091,2023-08-05
002337.SZ,2012-11-16,10.76,11.2814,11.2814,2.67,58.2929,85.8093,1.6305,3.8892,4.0305,1.4521,0.9294,19200.0,4864.0,4864.0,206592.0,52336.64,2023-08-05
600770.SH,2012-11-16,5.31,0.8859,1.3102,1.3,18.5523,51.1669,1.6973,4.9655,7.4561,0.0,0.6277,110460.0,108210.0,73162.5956,586542.6,574595.1,2023-08-05
002295.SZ,2012-11-16,6.13,0.3709,0.7668,0.93,60.4027,330.0295,1.5353,0.5093,0.6618,1.6313,,21180.0,18299.8689,8852.5203,129833.4,112178.1964,2023-08-05
002171.SZ,2012-11-16,8.67,0.5539,1.0656,1.36,118.2721,,4.4485,0.8771,0.9191,1.1534,0.2307,32604.0,32224.8076,16749.748,282676.68,279389.0819,2023-08-05
601678.SH,2012-11-16,9.18,1.0415,1.3539,1.97,9.9519,14.631,1.5656,1.3135,1.4282,0.7262,2.1786,66000.0,21450.0,16500.0,605880.0,196911.0,2023-08-05
002235.SZ,2012-11-16,6.84,0.6551,0.9132,0.8,319.7987,118.2966,2.7377,2.1245,2.3473,0.0,,19500.0,10534.6798,7557.7188,133380.0,72057.2098,2023-08-05
002688.SZ,2012-11-16,24.7,17.0886,17.0886,1.22,34.7566,30.9645,3.2224,3.7328,3.4184,,,10892.0,2723.0,2723.0,269032.4,67258.1,2023-08-05
000570.SZ,2012-11-16,4.94,0.3048,0.5162,1.19,52.466,58.7807,1.5448,0.8839,0.928,0.0,0.4049,56137.4326,41137.4326,24287.659,277318.917,203218.917,2023-08-05
300018.SZ,2012-11-16,7.65,0.7994,1.1129,1.87,25.9543,24.1431,1.4489,5.5588,4.6269,1.9608,1.9608,13000.0,9778.0,7024.0,99450.0,74801.7,2023-08-05
000702.SZ,2012-11-16,4.04,0.476,0.6319,1.47,214.3679,177.8452,2.3671,0.5634,0.529,0.0,,26663.4576,26662.9991,20084.4503,107720.3687,107718.5164,2023-08-05
002027.SZ,2012-11-16,3.72,0.6926,1.0778,1.57,,,1.8538,0.8839,0.9439,0.0,,30233.5116,19468.9625,12511.3309,112468.6632,72424.5405,2023-08-05
000790.SZ,2012-11-16,6.94,0.8459,1.1035,1.26,116.5164,91.4628,4.6165,4.4031,4.3409,0.3327,,34991.0782,34368.8057,26344.6776,242838.0827,238519.5116,2023-08-05
600259.SH,2012-11-16,41.67,1.2372,2.7405,0.79,60.0089,193.5443,20.4195,4.6768,4.9682,0.0,,24940.0,24940.0,11258.8077,1039249.8,1039249.8,2023-08-05
002121.SZ,2012-11-16,7.21,0.6424,0.7613,0.94,38.1345,44.1557,2.2565,2.5496,2.0032,0.4623,0.2774,39669.0,26762.0985,22579.9485,286013.49,192954.7302,2023-08-05
002282.SZ,2012-11-16,6.96,0.4974,1.3621,1.32,23.2371,35.2408,1.9284,2.7967,2.7422,2.763,1.4368,22542.0,21532.6867,7862.7837,156892.32,149867.4994,2023-08-05
300276.SZ,2012-11-16,12.48,2.4603,2.878,0.31,17.8504,20.2084,1.8704,3.4452,3.7822,,0.7396,7800.0,2758.9714,2358.5248,97344.0,34431.9631,2023-08-05
300229.SZ,2012-11-16,11.66,0.4363,0.4363,0.3,32.4107,35.537,3.1638,12.4415,11.7045,,1.5135,20400.0,6848.637,6848.637,237864.0,79855.1074,2023-08-05
600818.SH,2012-11-16,10.99,0.0574,0.1284,0.49,191.5576,310.5136,8.5765,4.7524,5.5279,0.0,,29222.5373,21632.5373,9675.1979,321155.6849,237741.5849,2023-08-05
002310.SZ,2012-11-16,51.7,0.4427,0.4437,0.48,34.6423,29.8848,6.5526,5.3537,4.547,0.0,,30135.1296,9952.8605,9930.0475,1557986.2003,514562.8879,2023-08-05
002569.SZ,2012-11-16,11.19,1.1745,1.1745,1.28,19.7691,19.0221,1.7237,1.4616,1.4494,3.5746,0.8937,9334.0,2929.0,2929.0,104447.46,32775.51,2023-08-05
002658.SZ,2012-11-16,20.45,3.1462,3.1462,2.78,34.5053,31.5338,2.7482,8.5761,7.911,,0.7335,13747.28,3438.0,3438.0,281131.876,70307.1,2023-08-05
600279.SH,2012-11-16,6.2,0.5303,0.5909,1.26,23.2663,32.9372,1.0457,1.4416,1.4794,0.6452,0.8065,34209.2262,15073.802,13527.3184,212097.2024,93457.5724,2023-08-05
600823.SH,2012-11-16,9.28,0.1067,0.4149,0.37,9.1771,8.7759,0.9134,1.9093,1.8279,0.0,,117059.5338,117059.5338,30106.5864,1086312.4737,1086312.4737,2023-08-05
002220.SZ,2012-11-16,6.55,0.5849,1.0472,2.7,17.8264,17.2322,2.0697,2.0744,1.7331,0.0,2.6718,46472.72,39301.1214,21951.5386,304396.316,257422.3452,2023-08-05
002682.SZ,2012-11-16,9.19,7.7403,7.7403,0.8,7.7686,12.8043,1.4388,0.9079,0.9251,,,16000.0,4000.0,4000.0,147040.0,36760.0,2023-08-05
601336.SH,2012-11-16,20.85,1.444,1.444,0.71,23.2378,22.79,1.8867,0.5956,0.5582,,1.9691,311954.66,15854.0,15854.0,6504254.661,330555.9,2023-08-05
600802.SH,2012-11-16,5.85,0.3532,0.5576,0.71,17.8934,,2.3319,1.191,1.3544,,0.8547,38187.3666,38187.3666,24186.9626,223396.0946,223396.0946,2023-08-05
002309.SZ,2012-11-16,9.38,1.6516,1.6605,1.18,21.6982,22.0452,1.8562,0.9394,0.7531,0.533,0.533,48060.0,20225.1,20116.826,450802.8,189711.438,2023-08-05
002430.SZ,2012-11-16,9.69,0.6493,1.0949,0.6,15.8208,16.3158,2.6092,1.8591,1.5715,1.0193,1.5289,81202.5,29924.1581,17746.7263,786852.225,289965.092,2023-08-05
000522.SZ,2012-11-16,17.75,1.4007,2.1744,1.36,31.8888,25.1889,5.2127,2.1915,1.9126,0.2817,0.3099,46905.3689,46903.7818,30213.7818,832570.298,832542.127,2023-08-05
000789.SZ,2012-11-16,10.81,0.976,1.8247,0.84,8.7435,27.5784,2.7254,0.7825,0.9354,0.7165,2.3287,40890.9579,39589.0618,21176.071,442031.2549,427957.7581,2023-08-05
600435.SH,2012-11-16,7.21,0.7995,1.6562,1.07,464.9793,438.9466,2.5252,3.8722,5.4833,0.0,,74466.0,74466.0,35946.1677,536899.86,536899.86,2023-08-05
002184.SZ,2012-11-16,5.09,0.4406,0.5897,1.87,54.6886,,1.6105,0.8413,0.9544,0.9823,0.9823,22000.0,13272.8671,9918.5135,111980.0,67558.8935,2023-08-05
600896.SH,2012-11-16,3.62,0.2113,0.2924,0.77,165.5754,,1.1282,1.7484,2.0785,0.5525,,58131.5773,58131.5773,42014.8273,210436.3098,210436.3098,2023-08-05
000755.SZ,2012-11-16,5.01,0.4146,0.6374,0.75,73.1951,,1.0513,0.4322,0.3076,0.0,,46926.4621,46922.4502,30521.2222,235101.5751,235081.4755,2023-08-05
601988.SH,2012-11-16,2.75,0.0107,0.3112,0.57,6.1817,5.7184,0.9696,2.3392,2.1788,5.3091,5.6364,27914734.0359,19552506.3964,669427.4641,76765518.5987,53769392.5901,2023-08-05
002126.SZ,2012-11-16,4.94,0.4739,0.5591,0.55,14.9996,32.8736,1.2908,0.8649,0.8549,0.5093,0.5061,31800.0,29073.3704,24645.2852,157092.0,143622.4498,2023-08-05
600012.SH,2012-11-16,3.72,0.034,0.1335,0.82,7.2019,7.6729,0.9679,2.7839,2.7536,5.6452,5.6452,165861.0,116560.0,29699.9994,617002.92,433603.2,2023-08-05
600236.SH,2012-11-16,3.43,0.4665,0.7637,1.95,40.5546,49.3257,2.3969,2.0382,1.759,1.4577,0.8746,228044.9514,112778.7794,68884.8377,782194.1833,386831.2133,2023-08-05
002181.SZ,2012-11-16,7.74,0.5595,0.5595,0.99,488.1799,23.4277,1.5072,16.1039,4.0696,0.1961,,69200.264,21802.3776,21802.3776,535610.0434,168750.4026,2023-08-05
600983.SH,2012-11-16,6.48,0.4124,0.4124,0.94,10.7478,10.7362,2.2411,0.887,0.8649,1.5432,0.9414,53280.0,19670.04,19670.04,345254.4,127461.8592,2023-08-05
000927.SZ,2012-11-16,3.99,0.5148,2.1398,1.87,58.1913,75.8916,1.7119,0.6394,0.7916,0.7519,0.5013,159517.402,159517.096,38378.4607,636474.434,636473.213,2023-08-05
600866.SH,2012-11-16,4.22,0.415,0.4977,0.8,26.4884,,1.4556,2.1848,2.4507,0.0,,55039.3465,54453.5277,45397.6029,232266.0422,229793.8869,2023-08-05
300235.SZ,2012-11-16,8.61,1.7833,1.7833,0.29,30.3708,30.6421,2.5796,10.0558,9.5477,1.16,1.16,8800.0,2812.006,2812.006,75768.0,24211.3717,2023-08-05
600064.SH,2012-11-16,9.59,0.5494,0.8408,1.82,13.5664,13.4199,1.0801,2.0362,1.8518,1.0428,2.0855,51621.8832,51621.8832,33732.5017,495053.8599,495053.8599,2023-08-05
002355.SZ,2012-11-16,10.74,0.5481,0.5481,0.27,23.4814,32.6493,1.4982,1.8348,2.2786,0.8746,1.9012,25760.0,8408.9838,8408.9838,276662.4,90312.486,2023-08-05
600360.SH,2012-11-16,3.54,0.2731,0.3671,1.4,23.5929,43.7854,1.4596,2.1859,2.2842,0.239,1.4124,67808.0,67808.0,50457.7534,240040.32,240040.32,2023-08-05
600697.SH,2012-11-16,20.25,0.7327,0.9566,1.75,19.9274,17.608,3.0078,0.463,0.3929,1.4815,1.4815,15908.8075,15515.6015,11884.2124,322153.3519,314190.9304,2023-08-05
002609.SZ,2012-11-16,11.47,3.6229,3.6229,0.43,32.9819,28.4563,2.2143,3.6672,3.342,,2.53,12251.2138,3000.0,3000.0,140521.4223,34410.0,2023-08-05
000950.SZ,2012-11-16,4.89,0.2064,0.5724,1.75,32.2157,24.789,1.1901,1.1312,0.9552,2.045,,59879.9235,59879.9235,21587.8925,292812.8259,292812.8259,2023-08-05
300179.SZ,2012-11-16,12.6,0.5889,0.7592,0.45,42.484,43.329,2.2687,13.7674,12.3948,0.53,0.53,12000.0,4814.6621,3734.6621,151200.0,60664.7425,2023-08-05
