security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
600608.SH,1992-08-18,161.0,36.5125,36.5125,0.88,293.6993,147.7876,11.0018,11.4937,9.2297,,,361.06,80.0,80.0,58130.66,12880.0,2023-08-05
000018.SZ,1992-08-18,18.0,0.2592,0.2592,0.6,236.3041,236.3041,20.845,6.0067,6.0067,,,12707.91,1200.0,1200.0,228742.38,21600.0,2023-08-05
600609.SH,1992-08-18,114.25,16.011,16.011,2.48,,,7.2302,,,,,5856.119,1000.0,1000.0,669061.5958,114250.0,2023-08-05
600654.SH,1992-08-18,137.0,83.8256,83.8256,0.72,163.1235,101.2175,9.9229,5.3048,5.4589,,,210.1,86.0,86.0,28783.7,11782.0,2023-08-05
600606.SH,1992-08-18,142.0,22.32,22.32,1.13,138.8955,110.8585,10.0204,6.5511,5.5006,,,706.318,100.0,100.0,100297.156,14200.0,2023-08-05
600653.SH,1992-08-18,405.5,128.92,128.92,0.94,120.926,38.0821,3.239,13.4858,10.2671,,,50.0,50.0,50.0,20275.0,20275.0,2023-08-05
600611.SH,1992-08-18,208.0,101.8,101.8,1.41,,,,,,,,859.0,50.0,50.0,178672.0,10400.0,2023-08-05
000003.SZ,1992-08-18,36.6,0.3156,,0.93,136.0677,136.0677,,,,,,4271.633,2414.3774,,156341.7678,88366.2128,2023-08-05
000016.SZ,1992-08-18,25.4,0.1679,0.1679,0.41,51.3131,51.3131,25.9021,3.2465,3.2465,,,13886.9,2650.0,2650.0,352727.26,67310.0,2023-08-05
600607.SH,1992-08-18,176.0,26.4818,26.4818,0.96,,,10.1384,149.35,138.3426,,,617.663,110.0,110.0,108708.688,19360.0,2023-08-05
000015.SZ,1992-08-18,20.0,0.1608,0.1608,0.68,116.8484,116.8484,20.3971,18.4708,18.4708,,,8635.1,1200.0,1200.0,172702.0,24000.0,2023-08-05
600605.SH,1992-08-18,130.0,31.91,31.91,0.86,,,11.3291,,,,,1651.6,100.0,100.0,214708.0,13000.0,2023-08-05
000020.SZ,1992-08-18,17.9,0.1617,0.1617,0.62,96.0372,96.0372,21.9147,8.6242,8.6242,,,19302.99,2480.0,2480.0,345523.521,44392.0,2023-08-05
