security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000006.SZ,1992-11-23,16.05,0.6073,,1.13,,,,,,,0.445,2531.132,1559.468,,40624.6686,25029.4614,2023-08-05
600620.SH,1992-11-23,93.7,147.85,147.85,,,,2.5109,,,,,250.0,60.0,60.0,23425.0,5622.0,2023-08-05
600608.SH,1992-11-23,53.05,29.9125,29.9125,0.94,96.7748,48.6965,3.6251,3.7872,3.0412,,,361.06,80.0,80.0,19154.233,4244.0,2023-08-05
000014.SZ,1992-11-23,11.05,0.21,0.21,0.63,54.1312,54.1312,19.3694,3.242,3.242,,,2656.2,1000.0,1000.0,29351.01,11050.0,2023-08-05
600610.SH,1992-11-23,52.8,17.4417,17.4417,0.95,,,,,,,,2080.953,120.0,120.0,109874.3184,6336.0,2023-08-05
600617.SH,1992-11-23,117.55,41.475,41.475,1.25,,,16.2004,,,,,728.86,40.0,40.0,85677.493,4702.0,2023-08-05
600651.SH,1992-11-23,174.45,31.68,480.9035,1.99,108.2383,108.2383,3.6664,5.5719,5.5719,,,50.0,50.0,3.2938,8722.5,8722.5,2023-08-05
600616.SH,1992-11-23,102.0,48.9041,48.9041,1.87,,,29.8913,,,,,283.865,73.0,73.0,28954.23,7446.0,2023-08-05
600619.SH,1992-11-23,68.7,154.5875,154.5875,0.25,,,2.9693,,,,,1199.126,80.0,80.0,82379.9562,5496.0,2023-08-05
000015.SZ,1992-11-23,10.55,0.3425,0.3425,0.82,61.6376,61.6376,10.7595,9.7433,9.7433,,,8635.1,1200.0,1200.0,91100.305,12660.0,2023-08-05
000013.SZ,1992-11-23,13.95,0.501,0.501,1.01,44.4344,44.4344,14.5169,2.209,2.209,,,13889.88,2000.0,2000.0,193763.826,27900.0,2023-08-05
000003.SZ,1992-11-23,21.1,0.5964,,0.91,78.4434,78.4434,,,,,,4271.633,2414.3774,,90131.4563,50943.3631,2023-08-05
600652.SH,1992-11-23,195.0,20.3704,687.5,3.54,3925.2173,101.8424,3.7307,17.7744,17.4892,,,27.0,27.0,0.8,5265.0,5265.0,2023-08-05
600656.SH,1992-11-23,9.49,16.2405,16.2405,0.98,5.4979,4.8642,0.5617,0.2225,0.2213,,,246.652,45.011,45.011,2340.7275,427.1544,2023-08-05
000004.SZ,1992-11-23,14.3,2.122,2.122,0.89,22.2326,22.2326,3.5118,3.5842,3.5842,,,1250.0,500.0,500.0,17875.0,7150.0,2023-08-05
000007.SZ,1992-11-23,12.25,0.4036,,0.67,,,,,,,0.3401,2123.35,840.0,,26011.0375,10290.0,2023-08-05
600603.SH,1992-11-23,145.0,13.51,13.51,1.22,71.3576,34.947,3.7301,15.9902,15.5919,,,200.0,200.0,200.0,29000.0,29000.0,2023-08-05
600602.SH,1992-11-23,511.0,626.9524,626.9524,4.5,,,2.093,,,,1.9569,300.0,51.09,51.09,153300.0,26106.99,2023-08-05
000008.SZ,1992-11-23,11.0,0.2978,,0.76,,,,,,,,2376.0,1138.4486,,26136.0,12522.9346,2023-08-05
000017.SZ,1992-11-23,11.9,0.3262,0.3262,0.75,31.7772,31.7772,11.9951,2.8691,2.8691,,,20488.59,2750.0,2750.0,243814.221,32725.0,2023-08-05
600655.SH,1992-11-23,112.0,29.2288,29.2288,1.83,185.811,98.5152,22.1534,4.3856,3.1349,,,1129.0428,134.73,134.73,126452.7936,15089.76,2023-08-05
600605.SH,1992-11-23,46.9,29.5,29.5,1.19,,,4.0872,,,,,1651.6,100.0,100.0,77460.04,4690.0,2023-08-05
000020.SZ,1992-11-23,10.1,0.398,0.398,0.93,54.1886,54.1886,12.3653,4.8662,4.8662,,,19302.99,2480.0,2480.0,194960.199,25048.0,2023-08-05
000012.SZ,1992-11-23,12.0,0.3624,0.3624,0.76,50.6097,50.6097,12.6974,11.599,11.599,,,10753.255,1700.0,1700.0,129039.06,20400.0,2023-08-05
600618.SH,1992-11-23,52.5,63.7643,63.7643,0.2,,,8.641,,,,,8318.107,131.5,131.5,436700.6175,6903.75,2023-08-05
600613.SH,1992-11-23,82.6,9.28,9.28,0.69,,,15.1996,,,,,810.4,50.0,50.0,66939.04,4130.0,2023-08-05
600653.SH,1992-11-23,198.0,76.98,76.98,2.49,59.0465,18.595,1.5815,6.5849,5.0133,,,50.0,50.0,50.0,9900.0,9900.0,2023-08-05
600615.SH,1992-11-23,64.9,29.4583,29.4583,1.02,,,2.6538,,,,,567.2577,48.0,48.0,36815.0247,3115.2,2023-08-05
600609.SH,1992-11-23,50.5,7.465,7.465,1.11,,,3.1959,,,,,5856.119,1000.0,1000.0,295734.0095,50500.0,2023-08-05
600606.SH,1992-11-23,48.0,19.93,19.93,1.31,46.9506,37.4733,3.3872,2.2145,1.8594,,,706.318,100.0,100.0,33903.264,4800.0,2023-08-05
600654.SH,1992-11-23,59.55,38.3023,38.3023,0.98,70.9052,43.9964,4.3132,2.3058,2.3728,,,210.1,86.0,86.0,12511.455,5121.3,2023-08-05
000019.SZ,1992-11-23,10.75,1.4375,1.4375,0.78,69.4944,69.4944,14.3088,4.8295,4.8295,,,10731.0,1600.0,1600.0,115358.25,17200.0,2023-08-05
600614.SH,1992-11-23,64.4,15.88,,0.86,183.3273,183.3273,13.0793,3.6866,3.6866,,,689.504,50.0,,44404.0576,3220.0,2023-08-05
000018.SZ,1992-11-23,10.15,0.3392,0.3392,0.88,133.2493,133.2493,11.7542,3.3871,3.3871,,,12707.91,1200.0,1200.0,128985.2865,12180.0,2023-08-05
000009.SZ,1992-11-23,16.6,2.527,,0.74,,,,,,,0.1506,22503.0,8441.0,,373549.8,140120.6,2023-08-05
600604.SH,1992-11-23,71.0,15.9293,15.9293,1.17,,,2.736,,,,,3039.869,382.0,382.0,215830.699,27122.0,2023-08-05
600601.SH,1992-11-23,59.6,13.96,139.6,1.5,205.5204,102.7858,6.9237,15.9369,12.5625,,,200.0,200.0,20.0,11920.0,11920.0,2023-08-05
600612.SH,1992-11-23,62.85,30.82,30.82,2.2,49.1765,49.1765,5.7476,5.2744,5.2744,,,640.0,50.0,50.0,40224.0,3142.5,2023-08-05
000001.SZ,1992-11-23,30.1,2.4145,3.5981,0.82,23.9816,23.9816,4.6742,8.0717,8.0717,0.5263,,8975.1643,3949.0723,2650.0,270152.4454,118867.0762,2023-08-05
600607.SH,1992-11-23,74.0,44.0182,44.0182,1.69,,,4.2627,62.7949,58.1668,,,617.663,110.0,110.0,45707.062,8140.0,2023-08-05
000016.SZ,1992-11-23,12.75,0.3483,0.3483,0.75,25.7576,25.7576,13.002,1.6296,1.6296,,,13886.9,2650.0,2650.0,177057.975,33787.5,2023-08-05
