security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000002.SZ,1992-07-15,23.1,0.1763,,0.66,,,,,,,,9236.4611,6782.1807,,213362.2514,156668.3742,2023-08-05
000016.SZ,1992-07-15,23.6,0.1608,0.1608,0.53,47.6768,47.6768,24.0665,3.0164,3.0164,,,13886.9,2650.0,2650.0,327730.84,62540.0,2023-08-05
600601.SH,1992-07-15,167.25,6.595,65.95,0.56,576.7329,288.4382,19.4293,44.7223,35.253,,,200.0,200.0,20.0,33450.0,33450.0,2023-08-05
000011.SZ,1992-07-15,24.3,0.8943,0.8943,0.66,,,,,,,,25751.189,3500.0,3500.0,625753.8927,85050.0,2023-08-05
000006.SZ,1992-07-15,50.3,0.125,,0.67,,,,,,,,2531.132,1559.468,,127315.9396,78441.2404,2023-08-05
000013.SZ,1992-07-15,22.3,0.1755,0.1755,0.48,71.0314,71.0314,23.2062,3.5312,3.5312,,,13889.88,2000.0,2000.0,309744.324,44600.0,2023-08-05
000014.SZ,1992-07-15,21.9,0.263,0.263,0.6,107.2826,107.2826,38.3882,6.4254,6.4254,,,2656.2,1000.0,1000.0,58170.78,21900.0,2023-08-05
600651.SH,1992-07-15,399.7,85.44,1296.9822,3.27,247.9957,247.9957,8.4004,12.7664,12.7664,,,50.0,50.0,3.2938,19985.0,19985.0,2023-08-05
000009.SZ,1992-07-15,28.2,1.2981,,0.73,,,,,,,0.0887,22503.0,8441.0,,634584.6,238036.2,2023-08-05
600604.SH,1992-07-15,239.2,8.2565,8.2565,0.61,,,9.2177,,,,,3039.869,382.0,382.0,727136.6648,91374.4,2023-08-05
000018.SZ,1992-07-15,18.55,0.3067,0.3067,0.71,243.5245,243.5245,21.4819,6.1903,6.1903,,,12707.91,1200.0,1200.0,235731.7305,22260.0,2023-08-05
600607.SH,1992-07-15,221.5,10.9273,10.9273,0.48,,,12.7594,187.9604,174.1073,,,617.663,110.0,110.0,136812.3545,24365.0,2023-08-05
000015.SZ,1992-07-15,20.6,0.3375,0.3375,0.64,120.3539,120.3539,21.009,19.0249,19.0249,,,8635.1,1200.0,1200.0,177883.06,24720.0,2023-08-05
000020.SZ,1992-07-15,17.8,0.1992,0.1992,0.51,95.5006,95.5006,21.7923,8.576,8.576,,,19302.99,2480.0,2480.0,343593.222,44144.0,2023-08-05
000008.SZ,1992-07-15,23.2,0.1116,,0.43,,,,,,,,2376.0,1138.4486,,55123.2,26412.0075,2023-08-05
600602.SH,1992-07-15,1891.0,167.0777,167.0777,1.17,,,7.7454,,,,0.5288,300.0,51.09,51.09,567300.0,96611.19,2023-08-05
600605.SH,1992-07-15,159.6,10.02,10.02,0.51,,,13.9086,,,,,1651.6,100.0,100.0,263595.36,15960.0,2023-08-05
600603.SH,1992-07-15,418.0,18.03,18.03,0.92,205.7068,100.7438,10.7529,46.096,44.9477,,,200.0,200.0,200.0,83600.0,83600.0,2023-08-05
600652.SH,1992-07-15,530.0,84.7407,2860.0,2.21,10668.5394,276.8023,10.1399,48.31,47.5347,,,27.0,27.0,0.8,14310.0,14310.0,2023-08-05
000017.SZ,1992-07-15,23.2,0.1295,0.1295,0.2,61.9522,61.9522,23.3854,5.5936,5.5936,,,20488.59,2750.0,2750.0,475335.288,63800.0,2023-08-05
000007.SZ,1992-07-15,32.8,0.1548,,0.61,,,,,,,,2123.35,840.0,,69645.88,27552.0,2023-08-05
000001.SZ,1992-07-15,40.8,0.961,1.4321,0.53,32.5066,32.5066,6.3358,10.9411,10.9411,0.5829,,8975.1643,3949.0723,2650.0,366186.7034,161122.1498,2023-08-05
600656.SH,1992-07-15,32.95,67.1836,67.1836,0.93,19.0893,16.8889,1.9502,0.7726,0.7685,,,246.652,45.011,45.011,8127.1834,1483.1125,2023-08-05
000004.SZ,1992-07-15,23.1,0.762,0.762,0.78,35.9142,35.9142,5.6729,5.7899,5.7899,,,1250.0,500.0,500.0,28875.0,11550.0,2023-08-05
000003.SZ,1992-07-15,33.45,0.1636,,0.62,124.3569,124.3569,,,,,,4271.633,2414.3774,,142886.1239,80760.924,2023-08-05
600608.SH,1992-07-15,190.0,17.125,17.125,0.69,346.6016,174.4077,12.9835,13.5639,10.8922,,,361.06,80.0,80.0,68601.4,15200.0,2023-08-05
600654.SH,1992-07-15,163.0,21.7674,21.7674,1.17,194.0813,120.4267,11.8061,6.3115,6.4949,,,210.1,86.0,86.0,34246.3,14018.0,2023-08-05
600606.SH,1992-07-15,180.75,9.6,9.6,0.5,176.7983,141.1104,12.7549,8.3388,7.0017,,,706.318,100.0,100.0,127666.9785,18075.0,2023-08-05
600653.SH,1992-07-15,540.0,103.14,103.14,0.9,161.0358,50.7135,4.3133,17.9589,13.6726,,,50.0,50.0,50.0,27000.0,27000.0,2023-08-05
000012.SZ,1992-07-15,21.3,0.2612,0.2612,0.68,89.8322,89.8322,22.5379,20.5883,20.5883,,,10753.255,1700.0,1700.0,229044.3315,36210.0,2023-08-05
