security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600178.SH,2007-11-16,8.98,9.45,8.98,9.18,8.88,0.3,3.38,43255.97,40063.318,2023-08-01
000407.SZ,2007-11-16,10.3,10.94,10.12,10.78,10.48,0.3,2.86,56262.61,60454.7315,2023-08-01
002099.SZ,2007-11-16,11.8,11.96,11.7,11.96,12.0,-0.04,-0.33,7152.54,8434.0953,2023-08-01
600064.SH,2007-11-16,29.7,31.17,29.5,31.11,30.49,0.62,2.03,54466.99,163112.093,2023-08-01
000935.SZ,2007-11-16,11.01,11.35,10.95,11.16,11.26,-0.1,-0.89,11621.77,12866.6936,2023-08-01
600317.SH,2007-11-16,14.7,14.8,14.41,14.75,14.8,-0.05,-0.34,12207.05,17775.198,2023-08-01
600323.SH,2007-11-16,13.15,13.29,12.96,13.15,13.23,-0.08,-0.6,9559.41,12514.642,2023-08-01
600660.SH,2007-11-16,29.68,29.68,28.4,28.64,29.69,-1.05,-3.54,10406.97,29943.137,2023-08-01
600388.SH,2007-11-16,15.91,15.98,15.69,15.83,16.05,-0.22,-1.37,9277.7,14673.488,2023-08-01
600600.SH,2007-11-16,32.35,33.1,31.53,32.97,32.6,0.37,1.14,20221.9,65432.695,2023-08-01
601398.SH,2007-11-16,8.23,8.33,8.13,8.24,8.36,-0.12,-1.44,1064500.75,874680.073,2023-08-01
600699.SH,2007-11-16,6.55,6.77,6.34,6.64,6.55,0.09,1.37,16878.11,11179.532,2023-08-01
601008.SH,2007-11-16,12.38,12.43,12.13,12.43,12.37,0.06,0.49,11711.38,14358.144,2023-08-01
600365.SH,2007-11-16,10.16,10.68,10.15,10.45,10.3,0.15,1.46,17221.31,18061.696,2023-08-01
600109.SH,2007-11-16,50.9,51.0,49.7,50.97,51.9,-0.93,-1.79,6104.93,30679.697,2023-08-01
000565.SZ,2007-11-16,20.39,21.99,20.3,21.28,20.78,0.5,2.41,38246.46,80902.2614,2023-08-01
000856.SZ,2007-11-16,6.92,7.01,6.7,6.86,6.92,-0.06,-0.87,12293.01,8384.127,2023-08-01
600865.SH,2007-11-16,15.3,15.4,15.1,15.37,15.36,0.01,0.07,2061.02,3141.175,2023-08-01
002138.SZ,2007-11-16,23.99,24.58,23.48,24.52,24.0,0.52,2.17,3175.51,7666.3859,2023-08-01
000937.SZ,2007-11-16,27.88,28.32,27.0,28.15,28.5,-0.35,-1.23,61164.16,169040.283,2023-08-01
000011.SZ,2007-11-16,12.48,12.48,11.99,12.21,12.57,-0.36,-2.86,7428.0,9028.424,2023-08-01
600297.SH,2007-11-16,8.88,9.3,8.88,9.21,9.36,-0.15,-1.6,3974.57,3645.549,2023-08-01
002182.SZ,2007-11-16,19.59,19.98,18.75,19.08,20.18,-1.1,-5.45,44793.21,85924.9051,2023-08-01
000563.SZ,2007-11-16,24.0,24.54,23.51,24.3,24.25,0.05,0.21,37719.58,90975.5459,2023-08-01
000737.SZ,2007-11-16,9.03,9.23,8.93,9.16,9.25,-0.09,-0.97,85957.02,77696.6028,2023-08-01
600120.SH,2007-11-16,9.8,10.33,9.65,10.3,9.82,0.48,4.89,43825.69,44268.582,2023-08-01
600111.SH,2007-11-16,41.5,42.4,40.41,41.59,42.46,-0.87,-2.05,29316.38,121399.114,2023-08-01
600218.SH,2007-11-16,6.8,6.88,6.69,6.88,6.85,0.03,0.44,11325.5,7671.553,2023-08-01
000807.SZ,2007-11-16,23.8,24.95,23.3,24.46,24.52,-0.06,-0.24,96551.96,230250.9321,2023-08-01
600288.SH,2007-11-16,9.19,9.75,9.05,9.61,9.38,0.23,2.45,100744.29,96301.893,2023-08-01
600611.SH,2007-11-16,16.31,17.3,16.31,17.08,16.84,0.24,1.43,38580.38,64213.495,2023-08-01
600602.SH,2007-11-16,7.25,7.32,6.96,7.02,7.33,-0.31,-4.23,158001.15,112423.441,2023-08-01
600094.SH,2007-11-16,5.9,6.29,5.86,6.1,6.17,-0.07,-1.13,51013.5,30828.978,2023-08-01
600480.SH,2007-11-16,8.72,9.44,8.72,9.25,8.77,0.48,5.47,38278.71,35398.223,2023-08-01
600159.SH,2007-11-16,10.4,10.6,10.21,10.38,10.54,-0.16,-1.52,8144.62,8401.059,2023-08-01
000985.SZ,2007-11-16,12.35,12.98,12.1,12.85,12.56,0.29,2.31,8323.12,10598.5885,2023-08-01
000938.SZ,2007-11-16,14.3,15.62,14.12,15.28,14.59,0.69,4.73,37161.44,55233.43,2023-08-01
600715.SH,2007-11-16,5.78,6.08,5.71,6.01,5.79,0.22,3.8,31756.56,18833.087,2023-08-01
600478.SH,2007-11-16,23.8,23.8,22.69,23.13,23.53,-0.4,-1.7,8776.39,20174.58,2023-08-01
