security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
600178.SH,1999-08-03,9.38,2.0501,2.0501,1.0,28.4284,28.4535,3.4615,3.1697,3.3138,,,42250.0,10660.0,10660.0,396305.0,99990.8,2023-08-05
600660.SH,1999-08-03,9.17,1.7658,1.7658,0.82,,118.1345,6.223,4.6949,4.0843,0.4035,,25472.5513,8135.5849,8135.5849,233583.2954,74603.3135,2023-08-05
600889.SH,1999-08-03,9.05,1.2821,1.6897,1.07,32.635,32.635,3.3063,0.5204,0.5204,0.0,,10947.4772,3953.76,3000.0,99074.6687,35781.528,2023-08-05
000895.SZ,1999-08-03,16.8,1.4217,2.3103,0.87,56.2776,56.2776,6.6723,1.8745,1.8745,,,22490.0,6500.0,4000.0,377832.0,109200.0,2023-08-05
000791.SZ,1999-08-03,6.59,1.3975,1.3975,0.85,138.6984,138.6984,3.4239,10.688,10.688,0.0,,18900.0,7920.0,7920.0,124551.0,52192.8,2023-08-05
600602.SH,1999-08-03,16.06,2.2871,2.2871,0.98,74.6787,74.6787,8.3133,3.047,3.047,0.0,,63730.5451,16023.4589,16023.4589,1023512.5543,257336.7499,2023-08-05
600728.SH,1999-08-03,10.8,1.8659,1.8659,0.42,44.6931,44.6931,5.1269,5.4102,5.4102,6.523,5.9038,18946.018,6240.0,6240.0,204616.9944,67392.0,2023-08-05
600898.SH,1999-08-03,5.3,4.123,4.123,2.51,,,23.9373,0.3121,0.3121,0.0,,19758.2119,10709.92,10709.92,104718.5231,56762.576,2023-08-05
600847.SH,1999-08-03,9.3,1.7708,1.7708,0.6,,,9.4252,8.0733,8.0733,,,8866.0,3989.7,3989.7,82453.8,37104.21,2023-08-05
600672.SH,1999-08-03,25.4,0.0819,0.0819,0.36,77.8804,34.5078,14.8669,16.0823,12.2146,0.0,,27561.06,16000.0,16000.0,700050.924,406400.0,2023-08-05
000720.SZ,1999-08-03,15.84,2.8242,4.2363,1.86,47.3545,47.3545,6.7315,7.3223,7.3223,2.9461,,27300.0,7800.0,5200.0,432432.0,123552.0,2023-08-05
000911.SZ,1999-08-03,8.0,1.0714,1.1719,1.1,36.2557,36.2557,7.7289,1.7931,1.7931,,,22400.0,5600.0,5120.0,179200.0,44800.0,2023-08-05
600057.SH,1999-08-03,33.5,2.5931,2.5931,0.61,32.8321,30.0458,10.5296,4.1432,4.1125,0.0,,18700.0,6800.0,6800.0,626450.0,227800.0,2023-08-05
600009.SH,1999-08-03,12.57,2.7138,2.7138,2.29,30.8728,30.8728,5.1146,26.7047,26.7047,,,135000.0,45000.0,45000.0,1696950.0,565650.0,2023-08-05
600072.SH,1999-08-03,14.68,3.9409,5.1232,3.5,33.6483,33.6483,4.6674,5.6184,5.6184,2.3058,,17161.3,7800.0,6000.0,251927.884,114504.0,2023-08-05
600697.SH,1999-08-03,17.4,2.1027,2.7335,0.56,72.2478,72.2478,7.4143,6.5351,6.5351,2.4934,2.4934,12273.7186,5880.02,4523.09,213562.7036,102312.348,2023-08-05
600740.SH,1999-08-03,10.99,9.2582,9.2582,1.65,44.0645,43.1845,4.9093,7.4526,7.4283,5.4595,,18160.0,6500.0,6500.0,199578.4,71435.0,2023-08-05
000603.SZ,1999-08-03,9.28,2.4758,2.4758,0.64,,,7.7818,49.4401,49.4401,0.0,,11186.25,2850.0,2850.0,103808.4,26448.0,2023-08-05
000632.SZ,1999-08-03,9.92,0.7819,0.7819,1.38,37.6226,37.6226,3.4529,5.3364,5.3364,0.0,,16324.4466,4082.3765,4082.3765,161938.5103,40497.1749,2023-08-05
