security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
600077.SH,1999-04-16,15.58,0.7882,1.0246,1.72,95.4961,95.4961,10.6145,18.1044,18.1044,,,10412.4753,2953.5953,2272.0,162226.3652,46017.0148,2023-08-05
000514.SZ,1999-04-16,14.05,0.8291,0.8291,0.71,23.7521,23.7521,5.6354,9.8885,9.8885,0.0,,9041.76,3326.4,3326.4,127036.728,46735.92,2023-08-05
000410.SZ,1999-04-16,5.71,2.815,2.815,0.94,45.9886,45.9886,1.961,3.7775,3.7775,,,34091.9303,8640.0,8640.0,194664.922,49334.4,2023-08-05
600693.SH,1999-04-16,9.26,1.7654,1.7654,0.45,32.4178,35.9601,3.4026,2.777,2.6188,5.3175,5.3175,13200.869,5361.851,5361.851,122240.0469,49650.7403,2023-08-05
600859.SH,1999-04-16,6.12,0.3041,0.3649,0.82,14.3558,14.1685,1.3841,1.3075,1.3501,2.74,2.74,35724.8206,17753.6352,14794.696,218635.9021,108652.2474,2023-08-05
000708.SZ,1999-04-16,5.17,0.6692,0.803,0.47,15.6481,19.5323,1.4982,1.2403,1.2968,0.0,,44940.848,12600.0,10500.0,232344.1842,65142.0,2023-08-05
600769.SH,1999-04-16,13.6,1.7647,1.7647,0.83,32.9106,32.9106,3.4163,8.4949,8.4949,0.0,,21801.0,5460.0,5460.0,296493.6,74256.0,2023-08-05
000858.SZ,1999-04-16,37.4,1.271,1.271,3.33,21.6306,21.6306,6.7808,4.2525,4.2525,,,32000.0,8000.0,8000.0,1196800.0,299200.0,2023-08-05
600055.SH,1999-04-16,10.21,0.3483,0.3483,0.67,29.0439,29.0439,4.4913,6.1279,6.1279,,,10000.0,3000.0,3000.0,102100.0,30630.0,2023-08-05
000818.SZ,1999-04-16,6.88,1.0053,1.0053,0.32,34.6537,34.6537,2.5043,3.6841,3.6841,0.0,,34000.0,9000.0,9000.0,233920.0,61920.0,2023-08-05
600772.SH,1999-04-16,18.4,0.7746,0.7746,0.58,79.9362,94.7596,8.3147,44.7466,24.9109,0.0,,15132.0,3900.0,3900.0,278428.8,71760.0,2023-08-05
000027.SZ,1999-04-16,6.14,0.2904,0.2904,0.74,20.9944,20.9944,3.5426,3.9867,3.9867,0.0,,90661.6206,29207.9594,29207.9594,556662.3505,179336.8707,2023-08-05
000060.SZ,1999-04-16,15.55,1.6581,2.9845,1.39,51.5209,51.5209,5.2536,2.7071,2.7071,,,14400.0,3600.0,2000.0,223920.0,55980.0,2023-08-05
600608.SH,1999-04-16,6.52,1.4587,1.4587,0.46,33.9778,33.9778,3.5434,3.6967,3.6967,0.0,,11656.9421,5807.7162,5807.7162,76003.2625,37866.3096,2023-08-05
600780.SH,1999-04-16,10.0,0.5506,0.6607,0.66,49.0021,49.0021,4.949,5.5975,5.5975,0.0,148.33,12816.0,3600.0,3000.0,128160.0,36000.0,2023-08-05
600266.SH,1999-04-16,9.03,1.0192,1.1648,0.49,36.0564,36.0564,8.9347,0.906,0.906,,,40000.0,10000.0,8750.0,361200.0,90300.0,2023-08-05
000045.SZ,1999-04-16,11.75,5.312,5.312,1.58,107.6807,203.6274,4.6,9.1225,10.2439,0.0,,16341.6,2217.6,2217.6,192013.8,26056.8,2023-08-05
600069.SH,1999-04-16,14.5,0.409,0.409,0.72,39.9924,39.9924,4.1954,24.054,24.054,2.6525,2.6525,18580.0,5200.0,5200.0,269410.0,75400.0,2023-08-05
600090.SH,1999-04-16,9.37,0.3956,0.3956,0.57,43.0691,43.0691,4.5395,6.1027,6.1027,0.0,,12800.0,4800.0,4800.0,119936.0,44976.0,2023-08-05
600122.SH,1999-04-16,19.99,0.9786,0.9786,0.77,49.6723,49.6723,5.1246,6.2116,6.2116,1.8459,1.8459,12300.0,5000.0,5000.0,245877.0,99950.0,2023-08-05
600200.SH,1999-04-16,14.26,1.4457,1.4457,0.36,37.8832,37.8832,9.7028,3.9065,3.9065,,,8350.0,3350.0,3350.0,119071.0,47771.0,2023-08-05
600793.SH,1999-04-16,9.91,15.2764,15.2764,2.13,82.6702,82.6702,4.9656,5.0112,5.0112,,,10530.0,3354.0,3354.0,104352.3,33238.14,2023-08-05
000409.SZ,1999-04-16,12.53,2.23,2.5645,0.75,72.744,66.579,5.4707,12.4491,11.3391,0.0,,17137.415,4767.2102,4145.4002,214731.81,59733.1438,2023-08-05
000595.SZ,1999-04-16,6.07,0.9243,0.9243,0.89,139.9443,139.9443,2.3428,2.7853,2.7853,0.0,,17495.9878,5400.0,5400.0,106200.6459,32778.0,2023-08-05
000680.SZ,1999-04-16,5.2,0.8252,0.8252,0.83,27.809,38.1336,1.9879,3.2524,3.2461,,,28272.0,12128.8656,12128.8656,147014.4,63070.1011,2023-08-05
000788.SZ,1999-04-16,9.09,1.9493,1.9493,0.48,80.463,80.463,3.0153,6.1526,6.1526,0.0,,19250.0,4950.0,4950.0,174982.5,44995.5,2023-08-05
000511.SZ,1999-04-16,8.11,1.4868,1.4868,0.75,98.7521,98.7521,6.9529,15.3193,15.3193,0.0,,12988.095,6892.1386,6892.1386,105333.4505,55895.244,2023-08-05
600126.SH,1999-04-16,5.41,1.1612,1.1612,0.9,20.3685,20.3685,2.7699,1.2226,1.2226,,,60000.0,12750.0,12750.0,324600.0,68977.5,2023-08-05
600628.SH,1999-04-16,7.96,0.3349,0.3349,0.62,22.0203,22.0203,3.4518,0.8189,0.8189,3.4345,3.4345,18890.8537,6281.7638,6281.7638,150371.1955,50002.8398,2023-08-05
000806.SZ,1999-04-16,15.79,0.3243,0.3243,0.86,44.6845,44.6845,4.691,8.7652,8.7652,0.0,,8220.0,2100.0,2100.0,129793.8,33159.0,2023-08-05
600062.SH,1999-04-16,9.14,1.8054,2.7081,1.1,33.1051,33.1051,3.7741,5.7473,5.7473,0.0,,22050.0,7050.0,4700.0,201537.0,64437.0,2023-08-05
600803.SH,1999-04-16,11.35,0.3891,0.5448,0.45,53.3376,53.3376,5.6119,5.7859,5.7859,0.0,,10567.536,5443.2,3888.0,119941.5336,61780.32,2023-08-05
000528.SZ,1999-04-16,4.37,0.9426,0.9426,0.64,218.0038,218.0038,1.9402,1.8157,1.8157,0.0,,32753.6793,10873.0438,10873.0438,143133.5785,47515.2014,2023-08-05
