security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
000526.SZ,1995-06-22,5.65,5.68,5.55,5.59,5.65,-0.06,-1.06,888.0,496.968,2023-08-01
600860.SH,1995-06-22,3.63,3.64,3.51,3.52,3.65,-0.13,-3.56,2626.0,935.339,2023-08-01
600807.SH,1995-06-22,4.55,4.62,4.43,4.45,4.51,-0.06,-1.33,4923.0,2226.138,2023-08-01
600636.SH,1995-06-22,7.68,7.77,7.56,7.65,7.69,-0.04,-0.52,1013.0,775.107,2023-08-01
600608.SH,1995-06-22,6.22,6.26,6.14,6.18,6.22,-0.04,-0.64,1502.0,929.657,2023-08-01
600870.SH,1995-06-22,11.64,11.68,11.4,11.4,11.55,-0.15,-1.3,2531.0,2928.485,2023-08-01
600610.SH,1995-06-22,4.55,4.59,4.48,4.48,4.52,-0.04,-0.89,784.0,355.423,2023-08-01
600641.SH,1995-06-22,13.8,13.92,13.6,13.63,13.95,-0.32,-2.29,1568.0,2144.979,2023-08-01
600697.SH,1995-06-22,4.05,4.12,3.96,4.08,4.12,-0.04,-0.97,5573.0,2239.472,2023-08-01
600857.SH,1995-06-22,12.57,12.58,12.16,12.25,12.77,-0.52,-4.07,9620.0,11826.196,2023-08-01
600844.SH,1995-06-22,10.6,10.6,10.41,10.47,10.6,-0.13,-1.23,461.0,483.531,2023-08-01
600678.SH,1995-06-22,4.75,4.78,4.62,4.74,4.75,-0.01,-0.21,5045.0,2383.257,2023-08-01
600657.SH,1995-06-22,6.68,6.75,6.35,6.45,6.62,-0.17,-2.57,26890.0,17558.445,2023-08-01
600627.SH,1995-06-22,3.88,3.92,3.86,3.87,3.93,-0.06,-1.53,1657.0,644.584,2023-08-01
600616.SH,1995-06-22,11.11,11.14,10.88,10.92,11.14,-0.22,-1.97,665.0,732.562,2023-08-01
600674.SH,1995-06-22,2.7,2.82,2.66,2.71,2.7,0.01,0.37,41987.0,11551.43,2023-08-01
600648.SH,1995-06-22,22.95,23.14,22.6,22.71,22.96,-0.25,-1.09,2464.0,5616.381,2023-08-01
600855.SH,1995-06-22,3.09,3.1,2.98,2.99,3.1,-0.11,-3.55,9479.0,2872.708,2023-08-01
600854.SH,1995-06-22,12.2,12.59,12.2,12.31,12.24,0.07,0.57,4184.0,5175.874,2023-08-01
600841.SH,1995-06-22,11.28,11.34,11.15,11.2,11.3,-0.1,-0.89,508.0,570.388,2023-08-01
600611.SH,1995-06-22,18.08,18.3,17.95,17.95,18.3,-0.35,-1.91,1234.0,2234.934,2023-08-01
600817.SH,1995-06-22,11.68,11.82,11.51,11.7,11.75,-0.05,-0.43,481.0,561.878,2023-08-01
600816.SH,1995-06-22,6.85,6.92,6.75,6.88,6.85,0.03,0.44,2062.0,1409.182,2023-08-01
600658.SH,1995-06-22,5.9,5.99,5.72,5.79,5.94,-0.15,-2.53,11467.0,6742.905,2023-08-01
600873.SH,1995-06-22,17.2,17.32,16.7,16.79,17.2,-0.41,-2.38,4840.0,8209.578,2023-08-01
600623.SH,1995-06-22,8.7,8.79,8.56,8.56,8.7,-0.14,-1.61,450.0,389.582,2023-08-01
600600.SH,1995-06-22,3.78,3.78,3.7,3.72,3.74,-0.02,-0.53,2750.0,1026.908,2023-08-01
600604.SH,1995-06-22,4.27,4.38,4.26,4.26,4.27,-0.01,-0.23,1635.0,703.244,2023-08-01
600815.SH,1995-06-22,4.56,4.63,4.53,4.54,4.59,-0.05,-1.09,2019.0,923.268,2023-08-01
600818.SH,1995-06-22,6.85,7.0,6.78,6.78,6.9,-0.12,-1.74,1052.0,730.982,2023-08-01
600687.SH,1995-06-22,7.05,7.14,6.99,7.11,7.08,0.03,0.42,2294.0,1622.104,2023-08-01
600676.SH,1995-06-22,11.3,11.45,11.3,11.31,11.49,-0.18,-1.57,714.0,811.928,2023-08-01
600853.SH,1995-06-22,2.85,2.85,2.78,2.8,2.85,-0.05,-1.75,4154.0,1167.491,2023-08-01
600839.SH,1995-06-22,11.58,11.98,11.45,11.95,11.49,0.46,4.0,20036.0,23368.306,2023-08-01
600633.SH,1995-06-22,8.9,9.05,8.36,8.82,8.9,-0.08,-0.9,894.0,802.924,2023-08-01
600686.SH,1995-06-22,6.5,6.59,6.3,6.4,6.5,-0.1,-1.54,1525.0,981.018,2023-08-01
600688.SH,1995-06-22,2.06,2.07,2.03,2.06,2.07,-0.01,-0.48,63907.0,13091.14,2023-08-01
600675.SH,1995-06-22,25.45,25.45,25.15,25.16,25.4,-0.24,-0.94,502.0,1269.325,2023-08-01
600659.SH,1995-06-22,4.98,5.02,4.85,4.88,5.02,-0.14,-2.79,2585.0,1275.363,2023-08-01
600845.SH,1995-06-22,10.4,10.4,10.1,10.2,10.35,-0.15,-1.45,659.0,674.873,2023-08-01
600820.SH,1995-06-22,17.59,17.64,17.28,17.3,17.56,-0.26,-1.48,548.0,955.849,2023-08-01
600669.SH,1995-06-22,2.03,2.1,2.0,2.02,2.05,-0.03,-1.46,29286.0,5997.371,2023-08-01
600602.SH,1995-06-22,2.77,2.82,2.76,2.76,2.78,-0.02,-0.72,3996.0,1112.801,2023-08-01
600840.SH,1995-06-22,4.8,4.8,4.65,4.68,4.81,-0.13,-2.7,1280.0,603.842,2023-08-01
600821.SH,1995-06-22,4.35,4.41,4.27,4.3,4.38,-0.08,-1.83,14568.0,6301.288,2023-08-01
600819.SH,1995-06-22,11.9,12.05,11.81,11.89,12.0,-0.11,-0.92,588.0,700.013,2023-08-01
600612.SH,1995-06-22,8.3,8.31,8.15,8.2,8.3,-0.1,-1.2,720.0,593.252,2023-08-01
600614.SH,1995-06-22,8.51,8.84,8.51,8.7,8.8,-0.1,-1.14,342.0,298.166,2023-08-01
600605.SH,1995-06-22,5.45,5.6,5.45,5.58,5.59,-0.01,-0.18,1008.0,556.139,2023-08-01
