security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
000536.SZ,1995-04-24,4.2,4.29,4.15,4.16,4.25,-0.09,-2.12,4591.0,1937.545,2023-08-01
000560.SZ,1995-04-24,3.44,3.59,3.32,3.33,3.44,-0.11,-3.2,1192.0,399.824,2023-08-01
000001.SZ,1995-04-24,10.5,10.57,10.36,10.43,10.57,-0.14,-1.32,5490.0,5738.0,2023-08-01
000002.SZ,1995-04-24,5.23,5.45,5.23,5.38,5.69,-0.31,-5.45,1285.0,686.0,2023-08-01
000005.SZ,1995-04-24,5.8,5.9,5.7,5.73,5.9,-0.17,-2.88,8706.0,5126.58,2023-08-01
000504.SZ,1995-04-24,3.02,3.05,2.94,2.94,3.08,-0.14,-4.55,3493.0,1050.572,2023-08-01
000045.SZ,1995-04-24,6.5,6.52,6.39,6.39,6.59,-0.2,-3.03,1754.0,1128.0,2023-08-01
600636.SH,1995-04-24,7.05,7.15,7.0,7.1,7.23,-0.13,-1.8,1210.0,859.5,2023-08-01
600804.SH,1995-04-24,2.55,2.56,2.51,2.52,2.58,-0.06,-2.33,1960.0,495.774,2023-08-01
600618.SH,1995-04-24,9.88,10.0,9.6,9.69,10.0,-0.31,-3.1,1602.0,1566.257,2023-08-01
600646.SH,1995-04-24,10.02,10.04,9.9,9.94,10.2,-0.26,-2.55,273.0,272.237,2023-08-01
600647.SH,1995-04-24,8.4,8.55,8.36,8.37,8.63,-0.26,-3.01,1334.0,1123.447,2023-08-01
600809.SH,1995-04-24,4.46,4.5,4.38,4.4,4.53,-0.13,-2.87,3145.0,1397.207,2023-08-01
600856.SH,1995-04-24,3.68,3.68,3.52,3.6,3.73,-0.13,-3.49,1786.0,643.909,2023-08-01
600834.SH,1995-04-24,20.4,20.48,19.83,20.0,20.82,-0.82,-3.94,7556.0,15184.402,2023-08-01
600851.SH,1995-04-24,14.2,14.42,14.03,14.15,14.6,-0.45,-3.08,682.0,971.068,2023-08-01
600833.SH,1995-04-24,14.48,14.68,14.33,14.39,14.76,-0.37,-2.51,954.0,1377.043,2023-08-01
600835.SH,1995-04-24,11.6,11.75,11.45,11.5,11.7,-0.2,-1.71,1628.0,1877.26,2023-08-01
600695.SH,1995-04-24,13.57,13.7,13.45,13.5,13.91,-0.41,-2.95,2032.0,2753.216,2023-08-01
600692.SH,1995-04-24,14.6,15.25,14.6,15.05,15.4,-0.35,-2.27,575.0,857.078,2023-08-01
600808.SH,1995-04-24,1.74,1.76,1.71,1.72,1.76,-0.04,-2.27,59461.0,10261.842,2023-08-01
600661.SH,1995-04-24,8.24,8.3,8.0,8.18,8.41,-0.23,-2.73,1466.0,1197.539,2023-08-01
600645.SH,1995-04-24,17.0,17.0,16.01,16.05,17.15,-1.1,-6.41,4816.0,7849.319,2023-08-01
600681.SH,1995-04-24,3.9,3.95,3.86,3.89,3.97,-0.08,-2.02,1906.0,742.412,2023-08-01
600682.SH,1995-04-24,3.98,4.0,3.9,3.91,4.03,-0.12,-2.98,3841.0,1511.773,2023-08-01
600806.SH,1995-04-24,2.26,2.28,2.24,2.24,2.29,-0.05,-2.18,4228.0,951.666,2023-08-01
600615.SH,1995-04-24,8.7,8.8,8.56,8.6,8.84,-0.24,-2.71,2215.0,1916.686,2023-08-01
