security_code,trade_date,adj_factor,data_date
000001.SZ,2008-07-11,27.524,2023-07-31
000002.SZ,2008-07-11,110.286,2023-07-31
000004.SZ,2008-07-11,4.064,2023-07-31
000005.SZ,2008-07-11,9.268,2023-07-31
000006.SZ,2008-07-11,10.952,2023-07-31
000007.SZ,2008-07-11,5.521,2023-07-31
000008.SZ,2008-07-11,2.532,2023-07-31
000009.SZ,2008-07-11,3.674,2023-07-31
000010.SZ,2008-07-11,2.694,2023-07-31
000011.SZ,2008-07-11,2.086,2023-07-31
000012.SZ,2008-07-11,8.645,2023-07-31
000014.SZ,2008-07-11,3.518,2023-07-31
000016.SZ,2008-07-11,10.056,2023-07-31
000017.SZ,2008-07-11,2.037,2023-07-31
000018.SZ,2008-07-11,1.731,2023-07-31
000019.SZ,2008-07-11,1.983,2023-07-31
000020.SZ,2008-07-11,1.752,2023-07-31
000021.SZ,2008-07-11,8.371,2023-07-31
000022.SZ,2008-07-11,2.978,2023-07-31
000023.SZ,2008-07-11,2.49,2023-07-31
000024.SZ,2008-07-11,4.945,2023-07-31
000025.SZ,2008-07-11,1.883,2023-07-31
000026.SZ,2008-07-11,4.724,2023-07-31
000027.SZ,2008-07-11,5.872,2023-07-31
000028.SZ,2008-07-11,3.729,2023-07-31
000029.SZ,2008-07-11,2.142,2023-07-31
000030.SZ,2008-07-11,1.398,2023-07-31
000031.SZ,2008-07-11,6.628,2023-07-31
000032.SZ,2008-07-11,3.179,2023-07-31
000033.SZ,2008-07-11,1.978,2023-07-31
000034.SZ,2008-07-11,1.906,2023-07-31
000035.SZ,2008-07-11,2.306,2023-07-31
000036.SZ,2008-07-11,6.967,2023-07-31
000037.SZ,2008-07-11,5.659,2023-07-31
000039.SZ,2008-07-11,20.523,2023-07-31
000040.SZ,2008-07-11,4.177,2023-07-31
000042.SZ,2008-07-11,5.733,2023-07-31
000043.SZ,2008-07-11,2.392,2023-07-31
000045.SZ,2008-07-11,2.912,2023-07-31
000046.SZ,2008-07-11,13.87,2023-07-31
000048.SZ,2008-07-11,5.901,2023-07-31
000049.SZ,2008-07-11,3.4,2023-07-31
000050.SZ,2008-07-11,5.377,2023-07-31
000055.SZ,2008-07-11,3.623,2023-07-31
000056.SZ,2008-07-11,1.951,2023-07-31
000058.SZ,2008-07-11,3.181,2023-07-31
000059.SZ,2008-07-11,1.499,2023-07-31
000060.SZ,2008-07-11,11.355,2023-07-31
000061.SZ,2008-07-11,6.518,2023-07-31
000062.SZ,2008-07-11,4.457,2023-07-31
000063.SZ,2008-07-11,5.221,2023-07-31
000065.SZ,2008-07-11,4.106,2023-07-31
000066.SZ,2008-07-11,5.24,2023-07-31
000068.SZ,2008-07-11,2.28,2023-07-31
000069.SZ,2008-07-11,14.52,2023-07-31
000070.SZ,2008-07-11,1.413,2023-07-31
000078.SZ,2008-07-11,8.047,2023-07-31
000088.SZ,2008-07-11,3.934,2023-07-31
000089.SZ,2008-07-11,6.411,2023-07-31
000090.SZ,2008-07-11,1.516,2023-07-31
000096.SZ,2008-07-11,2.524,2023-07-31
000099.SZ,2008-07-11,3.559,2023-07-31
000100.SZ,2008-07-11,1.299,2023-07-31
000150.SZ,2008-07-11,1.988,2023-07-31
000151.SZ,2008-07-11,2.364,2023-07-31
000153.SZ,2008-07-11,5.446,2023-07-31
000155.SZ,2008-07-11,1.535,2023-07-31
000157.SZ,2008-07-11,14.712,2023-07-31
000158.SZ,2008-07-11,2.23,2023-07-31
000159.SZ,2008-07-11,1.468,2023-07-31
000301.SZ,2008-07-11,1.966,2023-07-31
000338.SZ,2008-07-11,1.001,2023-07-31
000400.SZ,2008-07-11,3.767,2023-07-31
000401.SZ,2008-07-11,3.709,2023-07-31
000402.SZ,2008-07-11,21.389,2023-07-31
000404.SZ,2008-07-11,2.919,2023-07-31
000407.SZ,2008-07-11,5.866,2023-07-31
000408.SZ,2008-07-11,5.585,2023-07-31
000409.SZ,2008-07-11,1.99,2023-07-31
000410.SZ,2008-07-11,2.867,2023-07-31
000411.SZ,2008-07-11,2.537,2023-07-31
000413.SZ,2008-07-11,1.454,2023-07-31
000415.SZ,2008-07-11,7.703,2023-07-31
000416.SZ,2008-07-11,9.19,2023-07-31
000417.SZ,2008-07-11,7.179,2023-07-31
000418.SZ,2008-07-11,2.444,2023-07-31
000419.SZ,2008-07-11,4.587,2023-07-31
000420.SZ,2008-07-11,3.176,2023-07-31
000421.SZ,2008-07-11,6.31,2023-07-31
000422.SZ,2008-07-11,9.848,2023-07-31
000423.SZ,2008-07-11,8.457,2023-07-31
000425.SZ,2008-07-11,5.818,2023-07-31
000426.SZ,2008-07-11,6.882,2023-07-31
000428.SZ,2008-07-11,6.09,2023-07-31
000429.SZ,2008-07-11,2.581,2023-07-31
000430.SZ,2008-07-11,3.07,2023-07-31
000488.SZ,2008-07-11,4.094,2023-07-31
000501.SZ,2008-07-11,4.682,2023-07-31
000502.SZ,2008-07-11,3.113,2023-07-31
000503.SZ,2008-07-11,6.344,2023-07-31
000504.SZ,2008-07-11,2.103,2023-07-31
000505.SZ,2008-07-11,3.312,2023-07-31
000507.SZ,2008-07-11,2.178,2023-07-31
000509.SZ,2008-07-11,2.785,2023-07-31
000510.SZ,2008-07-11,10.24,2023-07-31
000511.SZ,2008-07-11,16.201,2023-07-31
000513.SZ,2008-07-11,2.485,2023-07-31
000514.SZ,2008-07-11,3.155,2023-07-31
000515.SZ,2008-07-11,1.862,2023-07-31
000516.SZ,2008-07-11,3.57,2023-07-31
000518.SZ,2008-07-11,8.377,2023-07-31
000519.SZ,2008-07-11,5.6,2023-07-31
000520.SZ,2008-07-11,6.817,2023-07-31
000521.SZ,2008-07-11,3.217,2023-07-31
000522.SZ,2008-07-11,4.083,2023-07-31
000523.SZ,2008-07-11,2.725,2023-07-31
000524.SZ,2008-07-11,4.463,2023-07-31
000525.SZ,2008-07-11,6.676,2023-07-31
000526.SZ,2008-07-11,2.471,2023-07-31
000527.SZ,2008-07-11,25.938,2023-07-31
000528.SZ,2008-07-11,3.879,2023-07-31
000530.SZ,2008-07-11,3.89,2023-07-31
000531.SZ,2008-07-11,4.924,2023-07-31
000532.SZ,2008-07-11,4.251,2023-07-31
000533.SZ,2008-07-11,1.782,2023-07-31
000534.SZ,2008-07-11,3.771,2023-07-31
000536.SZ,2008-07-11,1.194,2023-07-31
000537.SZ,2008-07-11,5.759,2023-07-31
000538.SZ,2008-07-11,8.212,2023-07-31
000539.SZ,2008-07-11,11.522,2023-07-31
000540.SZ,2008-07-11,4.994,2023-07-31
000541.SZ,2008-07-11,11.011,2023-07-31
000543.SZ,2008-07-11,2.313,2023-07-31
000544.SZ,2008-07-11,2.086,2023-07-31
000545.SZ,2008-07-11,1.701,2023-07-31
000546.SZ,2008-07-11,1.717,2023-07-31
000547.SZ,2008-07-11,3.804,2023-07-31
000548.SZ,2008-07-11,3.319,2023-07-31
000550.SZ,2008-07-11,1.959,2023-07-31
000551.SZ,2008-07-11,4.916,2023-07-31
000552.SZ,2008-07-11,1.472,2023-07-31
000553.SZ,2008-07-11,4.029,2023-07-31
000554.SZ,2008-07-11,4.793,2023-07-31
000555.SZ,2008-07-11,1.553,2023-07-31
000557.SZ,2008-07-11,7.328,2023-07-31
000558.SZ,2008-07-11,2.291,2023-07-31
000559.SZ,2008-07-11,11.819,2023-07-31
000560.SZ,2008-07-11,1.534,2023-07-31
000561.SZ,2008-07-11,2.291,2023-07-31
000562.SZ,2008-07-11,4.052,2023-07-31
000563.SZ,2008-07-11,3.806,2023-07-31
000564.SZ,2008-07-11,2.847,2023-07-31
000565.SZ,2008-07-11,2.921,2023-07-31
000566.SZ,2008-07-11,2.284,2023-07-31
000567.SZ,2008-07-11,3.261,2023-07-31
000568.SZ,2008-07-11,22.653,2023-07-31
000569.SZ,2008-07-11,1.815,2023-07-31
000570.SZ,2008-07-11,2.911,2023-07-31
000571.SZ,2008-07-11,7.277,2023-07-31
000572.SZ,2008-07-11,4.611,2023-07-31
000573.SZ,2008-07-11,7.068,2023-07-31
000576.SZ,2008-07-11,6.187,2023-07-31
000578.SZ,2008-07-11,3.765,2023-07-31
000581.SZ,2008-07-11,2.367,2023-07-31
000582.SZ,2008-07-11,3.39,2023-07-31
000584.SZ,2008-07-11,2.896,2023-07-31
000585.SZ,2008-07-11,1.277,2023-07-31
000586.SZ,2008-07-11,3.698,2023-07-31
000587.SZ,2008-07-11,2.078,2023-07-31
000589.SZ,2008-07-11,2.793,2023-07-31
000590.SZ,2008-07-11,4.211,2023-07-31
000591.SZ,2008-07-11,4.012,2023-07-31
000592.SZ,2008-07-11,2.455,2023-07-31
000593.SZ,2008-07-11,5.481,2023-07-31
000594.SZ,2008-07-11,10.798,2023-07-31
000595.SZ,2008-07-11,2.479,2023-07-31
000596.SZ,2008-07-11,1.529,2023-07-31
000597.SZ,2008-07-11,2.134,2023-07-31
000598.SZ,2008-07-11,5.191,2023-07-31
000599.SZ,2008-07-11,4.783,2023-07-31
000600.SZ,2008-07-11,5.122,2023-07-31
000601.SZ,2008-07-11,8.272,2023-07-31
000602.SZ,2008-07-11,3.611,2023-07-31
000603.SZ,2008-07-11,3.798,2023-07-31
000605.SZ,2008-07-11,2.517,2023-07-31
000606.SZ,2008-07-11,4.276,2023-07-31
000607.SZ,2008-07-11,3.735,2023-07-31
000608.SZ,2008-07-11,7.757,2023-07-31
000609.SZ,2008-07-11,5.991,2023-07-31
000610.SZ,2008-07-11,2.976,2023-07-31
000611.SZ,2008-07-11,4.596,2023-07-31
000612.SZ,2008-07-11,5.001,2023-07-31
000613.SZ,2008-07-11,1.43,2023-07-31
000615.SZ,2008-07-11,4.479,2023-07-31
000616.SZ,2008-07-11,10.952,2023-07-31
000617.SZ,2008-07-11,3.918,2023-07-31
000619.SZ,2008-07-11,8.408,2023-07-31
000623.SZ,2008-07-11,9.394,2023-07-31
000625.SZ,2008-07-11,3.561,2023-07-31
000626.SZ,2008-07-11,5.262,2023-07-31
000627.SZ,2008-07-11,13.35,2023-07-31
000628.SZ,2008-07-11,3.123,2023-07-31
000629.SZ,2008-07-11,5.047,2023-07-31
000630.SZ,2008-07-11,4.976,2023-07-31
000632.SZ,2008-07-11,7.527,2023-07-31
000633.SZ,2008-07-11,6.799,2023-07-31
000635.SZ,2008-07-11,3.16,2023-07-31
000636.SZ,2008-07-11,15.995,2023-07-31
000637.SZ,2008-07-11,12.309,2023-07-31
000639.SZ,2008-07-11,1.707,2023-07-31
000650.SZ,2008-07-11,4.587,2023-07-31
000651.SZ,2008-07-11,15.622,2023-07-31
000652.SZ,2008-07-11,25.725,2023-07-31
000655.SZ,2008-07-11,3.437,2023-07-31
000656.SZ,2008-07-11,1.795,2023-07-31
000657.SZ,2008-07-11,3.029,2023-07-31
000659.SZ,2008-07-11,9.44,2023-07-31
000661.SZ,2008-07-11,3.136,2023-07-31
000662.SZ,2008-07-11,4.596,2023-07-31
000663.SZ,2008-07-11,4.049,2023-07-31
000665.SZ,2008-07-11,3.941,2023-07-31
000666.SZ,2008-07-11,1.497,2023-07-31
000667.SZ,2008-07-11,12.789,2023-07-31
000668.SZ,2008-07-11,2.533,2023-07-31
000669.SZ,2008-07-11,1.691,2023-07-31
000671.SZ,2008-07-11,1.896,2023-07-31
000673.SZ,2008-07-11,5.756,2023-07-31
000676.SZ,2008-07-11,8.247,2023-07-31
000677.SZ,2008-07-11,18.3,2023-07-31
000678.SZ,2008-07-11,4.96,2023-07-31
000679.SZ,2008-07-11,3.384,2023-07-31
000680.SZ,2008-07-11,3.435,2023-07-31
000681.SZ,2008-07-11,5.01,2023-07-31
000682.SZ,2008-07-11,15.526,2023-07-31
000683.SZ,2008-07-11,2.722,2023-07-31
000685.SZ,2008-07-11,5.183,2023-07-31
000686.SZ,2008-07-11,5.034,2023-07-31
000687.SZ,2008-07-11,3.319,2023-07-31
000690.SZ,2008-07-11,22.107,2023-07-31
