security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000100.SZ,2004-12-03,4.26,0.4555,0.4555,0.81,19.3099,16.5983,1.9974,0.39,0.3635,,4.8843,258633.1144,99439.5944,99439.5944,1101777.0673,423612.6721,2023-08-05
000778.SZ,2004-12-03,8.22,0.2051,0.2051,0.71,9.1476,8.9099,1.5517,0.9645,0.666,17.2068,,62148.775,21970.0,21970.0,510862.9305,180593.4,2023-08-05
002010.SZ,2004-12-03,12.29,3.6172,3.6172,1.76,24.9835,24.9835,2.7698,2.1126,2.1126,,,8000.0,2000.0,2000.0,98320.0,24580.0,2023-08-05
002029.SZ,2004-12-03,9.54,1.5358,1.5358,1.13,32.4692,32.4692,2.7956,4.3959,4.3959,,,8500.0,2500.0,2500.0,81090.0,23850.0,2023-08-05
600078.SH,2004-12-03,5.65,1.1982,1.1982,0.68,20.9027,20.0794,2.2729,2.1661,1.8973,4.1073,,39988.9968,17231.9472,17231.9472,225937.8319,97360.5017,2023-08-05
600513.SH,2004-12-03,10.5,0.2935,0.2935,0.96,56.0056,59.0287,2.4938,5.6081,3.6968,0.0,1.4286,6000.0,2000.0,2000.0,63000.0,21000.0,2023-08-05
600619.SH,2004-12-03,9.26,0.4775,0.4775,0.94,99.4869,22.3995,3.4297,1.5703,1.2451,0.0,,45662.4329,2433.6323,2433.6323,422834.1287,22535.4351,2023-08-05
600771.SH,2004-12-03,6.68,1.2593,1.2593,1.8,43.9151,34.9636,2.8299,2.2315,2.1171,3.8433,,18688.696,4950.0,4950.0,124840.4893,33066.0,2023-08-05
002027.SZ,2004-12-03,12.14,10.4679,10.4679,4.99,24.1387,24.1387,2.5505,0.7796,0.7796,,,11197.5969,2900.0,2900.0,135938.8264,35206.0,2023-08-05
600166.SH,2004-12-03,6.84,0.6265,0.6265,1.37,13.7325,14.9043,1.824,0.2249,0.1856,3.1387,5.1361,45669.9,15600.0,15600.0,312382.116,106704.0,2023-08-05
600227.SH,2004-12-03,8.12,0.2636,0.2636,0.98,19.3463,14.2078,1.5953,2.3418,2.1562,5.9817,5.9817,17000.0,7000.0,7000.0,138040.0,56840.0,2023-08-05
600256.SH,2004-12-03,6.31,0.7822,0.7822,0.87,18.3423,20.4736,3.449,2.2637,2.2462,,0.6603,86606.1245,24480.0,24480.0,546484.6456,154468.8,2023-08-05
600401.SH,2004-12-03,7.04,0.4977,0.4977,0.63,42.9632,40.8191,2.8214,4.7725,3.6584,,0.3781,14335.9802,6000.0,6000.0,100925.3006,42240.0,2023-08-05
600525.SH,2004-12-03,13.33,0.3148,0.3148,0.91,32.5504,29.1111,3.9347,5.1689,4.3723,,0.7502,9954.0,2500.0,2500.0,132686.82,33325.0,2023-08-05
600667.SH,2004-12-03,3.41,0.4414,0.4414,0.87,299.4684,37.179,2.4298,1.8674,1.1625,0.0,,36881.7381,18964.0,18964.0,125766.7269,64667.24,2023-08-05
600701.SH,2004-12-03,4.44,0.3218,0.3218,2.09,77.1191,90.5605,1.6894,3.7244,3.8734,0.0,,32409.0968,17469.0968,17469.0968,143896.3898,77562.7898,2023-08-05
600863.SH,2004-12-03,4.69,0.3059,0.3059,0.77,27.7912,26.215,2.081,3.0592,2.4518,6.4093,,198122.0,39546.0,39546.0,929192.18,185470.74,2023-08-05
600864.SH,2004-12-03,5.62,0.6264,0.6264,1.33,47.0575,49.7862,1.8237,3.0503,2.7712,3.7495,,13659.4549,4537.5,4537.5,76766.1365,25500.75,2023-08-05
000016.SZ,2004-12-03,5.95,0.4098,0.4098,1.41,35.4386,34.7926,1.1515,0.2797,0.2632,0.0,,60198.6352,22419.8704,22419.8704,358181.8794,133398.2289,2023-08-05
600710.SH,2004-12-03,4.83,1.4145,1.4145,1.06,9.5665,15.9858,2.1865,1.0608,0.99,1.6071,,32999.9998,14879.9998,14879.9998,159389.999,71870.399,2023-08-05
600741.SH,2004-12-03,4.58,0.3376,0.3376,2.81,40.2348,19.4853,1.9523,1.0539,0.9335,4.7185,2.3592,72611.56,33600.0,33600.0,332560.9448,153888.0,2023-08-05
000043.SZ,2004-12-03,9.02,0.7917,0.7917,0.45,44.1931,31.842,4.0251,1.9325,1.5955,1.11,1.11,13932.5472,3819.5872,3819.5872,125671.5757,34452.6765,2023-08-05
600348.SH,2004-12-03,13.33,1.2331,1.2331,2.57,31.1923,23.3567,3.0498,2.8596,1.4562,,2.4056,48100.0,15000.0,15000.0,641173.0,199950.0,2023-08-05
600368.SH,2004-12-03,4.87,0.3897,0.3897,0.82,21.312,27.0548,1.7575,12.3413,12.8576,8.0082,8.898,44200.0,10200.0,10200.0,215254.0,49674.0,2023-08-05
600470.SH,2004-12-03,6.44,0.6685,0.6685,1.43,47.4778,47.4778,2.0562,2.0941,2.0941,,2.3292,18800.0,8000.0,8000.0,121072.0,51520.0,2023-08-05
600577.SH,2004-12-03,7.65,0.6445,0.6445,1.1,34.4581,26.9465,2.6082,1.1879,0.647,2.1786,3.9216,10800.0,3600.0,3600.0,82620.0,27540.0,2023-08-05
600781.SH,2004-12-03,2.43,0.7977,0.7977,1.08,209.5333,57.7159,3.7717,3.2184,2.0746,0.0,,17759.2864,5062.5,5062.5,43155.066,12301.875,2023-08-05
600853.SH,2004-12-03,3.46,0.8497,0.8497,1.71,29.1591,30.3207,2.4149,0.7546,0.7219,0.0,0.1445,53240.0018,16456.0018,16456.0018,184210.4062,56937.7662,2023-08-05
600862.SH,2004-12-03,3.48,0.7684,0.7684,0.45,,,5.3826,2.8684,1.6319,0.0,,23844.4764,12236.784,12236.784,82978.7779,42584.0083,2023-08-05
600881.SH,2004-12-03,4.42,0.6351,0.6351,0.63,56.0891,51.9757,1.0351,1.5596,1.2143,1.5005,,55776.0953,35817.0306,35817.0306,246530.3412,158311.2753,2023-08-05
600892.SH,2004-12-03,3.97,3.7637,,1.37,,,,1.7898,1.7931,,,5050.0,1530.97,1530.97,20048.5,6077.9509,2023-08-05
600035.SH,2004-12-03,4.1,0.7471,0.7471,1.44,32.5773,32.5773,1.8293,12.9089,12.9089,,,93165.2495,28000.0,28000.0,381977.523,114800.0,2023-08-05
600115.SH,2004-12-03,4.43,0.4184,0.4184,0.86,,17.2671,3.4267,1.5545,1.0929,0.0,,486695.0,30000.0,30000.0,2156058.85,132900.0,2023-08-05
600152.SH,2004-12-03,4.6,0.4363,0.4363,1.08,28.7023,32.4734,1.9808,0.8733,0.74,5.7493,2.8747,29349.42,11097.5,11097.5,135007.332,51048.5,2023-08-05
600281.SH,2004-12-03,5.13,0.9765,0.9765,1.0,61.1533,41.8468,1.6732,2.1585,1.6733,0.2924,0.3411,35890.6,10500.0,10500.0,184118.778,53865.0,2023-08-05
600510.SH,2004-12-03,10.05,2.9259,2.9259,1.4,27.8312,30.3257,3.0592,3.5808,3.338,9.5656,9.5656,29224.72,7600.0,7600.0,293708.436,76380.0,2023-08-05
600797.SH,2004-12-03,5.0,3.3032,3.3032,1.23,71.7904,48.1136,3.6992,1.3954,1.1553,1.4512,1.2093,81304.3495,39547.4091,39547.4091,406521.7475,197737.0455,2023-08-05
600800.SH,2004-12-03,4.9,0.9404,1.4107,2.1,44.0984,,3.449,6.7365,7.2528,0.0,,55165.9203,26173.9128,17449.2752,270313.0095,128252.1727,2023-08-05
600467.SH,2004-12-03,8.54,1.0648,1.0648,0.83,33.8147,33.8147,2.4082,4.5147,4.5147,,,18000.0,6000.0,6000.0,153720.0,51240.0,2023-08-05
600496.SH,2004-12-03,7.23,2.2038,2.2038,4.03,320.8436,64.1053,3.0505,7.7026,1.0443,1.9018,,11000.0,4000.0,4000.0,79530.0,28920.0,2023-08-05
600660.SH,2004-12-03,7.02,0.3462,0.3462,0.45,21.9041,17.9056,4.0991,4.0557,3.1338,2.5063,5.5484,100149.3166,38568.411,38568.411,703048.2025,270750.2452,2023-08-05
600889.SH,2004-12-03,5.52,1.4404,1.4404,0.98,16.3769,23.7113,1.8048,1.5579,1.8463,1.095,1.095,19385.6871,8018.2253,8018.2253,107008.9928,44260.6037,2023-08-05
000010.SZ,2004-12-03,5.68,7.1885,9.845,1.18,118.7676,,4.9108,3.6016,3.4934,0.0,,14701.7448,6779.3844,4950.0874,83505.9105,38506.9034,2023-08-05
600306.SH,2004-12-03,6.15,1.2707,1.2707,1.62,55.752,60.622,2.3808,0.9508,0.8264,0.0,,17813.8918,6344.5235,6344.5235,109555.4346,39018.8195,2023-08-05
600320.SH,2004-12-03,9.51,0.7471,0.7471,0.74,31.267,19.8199,3.6402,1.876,1.326,1.0515,1.0515,91300.0,17600.0,17600.0,868263.0,167376.0,2023-08-05
600369.SH,2004-12-03,3.32,2.8087,2.8087,1.35,,,1.2561,6.921,6.2287,0.0,,17230.0,7255.75,7255.75,57203.6,24089.09,2023-08-05
