security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600710.SH,1999-06-23,7.3,7.45,7.2,7.36,7.32,0.04,0.55,39370.0,28865.817,2023-08-01
000001.SZ,1999-06-23,22.0,23.8,21.81,23.25,21.87,1.38,6.31,462531.0,1057346.5852,2023-08-01
600870.SH,1999-06-23,18.48,18.95,17.8,18.5,18.5,0.0,0.0,22031.0,40946.483,2023-08-01
000002.SZ,1999-06-23,12.46,13.0,12.25,12.65,12.33,0.32,2.6,91527.0,116148.762,2023-08-01
000616.SZ,1999-06-23,19.31,19.95,19.0,19.77,19.23,0.54,2.81,7730.0,15047.6208,2023-08-01
600097.SH,1999-06-23,12.99,13.25,12.63,13.0,12.84,0.16,1.25,27492.0,35660.421,2023-08-01
600072.SH,1999-06-23,15.6,15.72,15.36,15.66,15.52,0.14,0.9,21041.0,32777.767,2023-08-01
600101.SH,1999-06-23,15.05,15.27,15.0,15.2,14.97,0.23,1.54,25923.0,39223.194,2023-08-01
600087.SH,1999-06-23,15.0,15.45,14.98,15.32,14.95,0.37,2.47,14291.0,21796.701,2023-08-01
600100.SH,1999-06-23,42.5,46.5,42.31,46.5,42.27,4.23,10.01,27799.0,123166.787,2023-08-01
600001.SH,1999-06-23,13.04,13.1,12.45,12.84,12.95,-0.11,-0.85,246402.0,313963.993,2023-08-01
600093.SH,1999-06-23,11.0,11.36,11.0,11.19,11.0,0.19,1.73,29951.0,33526.974,2023-08-01
600107.SH,1999-06-23,14.34,15.05,14.16,14.74,14.2,0.54,3.8,18425.0,27031.044,2023-08-01
600065.SH,1999-06-23,11.8,12.5,11.6,12.26,11.66,0.6,5.15,27422.0,33111.405,2023-08-01
600089.SH,1999-06-23,25.5,26.1,24.4,25.58,25.38,0.2,0.79,24275.0,61236.809,2023-08-01
600110.SH,1999-06-23,15.3,15.5,15.02,15.3,15.25,0.05,0.33,12467.0,19029.882,2023-08-01
600104.SH,1999-06-23,13.51,14.19,13.45,13.71,13.45,0.26,1.93,249506.0,345034.419,2023-08-01
600115.SH,1999-06-23,4.9,5.02,4.72,4.88,4.68,0.2,4.27,139067.0,68048.756,2023-08-01
000010.SZ,1999-06-23,12.6,13.5,12.45,12.98,12.43,0.55,4.42,51185.0,66496.6384,2023-08-01
600127.SH,1999-06-23,13.68,14.3,13.68,14.12,13.98,0.14,1.0,24356.0,34019.74,2023-08-01
000686.SZ,1999-06-23,11.96,13.0,11.95,12.5,11.94,0.56,4.69,23132.0,28902.726,2023-08-01
600135.SH,1999-06-23,20.86,22.87,20.5,22.87,20.79,2.08,10.0,34960.0,77594.259,2023-08-01
600091.SH,1999-06-23,20.51,21.68,19.81,21.0,20.15,0.85,4.22,103711.0,216059.161,2023-08-01
000868.SZ,1999-06-23,11.7,12.08,11.7,11.96,11.66,0.3,2.57,27203.0,32410.0097,2023-08-01
600082.SH,1999-06-23,8.55,8.9,8.51,8.83,8.55,0.28,3.27,30272.0,26301.654,2023-08-01
000671.SZ,1999-06-23,11.42,11.69,11.3,11.41,11.5,-0.09,-0.78,8541.0,9745.1975,2023-08-01
000017.SZ,1999-06-23,4.68,4.82,4.55,4.8,4.62,0.18,3.9,34767.0,16185.2524,2023-08-01
000401.SZ,1999-06-23,7.1,7.44,7.05,7.28,7.09,0.19,2.68,100242.0,72710.1303,2023-08-01
