security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000683.SZ,2003-01-03,4.85,0.0945,0.0945,0.47,,,4.0443,3.2829,2.7579,0.0,,46900.0,16900.0,16900.0,227465.0,81965.0,2023-08-05
000729.SZ,2003-01-03,8.35,0.077,0.077,0.22,19.5069,21.5171,1.4685,2.4359,2.3344,8.5396,8.5396,66742.45,18720.0,18720.0,557299.4575,156312.0,2023-08-05
000913.SZ,2003-01-03,5.28,0.2125,0.2125,0.52,31.6692,43.1326,1.924,0.881,0.9641,3.9708,3.9708,45353.6,13520.0,13520.0,239467.008,71385.6,2023-08-05
000921.SZ,2003-01-03,6.64,0.5226,0.924,0.8,,,2.5932,1.5033,1.5907,0.0,,99200.6563,19450.1,11000.0,658692.3578,129148.664,2023-08-05
600074.SH,2003-01-03,6.05,0.2127,0.3829,0.32,27.2369,25.8029,2.0447,3.9945,3.24,3.2242,3.2242,34128.0,17496.0,9720.0,206474.4,105850.8,2023-08-05
600159.SH,2003-01-03,8.41,0.2742,0.2742,0.39,,,4.1328,12.608,18.7206,0.0,,30500.1616,8800.768,8800.768,256506.3591,74014.4589,2023-08-05
600270.SH,2003-01-03,15.19,0.2291,0.2291,0.39,24.0701,22.7621,3.1328,3.7755,2.8928,4.3443,4.3443,36585.12,9240.0,9240.0,555727.9728,140355.6,2023-08-05
600275.SH,2003-01-03,10.8,0.2342,0.2342,0.31,70.8179,91.5284,4.5381,38.2491,45.1981,1.4932,1.4932,31795.517,9100.0,9100.0,343391.5836,98280.0,2023-08-05
600568.SH,2003-01-03,13.33,0.3539,0.3539,0.49,70.0378,64.886,2.184,11.8896,11.9561,0.0,,7286.0,3500.0,3500.0,97122.38,46655.0,2023-08-05
600122.SH,2003-01-03,6.89,0.1684,0.1684,0.68,37.8184,37.0089,2.2748,1.097,1.0897,1.2869,1.2869,31920.0,14400.0,14400.0,219928.8,99216.0,2023-08-05
600200.SH,2003-01-03,16.83,0.2087,0.2087,0.79,56.076,65.2797,5.8653,6.9782,7.6464,0.79,0.79,27720.0,12510.0,12510.0,466527.6,210543.3,2023-08-05
600307.SH,2003-01-03,4.84,0.1501,0.1501,0.58,13.1837,11.8398,1.5483,1.0316,1.0387,12.7851,12.7851,72800.0,20000.0,20000.0,352352.0,96800.0,2023-08-05
600345.SH,2003-01-03,12.17,0.6432,0.6432,0.63,12.0767,25.2364,2.65,6.1857,5.6813,3.7661,3.7661,19800.0,5400.0,5400.0,240966.0,65718.0,2023-08-05
600793.SH,2003-01-03,9.52,4.3365,4.3365,1.38,78.9946,,6.2719,2.1792,2.5049,0.0,,10530.0,3354.0,3354.0,100245.6,31930.08,2023-08-05
000045.SZ,2003-01-03,11.49,0.375,0.375,0.99,74.505,73.1851,5.7988,5.4601,4.8823,,,16341.6,2217.6,2217.6,187764.984,25480.224,2023-08-05
000732.SZ,2003-01-03,6.49,0.2788,0.2788,0.8,35.5621,42.4304,2.0352,2.179,2.0451,2.6524,2.6524,15266.88,8869.0,8869.0,99082.0512,57559.81,2023-08-05
600002.SH,2003-01-03,3.69,0.1071,0.1071,0.51,340.3475,,1.5792,1.0247,1.1559,0.0,,195000.0,35000.0,35000.0,719550.0,129150.0,2023-08-05
600069.SH,2003-01-03,4.85,0.337,0.337,0.51,,,4.6597,9.843,6.6463,0.0,,37160.0,14560.0,14560.0,180226.0,70616.0,2023-08-05
600117.SH,2003-01-03,4.5,0.0979,0.0979,0.6,29.0972,26.1119,1.7857,2.1148,2.121,0.0,,58222.0,16000.0,16000.0,261999.0,72000.0,2023-08-05
600301.SH,2003-01-03,6.67,0.1728,0.1728,0.63,53.8427,51.1965,2.2649,2.7463,2.5533,3.8082,3.8082,18514.814,7289.0345,7289.0345,123493.8094,48617.8601,2023-08-05
600361.SH,2003-01-03,13.91,0.2747,0.2747,1.29,38.1235,37.447,2.9889,1.4045,1.1065,0.0,,12557.29,5000.0,5000.0,174671.9039,69550.0,2023-08-05
600599.SH,2003-01-03,14.69,0.4,0.7201,0.85,104.0433,78.2706,6.5168,9.3875,6.6979,1.805,1.805,12600.0,3960.0,2200.0,185094.0,58172.4,2023-08-05
600682.SH,2003-01-03,6.05,0.0976,0.0976,0.4,22.3771,27.5996,1.6219,0.9614,0.8117,3.7334,3.7334,23020.8211,15288.0,15288.0,139275.9677,92492.4,2023-08-05
600683.SH,2003-01-03,7.83,0.1481,0.1481,0.51,386.8141,394.3718,6.3345,2.3635,2.2432,0.0,,19925.3729,8989.0449,8989.0449,156015.6698,70384.2216,2023-08-05
600805.SH,2003-01-03,4.46,0.1034,0.1034,0.6,119.508,,1.4223,1.9197,1.5872,0.0,,54544.5188,30949.0514,30949.0514,243268.5538,138032.7692,2023-08-05
000699.SZ,2003-01-03,6.29,2.4023,2.4023,0.93,,,3.1759,4.9247,10.7113,,,22744.8,9360.0,9360.0,143064.792,58874.4,2023-08-05
000717.SZ,2003-01-03,7.6,0.2528,0.2528,0.79,13.1385,12.3521,1.2943,0.8656,0.8584,5.2632,5.2632,44720.0,13520.0,13520.0,339872.0,102752.0,2023-08-05
000851.SZ,2003-01-03,5.82,2.9673,2.9673,0.47,,,5.2011,12.1536,12.967,0.0,,22490.0,7748.0,7748.0,130891.8,45093.36,2023-08-05
000022.SZ,2003-01-03,11.27,0.2328,0.2328,0.42,49.519,31.1161,3.4398,9.0358,7.2574,,,38151.7,5060.0,5060.0,429969.659,57026.2,2023-08-05
