security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
002092.SZ,2009-09-30,13.74,1.8395,2.412,0.76,60.4667,3826.9808,2.9684,2.1492,2.2344,0.2547,0.0728,53686.0,42777.11,32623.5168,737645.64,587757.4914,2023-08-05
002093.SZ,2009-09-30,13.56,1.189,1.189,0.54,46.7306,42.3796,7.6052,7.0103,6.1421,0.3687,,26700.0,7534.6516,7534.6516,362052.0,102169.8757,2023-08-05
002094.SZ,2009-09-30,8.35,2.2643,2.2643,0.52,90.7545,122.5143,4.5937,3.3087,3.5307,0.2994,2.1557,21461.108,10081.156,10081.156,179200.2518,84177.6526,2023-08-05
002095.SZ,2009-09-30,24.46,2.8557,2.8866,0.66,70.4848,68.9951,5.8256,20.8495,19.1894,0.2726,0.4088,9000.0,2460.3001,2433.9875,220140.0,60178.9404,2023-08-05
002098.SZ,2009-09-30,7.69,4.2765,4.2765,0.95,56.9115,165.0957,2.246,1.3839,1.5577,2.6008,1.3004,15500.0,5800.0,5800.0,119195.0,44602.0,2023-08-05
002099.SZ,2009-09-30,7.5,1.1999,1.3998,0.7,47.0265,83.3804,2.2191,1.1324,1.3653,1.3333,1.3333,16050.0,8174.996,7007.4219,120375.0,61312.47,2023-08-05
002100.SZ,2009-09-30,15.27,1.5553,2.9371,0.81,35.5715,27.998,3.7274,2.3413,1.6149,0.1151,0.3526,16381.3,8307.0,4398.811,250142.451,126847.89,2023-08-05
002101.SZ,2009-09-30,15.71,2.3057,3.7237,0.76,36.366,40.7832,2.8508,1.881,2.2361,0.0,1.2731,6700.0,4317.02,2673.0613,105257.0,67820.3842,2023-08-05
002103.SZ,2009-09-30,7.14,1.0068,1.5731,0.31,23.3274,25.365,2.4178,1.7896,1.9228,1.4006,1.8487,21843.1,9597.7477,6142.3571,155959.734,68527.9186,2023-08-05
002104.SZ,2009-09-30,9.65,5.9747,6.7939,1.49,34.9269,34.1618,5.8054,7.5676,7.3946,1.3817,1.0363,29376.0,15525.027,13653.113,283478.4,149816.5106,2023-08-05
