security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
600608.SH,1994-11-10,7.45,4.8701,186.325,0.76,40.1802,41.7285,4.2082,4.0684,3.9908,,,6143.316,3060.72,80.0,45767.7042,22802.364,2023-08-05
000045.SZ,1994-11-10,7.81,15.6577,15.6577,1.96,22.9909,22.9909,4.0944,3.0283,3.0283,,,12380.0,1300.0,1300.0,96687.8,10153.0,2023-08-05
000551.SZ,1994-11-10,5.09,2.5794,3.4393,1.28,16.1904,11.3715,1.8731,0.6143,0.5322,,,8100.0,3600.0,2700.0,41229.0,18324.0,2023-08-05
600826.SH,1994-11-10,11.95,5.3749,5.689,1.04,32.9689,29.1351,3.9509,1.2808,1.0184,,,14163.04,3550.0,3354.0,169248.328,42422.5,2023-08-05
600832.SH,1994-11-10,23.2,6.0112,7.8145,1.08,184.2875,184.2875,16.0366,56.2935,56.2935,,0.3647,43084.772,2600.0,2000.0,999566.7104,60320.0,2023-08-05
600645.SH,1994-11-10,14.1,6.9167,25.9375,0.91,47.4775,34.3861,6.3091,7.8346,7.209,,,6783.68,1500.0,400.0,95649.888,21150.0,2023-08-05
600857.SH,1994-11-10,8.1,5.5785,5.5785,0.61,30.6074,30.6074,2.414,0.9741,0.9741,,,5350.0,1350.0,1350.0,43335.0,10935.0,2023-08-05
600626.SH,1994-11-10,8.02,8.9536,17.1908,0.7,45.2625,41.4119,4.9305,1.7215,1.4011,,1.0391,18307.536,2304.0,1200.0,146826.4387,18478.08,2023-08-05
600699.SH,1994-11-10,4.45,4.256,4.256,1.34,34.6703,26.6738,2.0836,4.7464,4.492,,,9000.0,2500.0,2500.0,40050.0,11125.0,2023-08-05
600865.SH,1994-11-10,6.93,2.7188,2.7188,0.62,23.5862,23.5862,4.6947,0.9825,0.9825,,,9828.0,2500.0,2500.0,68108.04,17325.0,2023-08-05
600642.SH,1994-11-10,4.73,2.9303,10.9885,0.56,25.69,25.69,3.2895,334.293,334.293,,3.1712,240273.67,8964.0,2390.4,1136494.4591,42399.72,2023-08-05
000568.SZ,1994-11-10,12.75,2.0919,2.3243,1.08,18.8096,18.8096,2.6484,4.9201,4.9201,,,8688.0,2188.0,1969.2,110772.0,27897.0,2023-08-05
000506.SZ,1994-11-10,3.26,0.9517,2.1231,1.45,17.6492,15.4062,1.62,2.6979,2.7059,,0.0,19734.8165,10039.2,4500.0,64335.5018,32727.792,2023-08-05
000505.SZ,1994-11-10,6.46,1.4227,6.6536,2.28,10.7006,9.3049,2.8037,7.874,6.3127,,0.6566,27839.2,9861.376,2108.64,179841.232,63704.489,2023-08-05
600823.SH,1994-11-10,13.45,6.4213,6.4213,0.94,,,4.7732,,,,,5000.0,1125.0,1125.0,67250.0,15131.25,2023-08-05
000559.SZ,1994-11-10,5.25,2.3074,2.3074,1.14,21.3476,21.3476,2.5121,2.9056,2.9056,,,10900.0888,2700.0,2700.0,57225.4662,14175.0,2023-08-05
600629.SH,1994-11-10,8.9,6.4767,12.6295,0.77,68.243,51.8894,4.7727,24.173,24.0157,,,5272.644,1716.0,880.0,46926.5316,15272.4,2023-08-05
000043.SZ,1994-11-10,9.95,15.0725,15.0725,1.72,20.7935,20.7935,3.7729,3.1625,3.1625,,,9100.0,1670.0,1670.0,90545.0,16616.5,2023-08-05
000533.SZ,1994-11-10,3.27,0.5848,1.4109,1.08,10.8869,8.265,1.7857,1.2636,1.0562,,,57568.0,9940.16,4120.0,188247.36,32504.3232,2023-08-05
000529.SZ,1994-11-10,6.37,0.6321,1.74,1.04,10.8966,10.8966,1.5419,1.547,1.547,,0.6843,19876.68,7020.0,2550.0,126614.4516,44717.4,2023-08-05
600628.SH,1994-11-10,16.5,5.6373,23.0,1.51,96.0202,80.2532,5.2466,3.7567,3.2844,,,5096.6,1632.0,400.0,84093.9,26928.0,2023-08-05
600624.SH,1994-11-10,11.23,6.4833,,1.23,31.7348,27.5702,3.7045,5.2837,4.1131,,1.7809,5875.684,2699.685,,65983.9313,30317.4626,2023-08-05
600668.SH,1994-11-10,3.82,1.6598,4.4814,0.76,14.9686,12.4713,1.9678,2.6354,2.6246,,0.9696,12454.3072,3915.0,1450.0,47575.4535,14955.3,2023-08-05
600678.SH,1994-11-10,5.4,0.8717,2.092,0.59,8.0476,8.1617,2.3744,3.6338,3.7167,,6.4815,23266.0,9600.0,4000.0,125636.4,51840.0,2023-08-05
601607.SH,1994-11-10,12.49,17.146,19.0511,2.26,36.4369,36.4369,3.9659,3.2078,3.2078,,,5796.66,1500.0,1350.0,72400.2834,18735.0,2023-08-05
000513.SZ,1994-11-10,5.18,0.4629,2.0146,0.92,11.4683,9.3538,1.6833,1.1393,1.2535,,,18442.18,5658.38,1300.0,95530.4924,29310.4084,2023-08-05
600641.SH,1994-11-10,14.72,4.0384,8.723,1.06,35.8093,37.4932,8.3282,27.1322,19.3016,,0.4529,13348.8,2160.0,1000.0,196494.336,31795.2,2023-08-05
000040.SZ,1994-11-10,9.28,6.615,6.615,2.54,20.095,20.095,2.3282,7.3287,7.3287,,,11212.78,2200.0,2200.0,104054.5984,20416.0,2023-08-05
600814.SH,1994-11-10,6.65,2.1954,4.5223,0.76,,,2.9165,,,,3.4702,11372.4,4531.8,2200.0,75626.46,30136.47,2023-08-05
000035.SZ,1994-11-10,7.0,4.4753,5.5942,1.35,32.7702,32.7702,2.9219,3.4083,3.4083,,,8104.0,1500.0,1200.0,56728.0,10500.0,2023-08-05
600666.SH,1994-11-10,8.66,4.2264,6.7622,0.81,30.9732,26.0106,4.9188,3.3089,3.3347,,,7593.0,2752.0,1720.0,65755.38,23832.32,2023-08-05
000014.SZ,1994-11-10,10.15,6.2784,22.713,3.97,18.0775,15.6245,3.1761,1.5123,1.0617,0.2179,0.6326,7171.74,3617.628,1000.0,72793.161,36718.9242,2023-08-05
600848.SH,1994-11-10,10.51,33.99,42.4875,2.7,640.7172,253.871,4.8451,44.0437,54.0059,,,26086.1,2200.0,1760.0,274164.911,23122.0,2023-08-05
600680.SH,1994-11-10,16.15,4.8838,,0.94,65.637,65.637,10.7959,7.3948,7.3948,,,14659.872,1300.0,,236756.9328,20995.0,2023-08-05
600637.SH,1994-11-10,4.82,2.3737,5.3408,0.81,28.1139,24.1319,2.511,0.6725,0.6917,,2.9875,50849.942,4568.4,2030.4,245096.7204,22019.688,2023-08-05
600649.SH,1994-11-10,6.0,8.4245,41.5768,0.9,30.7377,25.8571,3.1509,19.1015,17.0854,,3.0833,84738.76,9498.72,1924.68,508432.56,56992.32,2023-08-05
000516.SZ,1994-11-10,5.15,2.4132,3.1174,1.36,25.1137,19.586,2.5977,19.4232,32.8961,,1.5031,6078.3,1688.208,1306.84,31303.245,8694.2712,2023-08-05
600860.SH,1994-11-10,4.35,1.006,1.006,0.42,18.2033,18.2033,1.9612,4.3901,4.3901,,1.1494,40000.0,3500.0,3500.0,174000.0,15225.0,2023-08-05
600834.SH,1994-11-10,22.3,21.4929,26.8661,1.11,518.4309,518.4309,18.0063,309.2006,309.2006,,,18200.0,2400.0,1920.0,405860.0,53520.0,2023-08-05
600801.SH,1994-11-10,5.65,9.816,13.0881,1.83,17.9386,16.7485,2.6138,18.2203,24.7644,,,16440.0,4800.0,3600.0,92886.0,27120.0,2023-08-05
600654.SH,1994-11-10,8.88,3.5563,388.0349,0.77,48.2335,46.8934,4.405,7.3125,6.3978,0.0753,,12672.24,9383.625,86.0,112529.4912,83326.59,2023-08-05
