security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
000024.SZ,1993-12-09,11.4,11.4,11.05,11.1,11.4,-0.3,-2.63,4721.0,5295.0,2023-08-01
600632.SH,1993-12-09,24.8,25.0,23.8,24.15,24.5,-0.35,-1.43,3298.0,8026.0,2023-08-01
600666.SH,1993-12-09,9.65,9.65,8.81,8.99,9.8,-0.81,-8.27,7364.0,6789.0,2023-08-01
600620.SH,1993-12-09,26.7,26.7,25.4,25.75,26.73,-0.98,-3.67,4534.0,11750.0,2023-08-01
600606.SH,1993-12-09,8.22,8.35,7.91,7.99,8.15,-0.16,-1.96,5704.0,4659.0,2023-08-01
600605.SH,1993-12-09,8.1,8.25,7.46,7.89,8.05,-0.16,-1.99,3880.0,3113.0,2023-08-01
600640.SH,1993-12-09,29.5,29.8,28.21,28.5,29.3,-0.8,-2.73,2715.0,7840.0,2023-08-01
600641.SH,1993-12-09,27.0,27.15,25.9,26.2,26.8,-0.6,-2.24,4069.0,10776.0,2023-08-01
600610.SH,1993-12-09,9.5,9.7,9.01,9.12,9.4,-0.28,-2.98,1851.0,1719.0,2023-08-01
600685.SH,1993-12-09,6.3,6.34,6.1,6.14,6.24,-0.1,-1.6,13555.0,8429.0,2023-08-01
600678.SH,1993-12-09,25.0,25.0,23.81,24.1,24.69,-0.59,-2.39,6158.0,15025.0,2023-08-01
600657.SH,1993-12-09,13.25,13.25,12.83,12.9,12.81,0.09,0.7,4459.0,5831.0,2023-08-01
600627.SH,1993-12-09,8.9,9.1,8.48,8.6,8.8,-0.2,-2.27,7788.0,6793.0,2023-08-01
600616.SH,1993-12-09,23.49,23.49,22.6,22.8,23.6,-0.8,-3.39,2641.0,6069.0,2023-08-01
600603.SH,1993-12-09,25.0,25.8,24.0,24.6,25.49,-0.89,-3.49,29336.0,72720.0,2023-08-01
600674.SH,1993-12-09,10.8,10.8,10.3,10.4,10.65,-0.25,-2.35,7300.0,7753.0,2023-08-01
600648.SH,1993-12-09,30.0,30.43,28.75,29.6,30.44,-0.84,-2.76,5556.0,16455.0,2023-08-01
600611.SH,1993-12-09,21.3,21.48,20.01,20.54,21.49,-0.95,-4.42,5731.0,11899.0,2023-08-01
600658.SH,1993-12-09,15.69,15.85,14.94,15.4,15.24,0.16,1.05,10332.0,16007.0,2023-08-01
600604.SH,1993-12-09,11.2,11.3,10.58,10.7,10.98,-0.28,-2.55,5083.0,5562.0,2023-08-01
600600.SH,1993-12-09,9.3,9.35,8.88,9.16,9.13,0.03,0.33,20116.0,18375.0,2023-08-01
600676.SH,1993-12-09,15.01,15.47,13.92,14.35,14.3,0.05,0.35,12371.0,18084.0,2023-08-01
600623.SH,1993-12-09,14.25,14.35,13.1,13.62,14.15,-0.53,-3.75,1328.0,1862.0,2023-08-01
600675.SH,1993-12-09,23.2,23.25,21.88,22.2,23.15,-0.95,-4.1,5094.0,11473.0,2023-08-01
600688.SH,1993-12-09,5.15,5.2,5.02,5.06,5.1,-0.04,-0.78,5252.0,2681.0,2023-08-01
600633.SH,1993-12-09,15.2,15.28,14.0,14.35,14.9,-0.55,-3.69,5042.0,7406.0,2023-08-01
600659.SH,1993-12-09,12.49,12.49,11.12,11.7,12.5,-0.8,-6.4,40840.0,48955.0,2023-08-01
600602.SH,1993-12-09,7.95,7.98,7.5,7.6,7.8,-0.2,-2.56,15050.0,11618.0,2023-08-01
600669.SH,1993-12-09,9.3,9.5,8.9,9.05,9.26,-0.21,-2.27,8035.0,7389.0,2023-08-01
600614.SH,1993-12-09,13.7,13.7,12.85,13.1,13.55,-0.45,-3.32,1297.0,1725.0,2023-08-01
600612.SH,1993-12-09,17.81,18.0,17.3,18.0,17.5,0.5,2.86,1657.0,2923.0,2023-08-01
600670.SH,1993-12-09,10.26,10.26,9.61,9.77,10.0,-0.23,-2.3,35812.0,35743.0,2023-08-01
600617.SH,1993-12-09,21.45,21.5,19.81,20.1,21.35,-1.25,-5.85,1742.0,3586.0,2023-08-01
600644.SH,1993-12-09,10.61,10.8,10.18,10.28,10.55,-0.27,-2.56,3409.0,3553.0,2023-08-01
600686.SH,1993-12-09,19.75,19.99,18.3,18.99,19.71,-0.72,-3.65,4056.0,7805.0,2023-08-01
600635.SH,1993-12-09,25.5,25.5,23.8,24.65,25.75,-1.1,-4.27,7490.0,18611.0,2023-08-01
