security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
002190.SZ,2008-07-23,9.55,9.81,9.46,9.58,9.55,0.03,0.31,7420.33,7149.3546,2023-08-01
600343.SH,2008-07-23,12.5,12.78,12.42,12.49,12.5,-0.01,-0.08,8946.04,11274.461,2023-08-01
600095.SH,2008-07-23,4.24,4.27,4.15,4.19,4.19,0.0,0.0,28361.29,11975.928,2023-08-01
600197.SH,2008-07-23,8.2,8.34,8.11,8.18,8.18,0.0,0.0,28234.35,23193.285,2023-08-01
601588.SH,2008-07-23,7.54,7.78,7.41,7.44,7.51,-0.07,-0.93,190869.92,144352.128,2023-08-01
000513.SZ,2008-07-23,19.4,19.6,18.58,18.8,19.39,-0.59,-3.04,32700.18,62004.4501,2023-08-01
000848.SZ,2008-07-23,20.2,20.5,19.98,19.99,20.41,-0.42,-2.06,1083.95,2183.0477,2023-08-01
600713.SH,2008-07-23,8.08,8.1,7.7,7.75,7.91,-0.16,-2.02,49947.15,39296.215,2023-08-01
002254.SZ,2008-07-23,30.22,30.8,29.8,29.98,30.16,-0.18,-0.6,14349.99,43382.5319,2023-08-01
600754.SH,2008-07-23,13.34,13.4,12.9,13.09,13.31,-0.22,-1.65,29096.73,38279.32,2023-08-01
002066.SZ,2008-07-23,9.47,9.54,9.21,9.28,9.47,-0.19,-2.01,2428.54,2279.0894,2023-08-01
000025.SZ,2008-07-23,6.28,6.3,6.0,6.03,6.19,-0.16,-2.58,7502.42,4589.5749,2023-08-01
000903.SZ,2008-07-23,8.45,8.56,8.33,8.35,8.4,-0.05,-0.6,23689.4,20030.7472,2023-08-01
000977.SZ,2008-07-23,6.92,7.18,6.78,7.08,6.88,0.2,2.91,38958.9,27413.1215,2023-08-01
600558.SH,2008-07-23,10.07,10.22,9.93,10.0,10.05,-0.05,-0.5,10618.19,10664.157,2023-08-01
600317.SH,2008-07-23,10.78,10.88,10.61,10.76,10.69,0.07,0.65,24835.28,26736.329,2023-08-01
000666.SZ,2008-07-23,5.57,5.65,5.35,5.36,5.6,-0.24,-4.29,84102.62,45868.0261,2023-08-01
000862.SZ,2008-07-23,12.9,13.1,12.55,12.58,12.98,-0.4,-3.08,53871.22,68762.2127,2023-08-01
600336.SH,2008-07-23,5.29,5.3,5.12,5.13,5.25,-0.12,-2.29,12955.61,6732.505,2023-08-01
600962.SH,2008-07-23,18.55,19.4,18.18,18.81,18.45,0.36,1.95,61549.12,117009.289,2023-08-01
