security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
002239.SZ,2013-10-16,10.92,10.99,10.67,10.81,10.91,-0.1,-0.92,61004.85,65807.0803,2023-08-01
600523.SH,2013-10-16,11.43,11.59,11.01,11.1,11.51,-0.41,-3.56,31970.47,36018.813,2023-08-01
000837.SZ,2013-10-16,6.95,6.97,6.63,6.67,7.0,-0.33,-4.71,71451.67,48392.9608,2023-08-01
600367.SH,2013-10-16,9.96,9.97,9.47,9.56,9.98,-0.42,-4.21,51454.91,49912.331,2023-08-01
600302.SH,2013-10-16,4.54,5.01,4.46,4.7,4.55,0.15,3.3,130451.68,62488.705,2023-08-01
000921.SZ,2013-10-16,9.58,9.77,9.28,9.58,9.69,-0.11,-1.14,64074.85,60592.364,2023-08-01
600052.SH,2013-10-16,3.72,3.74,3.59,3.62,3.72,-0.1,-2.69,51436.5,18709.513,2023-08-01
600361.SH,2013-10-16,5.09,5.1,4.7,4.81,5.08,-0.27,-5.32,113626.78,55523.868,2023-08-01
002235.SZ,2013-10-16,14.95,14.95,13.46,13.46,14.95,-1.49,-9.97,69327.72,96898.9195,2023-08-01
600038.SH,2013-10-16,26.8,27.2,25.92,26.12,26.98,-0.86,-3.19,24798.14,65290.031,2023-08-01
601158.SH,2013-10-16,5.94,5.94,5.81,5.84,5.95,-0.11,-1.85,90646.01,53146.44,2023-08-01
002357.SZ,2013-10-16,9.07,9.1,8.91,9.05,9.08,-0.03,-0.33,13278.08,11986.9118,2023-08-01
002379.SZ,2013-10-16,6.38,6.39,6.0,6.03,6.36,-0.33,-5.19,78472.0,47811.1425,2023-08-01
600644.SH,2013-10-16,8.48,8.48,8.15,8.2,8.49,-0.29,-3.42,45003.53,37134.355,2023-08-01
002142.SZ,2013-10-16,8.96,8.98,8.83,8.87,8.97,-0.1,-1.11,120534.75,107138.0521,2023-08-01
300239.SZ,2013-10-16,12.7,13.36,12.6,12.9,12.51,0.39,3.12,275420.12,357880.8215,2023-08-01
600150.SH,2013-10-16,18.15,18.41,17.75,17.87,18.37,-0.5,-2.72,62014.05,111341.016,2023-08-01
300262.SZ,2013-10-16,14.8,14.86,14.01,14.6,14.85,-0.25,-1.68,110386.14,159798.0509,2023-08-01
601222.SH,2013-10-16,20.88,21.46,19.33,20.12,21.06,-0.94,-4.46,28649.98,58056.495,2023-08-01
000430.SZ,2013-10-16,7.39,7.51,7.34,7.49,7.38,0.11,1.49,69812.99,51884.7273,2023-08-01
002094.SZ,2013-10-16,8.66,8.74,8.25,8.33,8.66,-0.33,-3.81,65734.54,55561.7783,2023-08-01
002410.SZ,2013-10-16,30.21,30.29,28.5,29.5,30.09,-0.59,-1.96,35214.71,102560.4721,2023-08-01
600487.SH,2013-10-16,18.85,18.98,18.26,18.39,18.99,-0.6,-3.16,24751.42,45843.957,2023-08-01
002021.SZ,2013-10-16,5.46,5.75,5.41,5.74,5.46,0.28,5.13,231550.92,130764.9245,2023-08-01
001696.SZ,2013-10-16,5.04,5.04,4.88,4.88,5.05,-0.17,-3.37,115361.02,56975.7118,2023-08-01
300122.SZ,2013-10-16,61.16,61.16,59.5,59.99,61.16,-1.17,-1.91,3806.21,22818.7282,2023-08-01
000593.SZ,2013-10-16,6.44,6.59,6.31,6.43,6.4,0.03,0.47,44127.56,28443.7011,2023-08-01
600866.SH,2013-10-16,4.65,4.65,4.45,4.47,4.67,-0.2,-4.28,51186.61,23126.515,2023-08-01
000877.SZ,2013-10-16,6.79,7.02,6.72,6.77,6.81,-0.04,-0.59,132626.5,91491.8757,2023-08-01
600136.SH,2013-10-16,11.28,11.28,10.85,11.08,11.28,-0.2,-1.77,17296.19,19138.877,2023-08-01
600721.SH,2013-10-16,8.06,8.15,7.9,7.97,8.14,-0.17,-2.09,20500.82,16370.415,2023-08-01
002377.SZ,2013-10-16,7.18,7.3,6.99,7.0,7.2,-0.2,-2.78,26192.9,18677.9599,2023-08-01
600110.SH,2013-10-16,6.3,6.3,6.06,6.13,6.28,-0.15,-2.39,215702.89,132399.104,2023-08-01
000836.SZ,2013-10-16,6.39,6.43,6.27,6.31,6.43,-0.12,-1.87,51949.86,32890.4081,2023-08-01
600336.SH,2013-10-16,5.35,5.66,5.21,5.65,5.37,0.28,5.21,594919.61,326926.128,2023-08-01
300192.SZ,2013-10-16,9.62,9.66,9.35,9.52,9.62,-0.1,-1.04,19672.48,18634.1315,2023-08-01
002165.SZ,2013-10-16,5.65,5.74,5.44,5.53,5.65,-0.12,-2.12,105712.9,59062.8997,2023-08-01
002186.SZ,2013-10-16,21.3,21.3,19.96,20.25,21.56,-1.31,-6.08,82006.2,166806.8756,2023-08-01
002355.SZ,2013-10-16,8.64,8.69,8.26,8.27,8.65,-0.38,-4.39,191945.4,161708.4645,2023-08-01
002616.SZ,2013-10-16,15.6,16.17,15.26,16.02,15.7,0.32,2.04,39467.73,61975.8322,2023-08-01
002347.SZ,2013-10-16,7.06,7.06,6.81,6.85,7.11,-0.26,-3.66,17953.78,12478.6644,2023-08-01
300196.SZ,2013-10-16,23.46,23.57,22.3,22.67,23.45,-0.78,-3.33,8794.62,19969.4107,2023-08-01
002542.SZ,2013-10-16,12.1,12.14,11.55,11.67,12.16,-0.49,-4.03,24535.92,28853.8488,2023-08-01
300109.SZ,2013-10-16,10.07,10.07,9.51,9.6,10.07,-0.47,-4.67,22907.15,22121.9732,2023-08-01
600107.SH,2013-10-16,7.28,7.29,7.0,7.05,7.29,-0.24,-3.29,73870.25,52419.884,2023-08-01
002220.SZ,2013-10-16,7.86,7.99,7.63,7.7,7.89,-0.19,-2.41,42932.25,33201.7543,2023-08-01
300142.SZ,2013-10-16,38.45,41.04,38.01,41.04,37.31,3.73,10.0,58482.44,233638.5428,2023-08-01
002395.SZ,2013-10-16,8.86,8.9,8.31,8.5,8.86,-0.36,-4.06,16475.29,14080.7542,2023-08-01
002466.SZ,2013-10-16,34.7,34.97,34.41,34.93,34.69,0.24,0.69,10944.76,38013.501,2023-08-01
000538.SZ,2013-10-16,113.0,116.5,113.0,115.68,113.6,2.08,1.83,15807.27,181732.1949,2023-08-01
600592.SH,2013-10-16,7.67,7.68,7.5,7.57,7.7,-0.13,-1.69,28407.98,21455.905,2023-08-01
600845.SH,2013-10-16,31.0,31.5,29.4,29.96,31.11,-1.15,-3.7,23885.96,72649.336,2023-08-01
600068.SH,2013-10-16,4.26,4.26,4.14,4.15,4.26,-0.11,-2.58,147065.0,61603.089,2023-08-01
000014.SZ,2013-10-16,11.92,12.16,11.23,11.32,12.28,-0.96,-7.82,103947.94,120795.501,2023-08-01
002336.SZ,2013-10-16,10.18,10.56,10.15,10.32,10.23,0.09,0.88,64937.24,67227.0496,2023-08-01
300038.SZ,2013-10-16,19.2,19.26,18.28,18.67,19.27,-0.6,-3.11,35436.38,65858.0066,2023-08-01
600826.SH,2013-10-16,16.32,16.32,15.2,15.36,16.49,-1.13,-6.85,79643.15,124704.721,2023-08-01
000631.SZ,2013-10-16,5.15,5.2,5.05,5.06,5.13,-0.07,-1.36,38798.86,19832.437,2023-08-01
300190.SZ,2013-10-16,17.28,17.9,16.74,17.41,17.35,0.06,0.35,49360.35,85903.1201,2023-08-01
300233.SZ,2013-10-16,18.39,18.51,17.55,18.04,18.38,-0.34,-1.85,26093.02,46644.1954,2023-08-01
600694.SH,2013-10-16,31.12,31.68,29.53,29.89,31.2,-1.31,-4.2,69016.59,209611.767,2023-08-01
000965.SZ,2013-10-16,5.58,5.58,5.3,5.32,5.67,-0.35,-6.17,86974.3,47009.0297,2023-08-01
000955.SZ,2013-10-16,3.64,3.65,3.46,3.49,3.65,-0.16,-4.38,49448.61,17604.1308,2023-08-01
002478.SZ,2013-10-16,10.4,10.49,10.1,10.25,10.42,-0.17,-1.63,16282.01,16626.0925,2023-08-01
600026.SH,2013-10-16,4.53,4.53,4.3,4.36,4.56,-0.2,-4.39,146998.25,64440.261,2023-08-01
300079.SZ,2013-10-16,24.4,24.4,23.03,24.0,24.3,-0.3,-1.23,100361.19,236726.6294,2023-08-01
000892.SZ,2013-10-16,6.12,6.15,5.93,6.01,6.12,-0.11,-1.8,53483.16,32270.0338,2023-08-01
600622.SH,2013-10-16,7.18,7.2,6.84,6.88,7.27,-0.39,-5.36,96771.65,67524.368,2023-08-01
600688.SH,2013-10-16,4.23,4.23,4.16,4.18,4.24,-0.06,-1.42,198327.69,83032.959,2023-08-01
600696.SH,2013-10-16,6.58,6.66,6.25,6.37,6.8,-0.43,-6.32,315808.32,203222.62,2023-08-01
600900.SH,2013-10-16,6.7,6.77,6.69,6.71,6.72,-0.01,-0.15,131029.68,88180.684,2023-08-01
600089.SH,2013-10-16,12.41,12.58,11.75,11.99,12.41,-0.42,-3.38,558876.14,673071.297,2023-08-01
000548.SZ,2013-10-16,7.37,7.4,6.7,6.7,7.44,-0.74,-9.95,161128.81,112014.6183,2023-08-01
002392.SZ,2013-10-16,6.9,6.93,6.63,6.69,6.9,-0.21,-3.04,46311.53,31375.9219,2023-08-01
002029.SZ,2013-10-16,9.32,9.34,8.88,8.95,9.32,-0.37,-3.97,170175.81,153897.8394,2023-08-01
000638.SZ,2013-10-16,5.7,5.73,5.26,5.32,5.73,-0.41,-7.16,105794.58,58081.1167,2023-08-01
600418.SH,2013-10-16,9.6,9.82,9.44,9.49,9.65,-0.16,-1.66,196658.33,188997.283,2023-08-01
002064.SZ,2013-10-16,9.9,9.92,9.01,9.19,9.93,-0.74,-7.45,202126.68,190150.6624,2023-08-01
300073.SZ,2013-10-16,12.97,13.08,12.37,12.5,12.88,-0.38,-2.95,58508.62,74243.3464,2023-08-01
002411.SZ,2013-10-16,8.36,8.39,7.89,7.99,8.39,-0.4,-4.77,108273.64,88010.2148,2023-08-01
300267.SZ,2013-10-16,29.05,29.2,26.64,27.96,28.45,-0.49,-1.72,18433.53,51335.4378,2023-08-01
002080.SZ,2013-10-16,15.61,15.65,14.78,14.88,15.56,-0.68,-4.37,37690.74,56456.0253,2023-08-01
600167.SH,2013-10-16,12.23,12.54,12.16,12.36,12.39,-0.03,-0.24,60780.76,75144.964,2023-08-01
000838.SZ,2013-10-16,7.32,7.88,7.32,7.54,7.2,0.34,4.72,55342.77,41930.1417,2023-08-01
000543.SZ,2013-10-16,7.35,7.43,7.2,7.25,7.37,-0.12,-1.63,116122.5,84662.2554,2023-08-01
000738.SZ,2013-10-16,10.98,11.07,10.25,10.36,10.89,-0.53,-4.87,56319.51,59189.8759,2023-08-01
300062.SZ,2013-10-16,8.58,8.58,8.26,8.31,8.62,-0.31,-3.6,11116.7,9305.7408,2023-08-01
600598.SH,2013-10-16,12.5,12.5,11.53,11.82,12.81,-0.99,-7.73,643622.79,761051.768,2023-08-01
300123.SZ,2013-10-16,15.4,15.49,14.64,14.7,15.5,-0.8,-5.16,30670.42,45801.1207,2023-08-01
601288.SH,2013-10-16,2.49,2.5,2.48,2.49,2.49,0.0,0.0,763993.23,190001.749,2023-08-01
600748.SH,2013-10-16,9.68,9.69,8.82,8.94,9.8,-0.86,-8.78,271520.2,247843.284,2023-08-01
600035.SH,2013-10-16,3.31,3.35,3.24,3.25,3.32,-0.07,-2.11,34758.25,11450.554,2023-08-01
002558.SZ,2013-10-16,24.86,25.27,24.02,24.7,24.86,-0.16,-0.64,7823.64,19309.3101,2023-08-01
600259.SH,2013-10-16,42.82,42.82,41.05,41.24,43.31,-2.07,-4.78,50284.82,211414.905,2023-08-01
002052.SZ,2013-10-16,13.0,13.0,12.02,12.37,13.2,-0.83,-6.29,387612.06,480726.6591,2023-08-01
600123.SH,2013-10-16,13.49,13.49,13.09,13.12,13.56,-0.44,-3.24,113171.48,149408.204,2023-08-01
300157.SZ,2013-10-16,22.84,22.88,21.55,22.34,23.05,-0.71,-3.08,47058.59,104730.908,2023-08-01
000755.SZ,2013-10-16,4.21,4.21,4.02,4.07,4.21,-0.14,-3.33,53960.68,22083.6791,2023-08-01
000517.SZ,2013-10-16,5.33,5.44,5.3,5.37,5.33,0.04,0.75,65542.05,35208.9621,2023-08-01
000881.SZ,2013-10-16,7.16,7.18,7.0,7.07,7.18,-0.11,-1.53,38019.48,26830.5406,2023-08-01
600649.SH,2013-10-16,9.67,9.67,9.08,9.35,9.81,-0.46,-4.69,453188.15,424099.377,2023-08-01
600226.SH,2013-10-16,7.2,7.33,6.85,6.89,7.41,-0.52,-7.02,251206.85,177124.491,2023-08-01
600070.SH,2013-10-16,8.67,8.71,8.3,8.43,8.77,-0.34,-3.88,55809.55,47356.11,2023-08-01
300283.SZ,2013-10-16,11.4,11.64,11.02,11.32,11.47,-0.15,-1.31,8414.47,9564.4254,2023-08-01
000043.SZ,2013-10-16,6.56,6.66,6.38,6.4,6.63,-0.23,-3.47,70639.36,46131.8927,2023-08-01
600228.SH,2013-10-16,29.59,29.9,28.52,29.07,29.94,-0.87,-2.91,40474.36,116906.726,2023-08-01
002606.SZ,2013-10-16,13.45,13.45,12.92,12.95,13.45,-0.5,-3.72,20213.89,26483.4761,2023-08-01
000768.SZ,2013-10-16,9.8,9.99,9.74,9.77,9.84,-0.07,-0.71,202860.53,200065.9902,2023-08-01
601668.SH,2013-10-16,3.28,3.28,3.21,3.23,3.27,-0.04,-1.22,614291.97,198740.56,2023-08-01
002112.SZ,2013-10-16,5.66,5.73,5.5,5.55,5.73,-0.18,-3.14,41763.92,23233.7668,2023-08-01
000669.SZ,2013-10-16,32.85,32.85,31.49,32.8,32.9,-0.1,-0.3,18594.26,59943.3352,2023-08-01
