security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
600057.SH,1997-07-17,11.6,0.9925,0.9925,0.47,49.8392,49.8392,12.0308,5.4426,5.4426,,,11000.0,3600.0,3600.0,127600.0,41760.0,2023-08-05
600072.SH,1997-07-17,9.4,2.1989,2.1989,0.69,38.5096,38.5096,11.2017,6.2778,6.2778,,,13201.0,5400.0,5400.0,124089.4,50760.0,2023-08-05
600600.SH,1997-07-17,7.7,8.1464,9.0516,4.71,98.6756,98.6756,3.3038,4.5716,4.5716,1.039,,90000.0,10000.0,9000.0,693000.0,77000.0,2023-08-05
000030.SZ,1997-07-17,8.03,1.6108,2.594,1.32,81.0274,81.0274,3.1512,4.954,4.954,0.0,,28842.0,4026.0,2500.0,231601.26,32328.78,2023-08-05
000584.SZ,1997-07-17,4.98,0.8082,1.0506,0.95,128.3177,128.3177,1.4854,6.1078,6.1078,,,18385.0073,4596.8,3536.0,91557.3364,22892.064,2023-08-05
000681.SZ,1997-07-17,10.31,2.9013,5.8027,1.03,65.1198,65.1198,15.8657,4.1324,4.1324,,,10000.0,2250.0,1125.0,103100.0,23197.5,2023-08-05
000527.SZ,1997-07-17,9.61,0.8869,5.7835,0.77,27.8232,27.8232,3.4062,1.0579,1.0579,1.5766,1.5766,27511.1495,14847.8615,2277.0,264382.1467,142687.949,2023-08-05
600724.SH,1997-07-17,16.88,0.8513,1.1067,0.82,53.5024,53.5024,8.2123,6.9701,6.9701,,,6942.0,1742.0,1340.0,117180.96,29404.96,2023-08-05
600878.SH,1997-07-17,10.46,0.7388,2.1609,0.87,33.9834,33.9834,8.4085,10.0869,10.0869,1.23,1.23,20563.4788,5502.3696,1881.152,215093.9882,57554.786,2023-08-05
000059.SZ,1997-07-17,12.83,5.3295,5.3295,2.46,37.744,37.744,16.2687,11.5698,11.5698,,,61500.0,11700.0,11700.0,789045.0,150111.0,2023-08-05
600812.SH,1997-07-17,5.4,0.5359,2.2556,0.78,22.2924,22.2924,3.3515,2.9259,2.9259,4.2088,4.2088,84945.163,29464.147,7000.0,458703.8802,159106.3938,2023-08-05
000566.SZ,1997-07-17,6.54,1.7749,5.904,0.67,78.8383,78.8383,2.6304,7.6127,7.6127,1.6565,1.6565,20234.8992,8316.0,2500.0,132336.2408,54386.64,2023-08-05
600077.SH,1997-07-17,15.94,6.0289,6.0289,0.62,50.577,50.577,11.5215,11.1718,11.1718,,,5006.0,1420.0,1420.0,79795.64,22634.8,2023-08-05
000514.SZ,1997-07-17,11.44,1.3793,2.5489,1.04,66.4784,66.4784,6.7089,21.6177,21.6177,1.7483,,9041.76,3326.4,1800.0,103437.7344,38054.016,2023-08-05
000410.SZ,1997-07-17,8.94,0.8994,0.8994,0.94,28.6248,28.6248,2.8996,3.7164,3.7164,,,21582.4,5400.0,5400.0,192946.656,48276.0,2023-08-05
600693.SH,1997-07-17,7.3,3.346,7.4259,2.0,28.6723,28.6723,2.6354,2.5257,2.5257,0.9579,3.736,13200.869,5361.851,2416.0,96366.3437,39141.5123,2023-08-05
000511.SZ,1997-07-17,4.0,1.3697,6.0903,1.06,,,1.782,1.8976,1.8976,,,12988.095,6892.1386,1550.0,51952.38,27568.5544,2023-08-05
000552.SZ,1997-07-17,4.52,2.6153,3.4742,1.09,257.6906,257.6906,2.4452,3.3432,3.3432,0.0,,14822.5,5566.0,4190.0,66997.7,25158.32,2023-08-05
600754.SH,1997-07-17,12.31,0.6604,0.6604,0.79,49.9439,49.9439,5.0074,5.863,5.863,,,35464.15,2500.0,2500.0,436563.6865,30775.0,2023-08-05
000788.SZ,1997-07-17,10.32,2.3388,2.3388,0.45,34.8744,34.8744,7.1376,5.6744,5.6744,,,17500.0,4050.0,4050.0,180600.0,41796.0,2023-08-05
600885.SH,1997-07-17,6.42,1.3644,1.3644,2.21,288.6784,288.6784,2.1737,2.5257,2.5257,,,7132.26,1800.0,1800.0,45789.1092,11556.0,2023-08-05
000629.SZ,1997-07-17,6.56,0.5873,0.5873,0.98,29.2642,29.2642,3.245,1.4577,1.4577,,2.8963,40220.0,6200.0,6200.0,263843.2,40672.0,2023-08-05
600836.SH,1997-07-17,6.78,0.6125,1.5653,0.63,41.7784,41.7784,3.157,4.0457,4.0457,,1.1799,11169.375,2875.0,1125.0,75728.3625,19492.5,2023-08-05
000020.SZ,1997-07-17,9.83,3.4642,4.5528,1.37,55.5259,55.5259,5.5641,7.7704,7.7704,1.0173,1.0173,21233.2989,3259.3,2480.0,208723.3282,32038.919,2023-08-05
600811.SH,1997-07-17,8.56,2.7288,7.4455,1.8,32.6084,32.6084,4.1807,9.6647,9.6647,1.2794,1.2794,29813.94,20463.3,7500.0,255207.3264,175165.848,2023-08-05
600692.SH,1997-07-17,10.14,7.3661,16.4161,2.03,41.8374,41.8374,6.2252,11.9881,11.9881,,,10111.9334,2016.0,904.6,102535.0047,20442.24,2023-08-05
000727.SZ,1997-07-17,11.95,5.9375,5.9375,1.68,37.7135,37.7135,10.582,5.0897,5.0897,,,14078.62,4000.0,4000.0,168239.509,47800.0,2023-08-05
600095.SH,1997-07-17,13.1,13.736,13.736,0.52,54.6756,54.6756,10.1085,6.6428,6.6428,,,13000.0,5000.0,5000.0,170300.0,65500.0,2023-08-05
600854.SH,1997-07-17,40.15,1.5952,2.3396,0.51,24.9986,24.9986,9.8072,3.23,3.23,1.3585,1.6604,15840.0,3960.0,2700.0,635976.0,158994.0,2023-08-05
000601.SZ,1997-07-17,25.57,2.394,3.8304,0.55,56.751,56.751,6.0711,8.7036,8.7036,,,16000.0,4000.0,2500.0,409120.0,102280.0,2023-08-05
000679.SZ,1997-07-17,15.38,2.0876,2.5051,1.21,31.3032,31.3032,12.0879,3.6312,3.6312,,0.0,13200.0,4200.0,3500.0,203016.0,64596.0,2023-08-05
600777.SH,1997-07-17,17.83,4.9181,6.3936,1.56,52.8053,52.8053,9.1494,9.4639,9.4639,,,6674.2,1820.0,1400.0,119000.986,32450.6,2023-08-05
