security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
000923.SZ,2018-04-10,20.77,1.0985,1.7041,0.52,6481.6302,40.6889,2.1173,51.9624,3.3998,0.0,,65272.8961,19800.0,12763.0333,1355718.052,411246.0,2023-08-05
600338.SH,2018-04-10,32.16,2.18,2.4495,1.05,18.8576,18.8576,12.3244,8.5143,8.5143,1.8657,1.8657,65300.7263,15833.3333,14091.1686,2100071.3578,509199.9989,2023-08-05
000959.SZ,2018-04-10,4.77,0.47,2.0387,1.57,11.4131,11.4131,0.955,0.4188,0.4188,0.0,,528938.96,296652.6057,68383.3229,2523038.8392,1415032.9292,2023-08-05
603618.SH,2018-04-10,7.36,0.5274,1.2313,1.03,50.382,50.382,2.5414,1.215,1.215,0.6793,1.3587,68687.8908,68687.8908,29418.6649,505542.8763,505542.8763,2023-08-05
002889.SZ,2018-04-10,28.22,12.2406,12.2406,1.2,43.0304,32.454,3.0066,0.5673,0.3842,,,13810.1429,3453.0,3453.0,389722.2326,97443.66,2023-08-05
000961.SZ,2018-04-10,7.34,0.8584,1.8866,1.07,66.7855,84.2001,1.9667,0.7907,0.795,0.2044,0.2044,370978.8797,369983.825,168342.2325,2722984.977,2715681.2755,2023-08-05
002892.SZ,2018-04-10,34.32,6.5596,6.5596,1.06,42.4976,42.7765,5.0474,5.6899,4.8493,,,8360.0,1760.0,1760.0,286915.2,60403.2,2023-08-05
603268.SH,2018-04-10,26.81,0.438,1.1018,1.61,61.2747,53.6875,4.0903,6.8203,4.5466,0.5141,0.5141,8938.4,8800.0,3498.0,239638.504,235928.0,2023-08-05
300149.SZ,2018-04-10,18.6,0.9605,1.657,0.71,135.8091,135.8091,9.6738,28.5126,28.5126,0.2688,0.2688,42210.0,40514.5879,23484.6105,785106.0,753571.3349,2023-08-05
002087.SZ,2018-04-10,4.92,0.6889,0.948,1.03,13.754,13.754,1.236,0.7735,0.7735,0.4065,0.4065,81679.4335,81564.4194,59268.4002,401862.8128,401296.9434,2023-08-05
300297.SZ,2018-04-10,9.96,1.2109,1.672,0.71,36.2553,29.0751,2.9471,7.4399,5.2696,0.3012,0.3012,117536.5904,73843.2871,53479.2509,1170664.4404,735479.1395,2023-08-05
600578.SH,2018-04-10,3.41,0.0513,0.1475,0.71,13.6492,28.9327,1.0402,2.0702,1.7321,4.9853,4.9853,674673.4457,533502.4303,185455.0215,2300636.4498,1819243.2873,2023-08-05
603366.SH,2018-04-10,5.5,0.515,1.4835,0.65,18.0465,42.5623,1.1842,1.8709,1.6857,3.3273,3.3273,80000.0,80000.0,27773.8779,440000.0,440000.0,2023-08-05
600792.SH,2018-04-10,3.76,0.1589,0.5386,0.54,,,1.2767,0.8415,0.8415,0.0,,98992.36,98992.36,29199.9171,372211.2736,372211.2736,2023-08-05
300339.SZ,2018-04-10,11.38,2.5387,4.0048,0.72,36.3382,36.3382,2.0048,5.6224,5.6224,0.7894,0.7894,79641.0841,51643.0449,32736.3874,906315.5371,587697.851,2023-08-05
002790.SZ,2018-04-10,26.1,6.2536,6.2536,2.83,23.706,25.8153,2.8686,5.1105,4.5524,1.5326,1.5326,16000.0,4000.0,4000.0,417600.0,104400.0,2023-08-05
600575.SH,2018-04-10,3.69,0.225,0.4327,0.58,44.8251,44.8251,1.7392,1.5007,1.5007,0.0,,388626.1065,312513.2108,162520.636,1434030.333,1153173.7479,2023-08-05
000552.SZ,2018-04-10,3.5,0.5475,0.7529,1.08,14.4952,14.4952,1.1653,2.0108,2.0108,0.5714,0.5714,228697.105,155743.8726,113253.5682,800439.8675,545103.5541,2023-08-05
000153.SZ,2018-04-10,8.6,3.2491,4.363,0.76,59.4915,43.2079,2.2059,1.3409,1.1022,0.0,,31707.763,31197.723,23232.6635,272686.7618,268300.4178,2023-08-05
000913.SZ,2018-04-10,16.57,0.3966,0.6774,0.92,22.8948,23.1815,3.0916,3.3281,2.9454,0.6035,0.6035,45353.6,45353.6,26556.4603,751509.152,751509.152,2023-08-05
002232.SZ,2018-04-10,10.65,6.1862,14.2683,2.46,81.8183,81.8183,4.0912,2.5412,2.5412,0.939,0.939,40854.8455,40187.8165,17423.8442,435104.1046,428000.2457,2023-08-05
600385.SH,2018-04-10,11.84,0.4502,0.6212,0.7,751.6469,,26.0972,6.0479,192.1412,0.0,,14810.7148,14277.3814,10347.9941,175358.8632,169044.1958,2023-08-05
002719.SZ,2018-04-10,29.14,0.4631,0.9413,0.39,112.8155,134.9456,2.7327,5.6654,5.4524,0.1579,0.1579,10883.7161,9087.17,4470.5271,317151.4872,264800.1338,2023-08-05
002681.SZ,2018-04-10,9.95,0.5259,1.1026,0.63,38.2345,31.6087,2.3899,7.0024,4.5304,0.4232,0.4232,148040.6272,72634.8733,34647.1065,1473004.2406,722716.9893,2023-08-05
000851.SZ,2018-04-10,8.64,1.7881,2.0802,0.58,31.2388,31.2388,1.7216,0.6241,0.6241,0.2257,0.2257,64830.7048,59111.0771,50810.8837,560137.2895,510719.7061,2023-08-05
600623.SH,2018-04-10,9.7,0.6936,1.6094,0.64,33.1742,33.1742,1.2347,0.4716,0.4716,0.6186,0.6186,211743.0913,93354.5928,40231.4459,2053907.9856,905539.5502,2023-08-05
600769.SH,2018-04-10,6.33,2.4299,3.304,0.61,463.8547,463.8547,49.1196,40.6527,40.6527,0.0,,37497.72,37497.72,27577.2943,237360.5676,237360.5676,2023-08-05
