security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
000001.SZ,1992-08-14,42.25,43.8,41.65,43.7,42.4,1.3,3.07,11193.0,47720.0,2023-08-01
600601.SH,1992-08-14,134.0,135.0,126.5,129.0,127.0,2.0,1.57,7387.0,9591.0,2023-08-01
600654.SH,1992-08-14,125.0,132.0,120.0,129.0,123.0,6.0,4.88,9804.0,12557.0,2023-08-01
600653.SH,1992-08-14,320.5,394.0,320.5,380.0,371.95,8.05,2.16,4598.0,17630.0,2023-08-01
000008.SZ,1992-08-14,23.0,24.0,22.75,24.0,23.1,0.9,3.9,315.0,3665.0,2023-08-01
600652.SH,1992-08-14,380.0,385.5,371.5,382.0,374.0,8.0,2.14,765.0,2900.0,2023-08-01
600656.SH,1992-08-14,27.44,27.5,25.3,26.38,25.6,0.78,3.05,1834.0,4879.0,2023-08-01
600651.SH,1992-08-14,285.0,305.0,285.0,296.0,288.0,8.0,2.78,2991.0,8812.0,2023-08-01
600607.SH,1992-08-14,169.0,175.0,163.0,170.78,165.0,5.78,3.5,1806.0,3086.0,2023-08-01
000014.SZ,1992-08-14,21.0,22.2,21.0,22.2,21.15,1.05,4.96,336.0,3680.0,2023-08-01
000018.SZ,1992-08-14,17.6,18.2,17.3,18.05,17.6,0.45,2.56,1636.0,2953.0,2023-08-01
000004.SZ,1992-08-14,26.2,27.6,26.1,27.6,26.1,1.5,5.75,844.0,11379.0,2023-08-01
600606.SH,1992-08-14,127.5,146.0,125.0,130.5,129.0,1.5,1.16,1650.0,2177.0,2023-08-01
600605.SH,1992-08-14,123.5,124.5,114.0,120.0,118.25,1.75,1.48,3580.0,4303.0,2023-08-01
600610.SH,1992-08-14,115.0,147.7,111.0,122.5,121.0,1.5,1.24,9930.0,12096.0,2023-08-01
000011.SZ,1992-08-14,26.6,28.2,26.2,27.85,26.6,1.25,4.7,10535.0,28669.0,2023-08-01
600603.SH,1992-08-14,296.0,322.5,296.0,316.5,299.0,17.5,5.85,5007.0,15724.0,2023-08-01
000003.SZ,1992-08-14,34.0,36.15,34.0,36.0,34.05,1.95,5.73,667.0,11679.0,2023-08-01
600604.SH,1992-08-14,160.0,178.0,160.0,173.5,167.0,6.5,3.89,7219.0,12402.0,2023-08-01
000012.SZ,1992-08-14,22.85,23.95,22.55,23.9,23.0,0.9,3.91,684.0,8068.0,2023-08-01
000015.SZ,1992-08-14,19.55,20.0,19.5,20.0,19.7,0.3,1.52,265.0,2637.0,2023-08-01
600602.SH,1992-08-14,1339.5,1420.0,1339.5,1390.0,1385.0,5.0,0.36,11045.0,15393.0,2023-08-01
600609.SH,1992-08-14,108.0,114.0,95.05,105.0,108.0,-3.0,-2.78,3660.0,3864.0,2023-08-01
000009.SZ,1992-08-14,29.65,30.7,29.4,30.6,29.8,0.8,2.68,27172.0,81947.0,2023-08-01
600611.SH,1992-08-14,190.0,403.0,158.25,195.5,190.0,5.5,2.89,3210.0,6255.0,2023-08-01
600612.SH,1992-08-14,142.0,156.0,121.5,152.0,40.0,112.0,280.0,11047.0,15929.0,2023-08-01
600608.SH,1992-08-14,149.0,154.98,145.0,152.0,144.5,7.5,5.19,2714.0,4095.0,2023-08-01
000017.SZ,1992-08-14,23.8,25.0,23.8,24.9,23.7,1.2,5.06,872.0,10693.0,2023-08-01
000006.SZ,1992-08-14,52.4,54.2,52.1,54.1,52.4,1.7,3.24,565.0,14996.0,2023-08-01
000016.SZ,1992-08-14,26.6,28.2,26.2,27.85,24.3,3.55,14.61,2107.0,28669.0,2023-08-01
000013.SZ,1992-08-14,24.2,25.0,23.8,24.95,24.1,0.85,3.53,893.0,10952.0,2023-08-01
000007.SZ,1992-08-14,32.9,33.95,32.9,33.6,32.9,0.7,2.13,221.0,3682.0,2023-08-01
000002.SZ,1992-08-14,26.5,27.9,26.5,27.6,26.6,1.0,3.76,3250.0,44321.0,2023-08-01
000020.SZ,1992-08-14,17.6,18.3,17.6,18.15,17.7,0.45,2.54,588.0,5287.0,2023-08-01
