security_code,trade_date,adj_factor,data_date
000001.SZ,2023-12-29,116.713,2024-01-01
000002.SZ,2023-12-29,181.704,2024-01-01
000004.SZ,2023-12-29,4.064,2024-01-01
000005.SZ,2023-12-29,9.268,2024-01-01
000006.SZ,2023-12-29,39.74,2024-01-01
000007.SZ,2023-12-29,8.284,2024-01-01
000008.SZ,2023-12-29,22.408,2024-01-01
000009.SZ,2023-12-29,8.932,2024-01-01
000010.SZ,2023-12-29,10.775,2024-01-01
000011.SZ,2023-12-29,4.242,2024-01-01
000012.SZ,2023-12-29,28.486,2024-01-01
000014.SZ,2023-12-29,6.628,2024-01-01
000016.SZ,2023-12-29,22.375,2024-01-01
000017.SZ,2023-12-29,2.683,2024-01-01
000019.SZ,2023-12-29,4.603,2024-01-01
000020.SZ,2023-12-29,1.752,2024-01-01
000021.SZ,2023-12-29,14.451,2024-01-01
000023.SZ,2023-12-29,2.668,2024-01-01
000025.SZ,2023-12-29,2.747,2024-01-01
000026.SZ,2023-12-29,8.367,2024-01-01
000027.SZ,2023-12-29,17.681,2024-01-01
000028.SZ,2023-12-29,5.486,2024-01-01
000029.SZ,2023-12-29,2.291,2024-01-01
000030.SZ,2023-12-29,3.933,2024-01-01
000031.SZ,2023-12-29,14.651,2024-01-01
000032.SZ,2023-12-29,4.2,2024-01-01
000034.SZ,2023-12-29,3.171,2024-01-01
000035.SZ,2023-12-29,4.693,2024-01-01
000036.SZ,2023-12-29,12.84,2024-01-01
000037.SZ,2023-12-29,5.668,2024-01-01
000039.SZ,2023-12-29,50.774,2024-01-01
000040.SZ,2023-12-29,4.349,2024-01-01
000042.SZ,2023-12-29,13.498,2024-01-01
000045.SZ,2023-12-29,2.974,2024-01-01
000048.SZ,2023-12-29,9.488,2024-01-01
000049.SZ,2023-12-29,9.0683,2024-01-01
000050.SZ,2023-12-29,8.477,2024-01-01
000055.SZ,2023-12-29,10.003,2024-01-01
000056.SZ,2023-12-29,4.708,2024-01-01
000058.SZ,2023-12-29,3.292,2024-01-01
000059.SZ,2023-12-29,1.818,2024-01-01
000060.SZ,2023-12-29,40.096,2024-01-01
000061.SZ,2023-12-29,22.094,2024-01-01
000062.SZ,2023-12-29,7.7783,2024-01-01
000063.SZ,2023-12-29,16.377,2024-01-01
000065.SZ,2023-12-29,17.462,2024-01-01
000066.SZ,2023-12-29,11.008,2024-01-01
000068.SZ,2023-12-29,2.28,2024-01-01
000069.SZ,2023-12-29,45.255,2024-01-01
000070.SZ,2023-12-29,3.484,2024-01-01
000078.SZ,2023-12-29,20.484,2024-01-01
000088.SZ,2023-12-29,8.16,2024-01-01
000089.SZ,2023-12-29,7.118,2024-01-01
000090.SZ,2023-12-29,8.969,2024-01-01
000096.SZ,2023-12-29,2.86,2024-01-01
000099.SZ,2023-12-29,3.909,2024-01-01
000100.SZ,2023-12-29,3.657,2024-01-01
000151.SZ,2023-12-29,2.759,2024-01-01
000153.SZ,2023-12-29,5.78,2024-01-01
000155.SZ,2023-12-29,1.568,2024-01-01
000156.SZ,2023-12-29,1.167,2024-01-01
000157.SZ,2023-12-29,83.286,2024-01-01
000158.SZ,2023-12-29,2.952,2024-01-01
000159.SZ,2023-12-29,3.215,2024-01-01
000166.SZ,2023-12-29,1.528,2024-01-01
000301.SZ,2023-12-29,2.351,2024-01-01
000333.SZ,2023-12-29,5.122,2024-01-01
000338.SZ,2023-12-29,21.3686,2024-01-01
000400.SZ,2023-12-29,7.822,2024-01-01
000401.SZ,2023-12-29,4.587,2024-01-01
000402.SZ,2023-12-29,39.142,2024-01-01
000403.SZ,2023-12-29,7.634,2024-01-01
000404.SZ,2023-12-29,3.632,2024-01-01
000407.SZ,2023-12-29,11.188,2024-01-01
000408.SZ,2023-12-29,6.47,2024-01-01
000409.SZ,2023-12-29,2.15,2024-01-01
000410.SZ,2023-12-29,2.889,2024-01-01
000411.SZ,2023-12-29,3.186,2024-01-01
000413.SZ,2023-12-29,4.592,2024-01-01
000415.SZ,2023-12-29,20.919,2024-01-01
000416.SZ,2023-12-29,9.783,2024-01-01
000417.SZ,2023-12-29,18.172,2024-01-01
000419.SZ,2023-12-29,15.878,2024-01-01
000420.SZ,2023-12-29,6.352,2024-01-01
000421.SZ,2023-12-29,7.292,2024-01-01
000422.SZ,2023-12-29,14.907,2024-01-01
000423.SZ,2023-12-29,10.673,2024-01-01
000425.SZ,2023-12-29,41.892,2024-01-01
000426.SZ,2023-12-29,16.973,2024-01-01
000428.SZ,2023-12-29,12.139,2024-01-01
000429.SZ,2023-12-29,4.463,2024-01-01
000430.SZ,2023-12-29,4.612,2024-01-01
000488.SZ,2023-12-29,9.767,2024-01-01
000498.SZ,2023-12-29,2.964,2024-01-01
000501.SZ,2023-12-29,6.921,2024-01-01
000503.SZ,2023-12-29,7.615,2024-01-01
000504.SZ,2023-12-29,2.103,2024-01-01
000505.SZ,2023-12-29,3.312,2024-01-01
000506.SZ,2023-12-29,2.872,2024-01-01
000507.SZ,2023-12-29,4.766,2024-01-01
000509.SZ,2023-12-29,9.746,2024-01-01
000510.SZ,2023-12-29,10.422,2024-01-01
000513.SZ,2023-12-29,9.362,2024-01-01
000514.SZ,2023-12-29,4.42,2024-01-01
000516.SZ,2023-12-29,39.873,2024-01-01
000517.SZ,2023-12-29,15.79,2024-01-01
000518.SZ,2023-12-29,8.377,2024-01-01
000519.SZ,2023-12-29,7.971,2024-01-01
000520.SZ,2023-12-29,6.855,2024-01-01
000521.SZ,2023-12-29,5.427,2024-01-01
000523.SZ,2023-12-29,6.687,2024-01-01
000524.SZ,2023-12-29,4.927,2024-01-01
000525.SZ,2023-12-29,7.524,2024-01-01
000526.SZ,2023-12-29,2.471,2024-01-01
