security_code,trade_date,adj_factor,data_date
000001.SZ,2023-12-26,116.713,2023-12-26
000002.SZ,2023-12-26,181.704,2023-12-26
000004.SZ,2023-12-26,4.064,2023-12-26
000005.SZ,2023-12-26,9.268,2023-12-26
000006.SZ,2023-12-26,39.74,2023-12-26
000007.SZ,2023-12-26,8.284,2023-12-26
000008.SZ,2023-12-26,22.408,2023-12-26
000009.SZ,2023-12-26,8.932,2023-12-26
000010.SZ,2023-12-26,10.775,2023-12-26
000011.SZ,2023-12-26,4.242,2023-12-26
000012.SZ,2023-12-26,28.486,2023-12-26
000014.SZ,2023-12-26,6.628,2023-12-26
000016.SZ,2023-12-26,22.375,2023-12-26
000017.SZ,2023-12-26,2.683,2023-12-26
000019.SZ,2023-12-26,4.603,2023-12-26
000020.SZ,2023-12-26,1.752,2023-12-26
000021.SZ,2023-12-26,14.451,2023-12-26
000023.SZ,2023-12-26,2.668,2023-12-26
000025.SZ,2023-12-26,2.747,2023-12-26
000026.SZ,2023-12-26,8.367,2023-12-26
000027.SZ,2023-12-26,17.681,2023-12-26
000028.SZ,2023-12-26,5.486,2023-12-26
000029.SZ,2023-12-26,2.291,2023-12-26
000030.SZ,2023-12-26,3.933,2023-12-26
000031.SZ,2023-12-26,14.651,2023-12-26
000032.SZ,2023-12-26,4.2,2023-12-26
000034.SZ,2023-12-26,3.171,2023-12-26
000035.SZ,2023-12-26,4.693,2023-12-26
000036.SZ,2023-12-26,12.84,2023-12-26
000037.SZ,2023-12-26,5.668,2023-12-26
000039.SZ,2023-12-26,50.774,2023-12-26
000040.SZ,2023-12-26,4.349,2023-12-26
000042.SZ,2023-12-26,13.498,2023-12-26
000045.SZ,2023-12-26,2.974,2023-12-26
000046.SZ,2023-12-26,34.006,2023-12-26
000048.SZ,2023-12-26,9.488,2023-12-26
000049.SZ,2023-12-26,9.0683,2023-12-26
000050.SZ,2023-12-26,8.477,2023-12-26
000055.SZ,2023-12-26,10.003,2023-12-26
000056.SZ,2023-12-26,4.708,2023-12-26
000058.SZ,2023-12-26,3.292,2023-12-26
000059.SZ,2023-12-26,1.818,2023-12-26
000060.SZ,2023-12-26,40.096,2023-12-26
000061.SZ,2023-12-26,22.094,2023-12-26
000062.SZ,2023-12-26,7.7783,2023-12-26
000063.SZ,2023-12-26,16.377,2023-12-26
000065.SZ,2023-12-26,17.462,2023-12-26
000066.SZ,2023-12-26,11.008,2023-12-26
000068.SZ,2023-12-26,2.28,2023-12-26
000069.SZ,2023-12-26,45.255,2023-12-26
000070.SZ,2023-12-26,3.484,2023-12-26
000078.SZ,2023-12-26,20.484,2023-12-26
000088.SZ,2023-12-26,8.16,2023-12-26
000089.SZ,2023-12-26,7.118,2023-12-26
000090.SZ,2023-12-26,8.969,2023-12-26
000096.SZ,2023-12-26,2.86,2023-12-26
000099.SZ,2023-12-26,3.909,2023-12-26
000100.SZ,2023-12-26,3.657,2023-12-26
000151.SZ,2023-12-26,2.759,2023-12-26
000153.SZ,2023-12-26,5.78,2023-12-26
000155.SZ,2023-12-26,1.568,2023-12-26
000156.SZ,2023-12-26,1.167,2023-12-26
000157.SZ,2023-12-26,83.286,2023-12-26
000158.SZ,2023-12-26,2.952,2023-12-26
000159.SZ,2023-12-26,3.215,2023-12-26
000166.SZ,2023-12-26,1.528,2023-12-26
000301.SZ,2023-12-26,2.351,2023-12-26
000333.SZ,2023-12-26,5.122,2023-12-26
000338.SZ,2023-12-26,21.3686,2023-12-26
000400.SZ,2023-12-26,7.822,2023-12-26
000401.SZ,2023-12-26,4.587,2023-12-26
000402.SZ,2023-12-26,39.142,2023-12-26
000403.SZ,2023-12-26,7.634,2023-12-26
000404.SZ,2023-12-26,3.632,2023-12-26
000407.SZ,2023-12-26,11.188,2023-12-26
000408.SZ,2023-12-26,6.47,2023-12-26
000409.SZ,2023-12-26,2.15,2023-12-26
000410.SZ,2023-12-26,2.889,2023-12-26
000411.SZ,2023-12-26,3.186,2023-12-26
000413.SZ,2023-12-26,4.592,2023-12-26
000415.SZ,2023-12-26,20.919,2023-12-26
000416.SZ,2023-12-26,9.783,2023-12-26
000417.SZ,2023-12-26,18.172,2023-12-26
000419.SZ,2023-12-26,15.878,2023-12-26
000420.SZ,2023-12-26,6.352,2023-12-26
000421.SZ,2023-12-26,7.292,2023-12-26
000422.SZ,2023-12-26,14.907,2023-12-26
000423.SZ,2023-12-26,10.673,2023-12-26
000425.SZ,2023-12-26,41.892,2023-12-26
000426.SZ,2023-12-26,16.973,2023-12-26
000428.SZ,2023-12-26,12.139,2023-12-26
000429.SZ,2023-12-26,4.463,2023-12-26
000430.SZ,2023-12-26,4.612,2023-12-26
000488.SZ,2023-12-26,9.767,2023-12-26
000498.SZ,2023-12-26,2.964,2023-12-26
000501.SZ,2023-12-26,6.921,2023-12-26
000503.SZ,2023-12-26,7.615,2023-12-26
000504.SZ,2023-12-26,2.103,2023-12-26
000505.SZ,2023-12-26,3.312,2023-12-26
000506.SZ,2023-12-26,2.872,2023-12-26
000507.SZ,2023-12-26,4.766,2023-12-26
000509.SZ,2023-12-26,9.746,2023-12-26
000510.SZ,2023-12-26,10.422,2023-12-26
000513.SZ,2023-12-26,9.362,2023-12-26
000514.SZ,2023-12-26,4.42,2023-12-26
000516.SZ,2023-12-26,39.873,2023-12-26
000517.SZ,2023-12-26,15.79,2023-12-26
000518.SZ,2023-12-26,8.377,2023-12-26
000519.SZ,2023-12-26,7.971,2023-12-26
000520.SZ,2023-12-26,6.855,2023-12-26
000521.SZ,2023-12-26,5.427,2023-12-26
000523.SZ,2023-12-26,6.687,2023-12-26
000524.SZ,2023-12-26,4.927,2023-12-26
000525.SZ,2023-12-26,7.524,2023-12-26
000526.SZ,2023-12-26,2.471,2023-12-26
000528.SZ,2023-12-26,12.596,2023-12-26
000529.SZ,2023-12-26,3.383,2023-12-26
000530.SZ,2023-12-26,9.918,2023-12-26
000531.SZ,2023-12-26,15.759,2023-12-26
000532.SZ,2023-12-26,4.489,2023-12-26
000533.SZ,2023-12-26,2.258,2023-12-26
000534.SZ,2023-12-26,4.22,2023-12-26
000536.SZ,2023-12-26,3.673,2023-12-26
000537.SZ,2023-12-26,6.615,2023-12-26
000538.SZ,2023-12-26,27.629,2023-12-26
000539.SZ,2023-12-26,18.753,2023-12-26
000541.SZ,2023-12-26,31.552,2023-12-26
000543.SZ,2023-12-26,4.751,2023-12-26
000544.SZ,2023-12-26,3.889,2023-12-26
000545.SZ,2023-12-26,4.56,2023-12-26
000546.SZ,2023-12-26,1.847,2023-12-26
000547.SZ,2023-12-26,10.683,2023-12-26
000548.SZ,2023-12-26,3.582,2023-12-26
000550.SZ,2023-12-26,3.714,2023-12-26
000551.SZ,2023-12-26,7.87,2023-12-26
000552.SZ,2023-12-26,7.678,2023-12-26
000553.SZ,2023-12-26,4.214,2023-12-26
000554.SZ,2023-12-26,4.916,2023-12-26
000555.SZ,2023-12-26,3.17,2023-12-26
000557.SZ,2023-12-26,7.328,2023-12-26
000558.SZ,2023-12-26,5.957,2023-12-26
000559.SZ,2023-12-26,38.492,2023-12-26
000560.SZ,2023-12-26,5.302,2023-12-26
000561.SZ,2023-12-26,2.52,2023-12-26
000563.SZ,2023-12-26,17.85,2023-12-26
000564.SZ,2023-12-26,7.182,2023-12-26
000565.SZ,2023-12-26,7.638,2023-12-26
000566.SZ,2023-12-26,9.514,2023-12-26
000567.SZ,2023-12-26,10.558,2023-12-26
000568.SZ,2023-12-26,34.273,2023-12-26
000570.SZ,2023-12-26,4.534,2023-12-26
000571.SZ,2023-12-26,7.613,2023-12-26
000572.SZ,2023-12-26,4.656,2023-12-26
000573.SZ,2023-12-26,8.242,2023-12-26
000576.SZ,2023-12-26,6.297,2023-12-26
000581.SZ,2023-12-26,5.84,2023-12-26
000582.SZ,2023-12-26,5.211,2023-12-26
000584.SZ,2023-12-26,4.845,2023-12-26
000586.SZ,2023-12-26,3.698,2023-12-26
000589.SZ,2023-12-26,6.518,2023-12-26
000590.SZ,2023-12-26,4.764,2023-12-26
000591.SZ,2023-12-26,14.311,2023-12-26
000592.SZ,2023-12-26,6.375,2023-12-26
000593.SZ,2023-12-26,5.6,2023-12-26
000595.SZ,2023-12-26,4.958,2023-12-26
000596.SZ,2023-12-26,3.514,2023-12-26
000597.SZ,2023-12-26,4.897,2023-12-26
000598.SZ,2023-12-26,26.711,2023-12-26
000599.SZ,2023-12-26,4.902,2023-12-26
000600.SZ,2023-12-26,7.22,2023-12-26
000601.SZ,2023-12-26,10.45,2023-12-26
000603.SZ,2023-12-26,4.269,2023-12-26
000605.SZ,2023-12-26,3.59,2023-12-26
000607.SZ,2023-12-26,3.762,2023-12-26
000608.SZ,2023-12-26,11.125,2023-12-26
000609.SZ,2023-12-26,6.029,2023-12-26
