security_code,trade_date,adj_factor,data_date
000001.SZ,2023-08-29,116.7127,2023-08-31
000002.SZ,2023-08-29,181.7033,2023-08-31
000004.SZ,2023-08-29,4.064,2023-08-31
000005.SZ,2023-08-29,9.268,2023-08-31
000006.SZ,2023-08-29,39.7401,2023-08-31
000007.SZ,2023-08-29,8.284,2023-08-31
000008.SZ,2023-08-29,22.408,2023-08-31
000009.SZ,2023-08-29,8.9323,2023-08-31
000010.SZ,2023-08-29,10.775,2023-08-31
000011.SZ,2023-08-29,4.2505,2023-08-31
000012.SZ,2023-08-29,28.4857,2023-08-31
000014.SZ,2023-08-29,6.6274,2023-08-31
000016.SZ,2023-08-29,22.375,2023-08-31
000017.SZ,2023-08-29,2.683,2023-08-31
000019.SZ,2023-08-29,4.6029,2023-08-31
000020.SZ,2023-08-29,1.752,2023-08-31
000021.SZ,2023-08-29,14.4513,2023-08-31
000023.SZ,2023-08-29,2.668,2023-08-31
000025.SZ,2023-08-29,2.7463,2023-08-31
000026.SZ,2023-08-29,8.3668,2023-08-31
000027.SZ,2023-08-29,17.6814,2023-08-31
000028.SZ,2023-08-29,5.4863,2023-08-31
000029.SZ,2023-08-29,2.2916,2023-08-31
000030.SZ,2023-08-29,3.9333,2023-08-31
000031.SZ,2023-08-29,14.651,2023-08-31
000032.SZ,2023-08-29,4.1992,2023-08-31
000034.SZ,2023-08-29,3.1716,2023-08-31
000035.SZ,2023-08-29,4.6937,2023-08-31
000036.SZ,2023-08-29,12.8396,2023-08-31
000037.SZ,2023-08-29,5.668,2023-08-31
000039.SZ,2023-08-29,50.7733,2023-08-31
000040.SZ,2023-08-29,4.349,2023-08-31
000042.SZ,2023-08-29,13.4975,2023-08-31
000045.SZ,2023-08-29,2.9734,2023-08-31
000046.SZ,2023-08-29,34.006,2023-08-31
000048.SZ,2023-08-29,9.4877,2023-08-31
000049.SZ,2023-08-29,8.4078,2023-08-31
000050.SZ,2023-08-29,8.477,2023-08-31
000055.SZ,2023-08-29,10.0028,2023-08-31
000056.SZ,2023-08-29,4.708,2023-08-31
000058.SZ,2023-08-29,3.2914,2023-08-31
000059.SZ,2023-08-29,1.818,2023-08-31
000060.SZ,2023-08-29,40.0958,2023-08-31
000061.SZ,2023-08-29,22.0937,2023-08-31
000062.SZ,2023-08-29,7.7438,2023-08-31
000063.SZ,2023-08-29,16.3769,2023-08-31
000065.SZ,2023-08-29,17.4616,2023-08-31
000066.SZ,2023-08-29,11.0088,2023-08-31
000068.SZ,2023-08-29,2.28,2023-08-31
000069.SZ,2023-08-29,45.2546,2023-08-31
000070.SZ,2023-08-29,3.484,2023-08-31
000078.SZ,2023-08-29,20.484,2023-08-31
000088.SZ,2023-08-29,8.1592,2023-08-31
000089.SZ,2023-08-29,7.1182,2023-08-31
000090.SZ,2023-08-29,8.9684,2023-08-31
000096.SZ,2023-08-29,2.86,2023-08-31
000099.SZ,2023-08-29,3.9088,2023-08-31
000100.SZ,2023-08-29,3.6568,2023-08-31
000151.SZ,2023-08-29,2.759,2023-08-31
000153.SZ,2023-08-29,5.7795,2023-08-31
000155.SZ,2023-08-29,1.568,2023-08-31
000156.SZ,2023-08-29,1.1667,2023-08-31
000157.SZ,2023-08-29,83.2858,2023-08-31
000158.SZ,2023-08-29,2.952,2023-08-31
000159.SZ,2023-08-29,3.215,2023-08-31
000166.SZ,2023-08-29,1.5285,2023-08-31
000301.SZ,2023-08-29,2.3503,2023-08-31
000333.SZ,2023-08-29,5.1226,2023-08-31
000338.SZ,2023-08-29,21.0348,2023-08-31
000400.SZ,2023-08-29,7.8221,2023-08-31
000401.SZ,2023-08-29,4.5873,2023-08-31
000402.SZ,2023-08-29,39.1421,2023-08-31
000403.SZ,2023-08-29,7.6339,2023-08-31
000404.SZ,2023-08-29,3.6326,2023-08-31
000407.SZ,2023-08-29,11.1875,2023-08-31
000408.SZ,2023-08-29,6.4692,2023-08-31
000409.SZ,2023-08-29,2.15,2023-08-31
000410.SZ,2023-08-29,2.889,2023-08-31
000411.SZ,2023-08-29,3.1854,2023-08-31
000413.SZ,2023-08-29,4.592,2023-08-31
