security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600735.SH,2009-01-08,4.19,4.19,3.98,4.0,4.24,-0.24,-5.66,23708.25,9630.039,2023-08-01
601872.SH,2009-01-08,4.07,4.07,3.94,3.95,4.13,-0.18,-4.36,110760.61,44325.723,2023-08-01
600887.SH,2009-01-08,8.35,8.43,8.25,8.36,8.52,-0.16,-1.88,108500.82,90683.038,2023-08-01
600647.SH,2009-01-08,8.5,9.29,8.45,8.6,8.67,-0.07,-0.81,23579.45,20951.898,2023-08-01
600117.SH,2009-01-08,4.57,4.61,4.43,4.5,4.7,-0.2,-4.26,86554.27,39182.685,2023-08-01
000023.SZ,2009-01-08,4.03,4.07,3.92,4.0,4.1,-0.1,-2.44,12654.38,5063.8262,2023-08-01
000553.SZ,2009-01-08,5.53,5.63,5.42,5.47,5.69,-0.22,-3.87,35481.78,19594.6675,2023-08-01
000635.SZ,2009-01-08,9.21,9.31,8.9,8.99,9.4,-0.41,-4.36,35775.12,32565.5865,2023-08-01
600108.SH,2009-01-08,3.2,3.22,3.1,3.12,3.26,-0.14,-4.29,106765.94,33645.749,2023-08-01
000426.SZ,2009-01-08,3.39,3.42,3.32,3.32,3.47,-0.15,-4.32,41629.54,13970.6379,2023-08-01
000050.SZ,2009-01-08,3.22,3.23,3.13,3.15,3.28,-0.13,-3.96,36103.49,11498.811,2023-08-01
000906.SZ,2009-01-08,3.55,3.66,3.49,3.53,3.63,-0.1,-2.75,12948.21,4591.6571,2023-08-01
000692.SZ,2009-01-08,3.0,3.0,2.88,2.9,3.03,-0.13,-4.29,16184.16,4750.1666,2023-08-01
600203.SH,2009-01-08,3.75,3.95,3.75,3.9,3.85,0.05,1.3,101970.63,39434.759,2023-08-01
000596.SZ,2009-01-08,8.96,9.21,8.8,8.91,9.03,-0.12,-1.33,13319.7,11968.0169,2023-08-01
600668.SH,2009-01-08,3.69,3.72,3.57,3.65,3.77,-0.12,-3.18,60504.24,22108.672,2023-08-01
000970.SZ,2009-01-08,4.3,4.8,4.25,4.68,4.4,0.28,6.36,231776.34,107429.7931,2023-08-01
000848.SZ,2009-01-08,15.53,15.68,15.29,15.46,15.6,-0.14,-0.9,2090.0,3243.4975,2023-08-01
000522.SZ,2009-01-08,5.29,5.6,5.16,5.6,5.38,0.22,4.09,159272.16,87063.0065,2023-08-01
600455.SH,2009-01-08,6.8,6.92,6.43,6.54,6.93,-0.39,-5.63,20786.68,13894.129,2023-08-01
002035.SZ,2009-01-08,5.1,5.22,4.98,5.01,5.24,-0.23,-4.39,90925.45,46217.4055,2023-08-01
002076.SZ,2009-01-08,5.7,5.78,5.58,5.75,5.78,-0.03,-0.52,23654.84,13482.6179,2023-08-01
000679.SZ,2009-01-08,6.08,6.25,6.0,6.05,6.15,-0.1,-1.63,53429.63,32759.9655,2023-08-01
000911.SZ,2009-01-08,8.1,8.45,8.0,8.3,8.19,0.11,1.34,110152.36,91114.2753,2023-08-01
002229.SZ,2009-01-08,10.98,12.03,10.77,11.87,10.95,0.92,8.4,44232.07,51116.8572,2023-08-01
600995.SH,2009-01-08,6.75,6.94,6.6,6.62,6.9,-0.28,-4.06,71153.8,48125.893,2023-08-01
