security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600055.SH,2009-02-25,8.05,8.2,7.6,7.9,8.01,-0.11,-1.37,79231.63,62183.228,2023-08-01
600217.SH,2009-02-25,3.18,3.26,3.01,3.07,3.17,-0.1,-3.15,233078.0,71708.82,2023-08-01
600679.SH,2009-02-25,6.59,6.65,6.24,6.42,6.52,-0.1,-1.53,41891.75,26822.01,2023-08-01
000780.SZ,2009-02-25,8.59,8.75,8.08,8.33,8.5,-0.17,-2.0,184827.48,153794.5279,2023-08-01
600209.SH,2009-02-25,4.26,4.48,4.1,4.39,4.3,0.09,2.09,188115.8,81057.986,2023-08-01
002219.SZ,2009-02-25,18.09,18.24,17.46,18.15,17.97,0.18,1.0,10600.87,19020.569,2023-08-01
600563.SH,2009-02-25,10.1,10.26,9.82,10.23,9.99,0.24,2.4,50079.18,50545.418,2023-08-01
000755.SZ,2009-02-25,6.97,7.04,6.41,6.74,6.9,-0.16,-2.32,209971.3,141156.314,2023-08-01
000099.SZ,2009-02-25,4.75,4.8,4.55,4.75,4.67,0.08,1.71,65828.77,30815.0812,2023-08-01
002247.SZ,2009-02-25,15.05,15.24,14.43,15.13,14.9,0.23,1.54,13193.82,19630.8135,2023-08-01
002198.SZ,2009-02-25,12.03,12.39,11.68,12.19,11.98,0.21,1.75,13663.87,16516.4034,2023-08-01
002045.SZ,2009-02-25,8.12,8.17,7.7,7.96,7.93,0.03,0.38,39884.44,31703.484,2023-08-01
000422.SZ,2009-02-25,12.76,13.66,12.55,13.45,12.58,0.87,6.92,623204.38,812718.304,2023-08-01
600101.SH,2009-02-25,5.42,5.47,5.15,5.37,5.34,0.03,0.56,58320.19,31016.847,2023-08-01
600726.SH,2009-02-25,3.23,3.35,3.16,3.3,3.21,0.09,2.8,145736.35,47494.965,2023-08-01
600523.SH,2009-02-25,13.45,14.1,13.03,13.77,13.51,0.26,1.92,131283.5,179502.629,2023-08-01
000680.SZ,2009-02-25,12.85,12.94,11.69,12.2,12.51,-0.31,-2.48,306883.24,379223.3529,2023-08-01
600683.SH,2009-02-25,6.73,6.99,6.52,6.98,6.7,0.28,4.18,51886.65,35139.517,2023-08-01
