security_code,trade_date,adj_factor,data_date
000001.SZ,1999-01-07,21.088,2023-07-31
000002.SZ,1999-01-07,7.678,2023-07-31
000003.SZ,1999-01-07,3.833,2023-07-31
000004.SZ,1999-01-07,3.112,2023-07-31
000005.SZ,1999-01-07,4.433,2023-07-31
000006.SZ,1999-01-07,4.043,2023-07-31
000007.SZ,1999-01-07,3.632,2023-07-31
000008.SZ,1999-01-07,2.11,2023-07-31
000009.SZ,1999-01-07,2.854,2023-07-31
000010.SZ,1999-01-07,1.347,2023-07-31
000011.SZ,1999-01-07,2.086,2023-07-31
000012.SZ,1999-01-07,3.669,2023-07-31
000013.SZ,1999-01-07,1.939,2023-07-31
000014.SZ,1999-01-07,1.814,2023-07-31
000015.SZ,1999-01-07,1.589,2023-07-31
000016.SZ,1999-01-07,2.835,2023-07-31
000017.SZ,1999-01-07,2.037,2023-07-31
000018.SZ,1999-01-07,1.283,2023-07-31
000019.SZ,1999-01-07,1.307,2023-07-31
000020.SZ,1999-01-07,1.523,2023-07-31
000021.SZ,1999-01-07,3.589,2023-07-31
000022.SZ,1999-01-07,1.253,2023-07-31
000023.SZ,1999-01-07,1.785,2023-07-31
000024.SZ,1999-01-07,1.69,2023-07-31
000025.SZ,1999-01-07,1.345,2023-07-31
000026.SZ,1999-01-07,3.456,2023-07-31
000027.SZ,1999-01-07,3.149,2023-07-31
000028.SZ,1999-01-07,1.572,2023-07-31
000029.SZ,1999-01-07,1.447,2023-07-31
000030.SZ,1999-01-07,1.398,2023-07-31
000031.SZ,1999-01-07,2.597,2023-07-31
000032.SZ,1999-01-07,1.387,2023-07-31
000033.SZ,1999-01-07,1.221,2023-07-31
000034.SZ,1999-01-07,1.906,2023-07-31
000035.SZ,1999-01-07,1.281,2023-07-31
000036.SZ,1999-01-07,1.572,2023-07-31
000037.SZ,1999-01-07,2.155,2023-07-31
000038.SZ,1999-01-07,1.371,2023-07-31
000039.SZ,1999-01-07,2.777,2023-07-31
000040.SZ,1999-01-07,1.587,2023-07-31
000042.SZ,1999-01-07,3.937,2023-07-31
000043.SZ,1999-01-07,1.653,2023-07-31
000045.SZ,1999-01-07,1.331,2023-07-31
000046.SZ,1999-01-07,3.589,2023-07-31
000047.SZ,1999-01-07,1.794,2023-07-31
000048.SZ,1999-01-07,3.214,2023-07-31
000049.SZ,1999-01-07,1.753,2023-07-31
000050.SZ,1999-01-07,1.496,2023-07-31
000055.SZ,1999-01-07,1.706,2023-07-31
000056.SZ,1999-01-07,1.439,2023-07-31
000058.SZ,1999-01-07,1.763,2023-07-31
000059.SZ,1999-01-07,1.013,2023-07-31
000060.SZ,1999-01-07,1.014,2023-07-31
000061.SZ,1999-01-07,2.45,2023-07-31
000062.SZ,1999-01-07,2.39,2023-07-31
000063.SZ,1999-01-07,1.305,2023-07-31
000065.SZ,1999-01-07,1.0,2023-07-31
000066.SZ,1999-01-07,1.304,2023-07-31
000068.SZ,1999-01-07,1.499,2023-07-31
000069.SZ,1999-01-07,1.805,2023-07-31
000078.SZ,1999-01-07,1.0,2023-07-31
000088.SZ,1999-01-07,1.03,2023-07-31
000089.SZ,1999-01-07,1.0,2023-07-31
000400.SZ,1999-01-07,1.009,2023-07-31
000401.SZ,1999-01-07,2.153,2023-07-31
000402.SZ,1999-01-07,1.0,2023-07-31
000403.SZ,1999-01-07,1.718,2023-07-31
000404.SZ,1999-01-07,1.711,2023-07-31
000405.SZ,1999-01-07,1.791,2023-07-31
000406.SZ,1999-01-07,2.7,2023-07-31
000407.SZ,1999-01-07,2.197,2023-07-31
000408.SZ,1999-01-07,1.821,2023-07-31
000409.SZ,1999-01-07,1.99,2023-07-31
000410.SZ,1999-01-07,1.343,2023-07-31
000411.SZ,1999-01-07,1.101,2023-07-31
000412.SZ,1999-01-07,3.609,2023-07-31
000413.SZ,1999-01-07,1.017,2023-07-31
000415.SZ,1999-01-07,1.799,2023-07-31
000416.SZ,1999-01-07,1.62,2023-07-31
000417.SZ,1999-01-07,1.079,2023-07-31
000418.SZ,1999-01-07,1.227,2023-07-31
000419.SZ,1999-01-07,3.124,2023-07-31
000420.SZ,1999-01-07,2.146,2023-07-31
000421.SZ,1999-01-07,2.656,2023-07-31
000422.SZ,1999-01-07,2.985,2023-07-31
000423.SZ,1999-01-07,2.106,2023-07-31
000425.SZ,1999-01-07,1.362,2023-07-31
000426.SZ,1999-01-07,2.238,2023-07-31
000428.SZ,1999-01-07,1.864,2023-07-31
000429.SZ,1999-01-07,1.02,2023-07-31
000430.SZ,1999-01-07,1.8,2023-07-31
000498.SZ,1999-01-07,2.0,2023-07-31
000501.SZ,1999-01-07,3.39,2023-07-31
000502.SZ,1999-01-07,2.062,2023-07-31
000503.SZ,1999-01-07,1.427,2023-07-31
000504.SZ,1999-01-07,1.611,2023-07-31
000505.SZ,1999-01-07,2.424,2023-07-31
000506.SZ,1999-01-07,1.755,2023-07-31
000507.SZ,1999-01-07,1.778,2023-07-31
000508.SZ,1999-01-07,2.212,2023-07-31
000509.SZ,1999-01-07,1.84,2023-07-31
000510.SZ,1999-01-07,3.994,2023-07-31
000511.SZ,1999-01-07,2.255,2023-07-31
000513.SZ,1999-01-07,2.079,2023-07-31
000514.SZ,1999-01-07,1.239,2023-07-31
000515.SZ,1999-01-07,1.031,2023-07-31
000516.SZ,1999-01-07,2.172,2023-07-31
000517.SZ,1999-01-07,1.641,2023-07-31
000519.SZ,1999-01-07,1.625,2023-07-31
000520.SZ,1999-01-07,3.536,2023-07-31
000521.SZ,1999-01-07,2.758,2023-07-31
000522.SZ,1999-01-07,2.518,2023-07-31
000523.SZ,1999-01-07,2.718,2023-07-31
000524.SZ,1999-01-07,3.3,2023-07-31
000525.SZ,1999-01-07,1.741,2023-07-31
000526.SZ,1999-01-07,1.629,2023-07-31
000527.SZ,1999-01-07,4.43,2023-07-31
000528.SZ,1999-01-07,1.959,2023-07-31
000529.SZ,1999-01-07,3.035,2023-07-31
000530.SZ,1999-01-07,2.58,2023-07-31
000531.SZ,1999-01-07,2.686,2023-07-31
000532.SZ,1999-01-07,2.001,2023-07-31
000533.SZ,1999-01-07,1.534,2023-07-31
000534.SZ,1999-01-07,2.357,2023-07-31
000535.SZ,1999-01-07,2.551,2023-07-31
000536.SZ,1999-01-07,1.194,2023-07-31
000537.SZ,1999-01-07,1.235,2023-07-31
000538.SZ,1999-01-07,1.499,2023-07-31
000539.SZ,1999-01-07,3.439,2023-07-31
000540.SZ,1999-01-07,1.491,2023-07-31
000541.SZ,1999-01-07,2.942,2023-07-31
000542.SZ,1999-01-07,2.897,2023-07-31
000543.SZ,1999-01-07,1.491,2023-07-31
000544.SZ,1999-01-07,1.987,2023-07-31
000545.SZ,1999-01-07,1.222,2023-07-31
000546.SZ,1999-01-07,1.455,2023-07-31
000547.SZ,1999-01-07,1.667,2023-07-31
000548.SZ,1999-01-07,1.667,2023-07-31
000549.SZ,1999-01-07,1.454,2023-07-31
000550.SZ,1999-01-07,1.277,2023-07-31
000551.SZ,1999-01-07,3.126,2023-07-31
000552.SZ,1999-01-07,1.472,2023-07-31
000553.SZ,1999-01-07,1.636,2023-07-31
000554.SZ,1999-01-07,2.358,2023-07-31
000555.SZ,1999-01-07,1.109,2023-07-31
000556.SZ,1999-01-07,2.577,2023-07-31
000557.SZ,1999-01-07,2.585,2023-07-31
000558.SZ,1999-01-07,1.273,2023-07-31
000559.SZ,1999-01-07,1.824,2023-07-31
000560.SZ,1999-01-07,1.172,2023-07-31
000561.SZ,1999-01-07,2.291,2023-07-31
